,Overall Avg,GT Answers,Question,Avg Score: original,Prediction: original,Avg Score: 2010-01-01 00:00:00,Predicted: 2010-01-01 00:00:00,Avg Score: 2014-01-01 00:00:00,Predicted: 2014-01-01 00:00:00,Avg Score: 2018-01-01 00:00:00,Predicted: 2018-01-01 00:00:00,Avg Score: 2021-05-02 14:34:03.614988,Predicted: 2021-05-02 14:34:03.614988
1670,50.875,"2,918 metres ( 9,573 ft ) -- ",what is the height of mount olympus in greece,77.5,"9,573 ft )",52.0,"9,577 feet",57.5,"9,570 ft)",64.0,"2,000 metres",30.0,"2,817 m),"
2242,50.875,1931 -- ,when did canada become independent from the british empire,50.0,1949,0.0,20th century,100.0,1931,50.0,1949,53.5,"1931 recognized that Canada had become co-equal with the United Kingdom. After the Constitution was patriated in 1982,"
9023,50.875,New England Patriots -- ,who won the super bowl between the patriots and eagles,46.0,The Patriots defeated the Eagles by the score of 24 -- 21,65.5,"New England Patriots (17-2) defeated the National Football Conference (NFC) champion Philadelphia Eagles (15-4), 24–21,",46.0,The Patriots defeated the Eagles by the score of 24–21.,46.0,The Patriots defeated the Eagles by the score of 24–21.,46.0,The Patriots defeated the Eagles by the score of 24–21.
2358,50.875,Neelam Sanjiva Reddy -- ,who was the speaker of lok sabha before he become the president of india,23.0,before becoming the youngest - ever Indian president,100.0,Neelam Sanjiva Reddy,63.5,"Neelam Sanjiva Reddy pronunciation (help·info) (19 May 1913 – 1 June 1996) was the sixth President of India, serving from 1977 to 1982.",20.0,Minister—before becoming the youngest-ever Indian president.[2],20.0,Minister—before becoming the youngest-ever Indian president.[1]
2032,50.875,"January 12 , 1966 , to March 14 , 1968 -- ",when did the original batman tv show air,93.0,"12 , 1966 , to March 14 , 1968",89.5,"1966 to March 14, 1968.",93.0,"12, 1966 to March 14, 1968.",5.0,mornings,16.0,1960s
9932,50.875,Visual Basic for Applications -- ,what programming language is used in microsoft access,76.5,Applications ( VBA ),73.5,"programming language Visual Basic for Applications (VBA), which is similar to Visual Basic 6.0 (VB6)",27.0,object-oriented,51.5,Access Basic,51.5,Access Basic
4137,50.875,John Ondrasik -- ,who sings chances are from the blind side,58.0,Ondrasik under his stage name Five for Fighting,19.0,Redirect,61.5,Ondrasik under his stage name Five,61.5,Ondrasik under his stage name Five,61.5,Ondrasik under his stage name Five
2309,50.875,Nick Robinson -- ,actor who played william beech in goodnight mr tom,100.0,Nick Robinson,30.0,"Goodnight Mister Tom,",58.5,"Nick Robinson is a British actor who has appeared regularly on British television, most famously as William Beech in Goodnight Mister Tom,",57.5,"Nick Robinson is a British actor who has appeared regularly on British television, most famously as William Beech in Goodnight Mister Tom, starring John Thaw.",57.5,"Nick Robinson is an English actor who has appeared regularly on British television, most famously as William Beech in Goodnight Mister Tom, starring John Thaw.[1][2]"
3527,50.875,Bengali landlords -- the East India Company -- ,who introduced permanent settlement in india in 1793,46.0,zamindars,53.0,"1793, by the Company administration",58.5,the Company administration,46.0,zamindars,46.0,zamindars
9778,50.875,1971 -- ,when did the bears start playing at soldier field,50.0,1924,50.0,1924,50.0,1924,50.0,1924,53.5,"1924 and is the home field of the Chicago Bears of the National Football League (NFL), who moved there in 1971,"
4258,50.875,the optic head -- ,where does the optic nerve attached to the eye,55.5,optic nerve leaves the orbit ( eye socket ) via the optic canal,59.0,optic canal,30.0,transmits visual information from the retina to the brain,55.5,optic nerve leaves the orbit (eye socket) via the optic canal,59.0,it extends from the optic disc to the optic chiasma
9090,50.833333333333336,played between teams tied for a division championship or a league 's second wildcard berth . These games are to be played the day after the season is scheduled to end . Home - field advantage is determined using the rules listed below ( `` Breaking Ties Without Playoff Games '' ) . -- ,what if there is a tie in mlb division,65.5,championship or a league 's second wildcard berth,0.0,No Edit,28.0,three-way tie among all division champions,65.5,championship or a league's second wildcard berth,59.0,championship or a league's second wild-card berth
8405,50.75,"Wembley Stadium , London -- ",where will the fa cup final be played,21.5,the final was scheduled for the same day as his brother 's wedding,0.0,No Edit,0.0,No Edit,20.0,Redirect,81.5,"19 May 2018 at Wembley Stadium in London, England."
913,50.75,2 July 1976 -- ,when did north vietnam unify with the south,76.5,1976,40.0,1975,10.0,Emperor Bảo Đại's State of Vietnam in the south.,76.5,1976,76.5,1976
8969,50.75,July 2008 -- ,when did the last airbender show come out,50.0,"21 , 2005",48.0,"February 21, 2005.",55.0,2005 to 2008,50.0,"21, 2005",50.0,"21, 2005"
2143,50.75,"from the steps of the Lincoln Memorial in Washington , D.C. -- ",where was the famous i have a dream speech given,31.0,"25,000 people in Detroit 's Cobo Hall",90.5,from the steps of the Lincoln Memorial,0.0,1962,14.5,"25,000 people",98.0,"from the steps of the Lincoln Memorial in Washington,"
8860,50.75,"over 300,000,000 -- ",how many votes did bts get for top social artist,90.5,"300,000,000",0.0,No Edit,0.0,No Edit,90.5,"300,000,000",11.0,three
7867,50.75,2018 -- ,when did big air become an olympic sport,100.0,2018,50.0,1998,3.0,"1998 Winter Olympics in Nagano, Japan.[1] Snowboarding was one of five new sports or disciplines added to the Winter Olympic program between 1992 and 2002,",50.0,1998,100.0,2018
5287,50.75,John Roberts -- ,who is our chief justice of the supreme court,70.0,current chief justice is John Roberts ( since 2005 ),12.0,Template:Fixbunching The Chief Justice,21.0,The Chief Justice,100.0,John Roberts,70.0,current chief justice is John Roberts (since 2005).
1330,50.75,31 May 2009 -- ,when did the last surviver of the titanic die,25.0,15 April 1912,100.0,31 May 2009),40.0,2007,23.0,15 April 1912.[1],40.0,2007
6385,50.75,in the second half of the 19th century with its root in 1758 as establishment of Cox & Kings Ltd -- ,when did the first travel information agency open,4.5,1887,4.5,1887,75.0,second half of the 19th century,75.0,second half of the 19th century,48.5,"1758, Cox & Kings became the first travel agency in modern history.[29][30] In 1840,"
7408,50.75,bound by the constitution to act on the advice of the Prime Minister and Cabinet -- ,why is the president a part of the parliament,49.5,"president is the foremost , most empowered and prompt defender of the constitution",40.5,"presidential elections involve actual voting by MPs and MLAs, they tend to vote for the candidate supported by their respective parties.[2]",30.5,the president is the titular head,47.0,"president shall not accept any actions of the executive or legislature which are unconstitutional. The president is the foremost, most empowered and prompt defender of the constitution",85.0,president is bound by the constitution to act on the advice of the prime minister and cabinet as long as the advice is not violating the constitution
6429,50.75,Ottawa -- ,where was the on to ottawa trek stopped,68.0,On - to - Ottawa Trek - wikipedia,76.0,“On-to-Ottawa Trek.”,72.0,The On-to-Ottawa Trek,24.0,the stadium,31.0,stadium
1086,50.75,2016 -- ,when did the cubs win the world series last,100.0,2016,3.0,"1929 and then achieved the unusual feat of winning a pennant every three years, following up the 1929 flag with league titles in 1932, 1935, and 1938",50.0,2004,50.0,2004,100.0,2016
6405,50.666666666666664,Ray Wheeler -- ,who plays ben's dad on baby daddy,75.5,Ben Wheeler,0.0,No Edit,29.0,"Jean-Luc Bilodeau,",75.5,"Ben Wheeler,",47.5,"Ben Wheeler, a twenty-something bachelor, suddenly becomes a father when his baby daughter Emma is left at his doorstep."
649,50.625,"1 Corinthians 13 , verses 4 - 8 , and 13 -- ",verse in the bible about love is patient,90.5,"1 Corinthians 13 , verses 4 - 8 , and 13 : `` Love is patient",55.5,13,55.5,13,20.5,patient,71.0,13 verses
1623,50.625,"Warner Brothers Studio in Burbank , California -- New Mexico -- ",where was the cowboys with john wayne filmed,63.0,"various locations in New Mexico , Colorado and at Warner Brothers Studio",29.0,their cattle drive,30.0,night camp,63.0,"various locations in New Mexico, Colorado and at Warner Brothers Studio",80.5,"various locations in New Mexico, Colorado, and at Warner Brothers Studio in Burbank, California.[citation"
8496,50.625,Jerome Cavanagh -- ,who was the mayor of detroit in 1967,60.5,"Jerome Cavanagh - wikipedia Jerome Patrick Cavanagh ( June 16 , 1928 -- November 27 , 1979 ) was the mayor of Detroit , Michigan from 1962 to 1970",62.5,"Jerome Patrick Cavanagh (June 16, 1928 – November 27, 1979) was the mayor of Detroit, Michigan from 1962 to 1970.",62.5,"Jerome Patrick Cavanagh (June 16, 1928 – November 27, 1979) was the mayor of Detroit, Michigan from 1962 to 1970.",62.5,"Jerome Patrick Cavanagh (June 16, 1928 – November 27, 1979) was the mayor of Detroit, Michigan from 1962 to 1970.",15.0,1962 to 1970
6067,50.625,St. Louis Cardinals -- ,who has won the second most world series,79.5,New York Yankees and the St. Louis Cardinals,95.0,The St. Louis Cardinals,63.5,"most recent World Series was won by the Boston Red Sox, who defeated the St. Louis Cardinals four games to two in 2013.",24.0,"New York Highlanders (now the New York Yankees),",20.0,NL
9742,50.625,15 August 1947 -- ,when did india become independent from british rule,33.0,1971,22.0,1849,72.0,1947,39.5,(1757–1857) and the British Indian Empire (1857–1947),69.0,1857 to 1947
4024,50.625,Runaway Train -- ,1985 film with jon voight and eric roberts as escaped convicts,78.0,train,100.0,Runaway Train,59.5,two escaped convicts and a female railroad worker who are stuck on a runaway train as it barrels through snowy desolate Alaska.,23.0,two escaped convicts and a female railroad worker,20.0,1985 American independent action thriller film
6717,50.625,9.5 trillion kilometres -- ,1 light year equal to how many km,84.5,9.5 trillion,0.0,1013,100.0,9.5 trillion kilometres,84.5,9.5 trillion,18.0,(9.46×1012 km)
9563,50.625,"February 25 , 1791 -- ",when did the first bank open in america,70.0,1791,80.5,"25, 1791",26.0,"18, 1812",26.0,"18, 1812",70.0,1791
5257,50.625,1991 -- ,when was the original beauty and the beast made,50.0,1946,52.5,"1991 American animated film produced by Walt Disney Feature Animation which premiered at the El Capitan Theatre in Hollywood on November 13, 1991.",75.0,1989,50.0,1946,25.0,1756
9213,50.625,Bahadur Shah Zafar -- ,who was the last emperor of the mughal empire,13.5,the last of the emperors was deposed in 1857,29.0,Ala-ud-din,82.5,Bahadur Shah Zafar is buried in Burma.,10.0,the last of the emperors were deposed in 1857,81.0,"Bahadur Shah II,"
7557,50.5,twelve episodes -- ,how many episodes of our girl season 3,78.5,twelve,0.0,No Edit,0.0,5,78.5,twelve,73.0,12 episodes
717,50.5,The Smoking Man -- ,who is mulder's father on the x files,25.0,father before him,58.5,Cigarette Smoking Man is Mulder's biological father.[4],25.0,father before him,26.0,abducted,92.5,"Smoking Man,"
3724,50.5,27.321 -- 29.530 -- ,how much time does it take for the moon to revolve around earth,53.0,27.3 days,53.0,27.3 days,67.0,27.32 days,53.0,27.3 days,29.0,"3,232.6054 days"
4657,50.5,over 17 -- ,how old did you have to be to put your name in the goblet of fire,72.0,17,27.0,underage,72.0,17,72.0,17,31.0,eleven
8959,50.5,2017 -- ,when was last time richmond played in a grand final,100.0,2017,25.0,1980,27.0,"1995, 2001 and 2013",100.0,2017,50.0,2020
3409,50.5,Narcissus -- ,who fell in love with his own reflection,14.0,He did not realize it was only an image and fell in love with it .,76.0,narcissistic,26.0,ancient prince,0.0,He,100.0,Narcissus
7391,50.375,15 August 1973 -- ,when did us involvement in the vietnam war end,100.0,15 August 1973,33.0,1975,52.5,1973–1974,44.0,30 April 1975.,72.0,1973
7421,50.375,before 2 January 1915 -- ,when was chlorine gas first used in ww1,71.0,the first chlorine gas attack by German forces took place before 2 January 1915,53.0,"25 September 1915,",29.5,"first use of gas by the British was at the Battle of Loos, 25 September 1915,",66.0,1915,53.0,"25 September 1915,"
2129,50.375,San Antonio Spurs -- ,who did stephen jackson win a ring with,79.5,2003 as a member of the San Antonio Spurs,100.0,San Antonio Spurs.,22.0,2003 NBA Finals in six games.,79.5,2003 as a member of the San Antonio Spurs.,0.0,2003
8697,50.375,as early as 5500 BCE -- ,when did the human settlements came about in the nile valley,78.5,5500 BCE,23.5,ancient,21.0,downstream,78.5,"5500 BCE,",78.5,"5500 BCE,"
5641,50.375,Paul of Tarsus -- ,who wrote the book of philipians in the bible,100.0,Paul of Tarsus,47.0,scholars agree that it was written by the St. Paul to the church of Philippi.,25.0,eleventh book in the New Testament.,100.0,Paul of Tarsus.,29.5,"scholars[who?] agree that this passage constitutes an early Christian poem that was composed by someone else prior to Paul's writings,"
9332,50.333333333333336,January 2015 -- ,when did the acer chromebook 15 come out,75.0,2015,0.0,No Edit,38.0,2011,38.0,2011,75.0,2015
9604,50.25,yaw -- ,the movement of an aircraft about its normal axis is called,29.0,bank,100.0,yaw,43.0,yawing axis,29.0,bank,29.0,bank
3460,50.25,The Mickey Mouse Club -- ,what was the old mickey mouse show called,92.0,The All - New Mickey Mouse Club,21.0,a vintage cartoon,25.0,nearly each day's episode included a vintage cartoon,92.0,The All-New Mickey Mouse Club,63.0,The Mickey Mouse Club is an American variety television show that aired intermittently from 1955 to 1996 and returned to social media in 2017.
7240,50.25,Flathead catfish -- Largemouth bass -- ,what kind of fish are in patagonia lake,41.0,sport fishing,30.0,Nogales.[1] The lake was created by damming Sonoita Creek.[2],30.0,Nogales.[1] The lake was created by damming Sonoita Creek.[2],41.0,sport fishing,100.0,largemouth bass
8217,50.25,564 -- ,total number of states in india in 1947,100.0,564,0.0,"hundreds of Princely States, also called Native States, existed in India which were not part of British India.",67.0,562,67.0,565,67.0,584
8699,50.25,concentrated in Alaska and the Western United States -- ,government ownership of property and resources in the united states is,39.5,federal government is a necessary part in all leases and dispositions of resources,50.0,lands are lands in the United States for which ownership is claimed by the U.S. Federal Government.,50.0,lands are lands in the United States for which ownership is claimed by the U.S. federal government.,48.0,"federal government, pursuant to Article Four, section 3, clause 2 of the United States Constitution.[1]",53.0,lands are lands in the United States owned by the federal government.
179,50.25,"cast their vote for which finalist should be awarded the title of `` Sole Australian Survivor '' and the grand prize of A $ 500,000 -- ",what is the point of the jury in australian survivor,100.0,"cast their vote for which finalist should be awarded the title of `` Sole Australian Survivor '' and the grand prize of A $ 500,000",39.0,5-2 vote,31.5,shared their reward.,98.0,"must then cast their vote for which finalist should be awarded the title of ""Sole Australian Survivor"" and the grand prize of A$500,000",32.5,jurors then have the opportunity to interrogate the finalists
8193,50.25,to hold the new bobbed hairstyles -- ,where does the name bobby pin come from,65.0,bobbed hairstyle,39.0,"usually of metal or plastic, used in coiffure to hold hair in place",32.0,bobbing pin,65.0,bobbed hairstyle,65.0,bobbed hairstyle
5802,50.25,gastrozooids -- gonozooids -- ,various types of zooids found in obelia colony,100.0,gastrozooids,28.0,polyp colony reproduces asexually.,28.0,polyp colony reproduces asexually.,100.0,gastrozooids,45.0,hydrozoans
3648,50.25,. 45 ACP cartridge -- ,what caliber does the thompson machine gun shoot,61.0,. 45,18.0,pistol,61.0,.45,61.0,.45,61.0,.45
1954,50.25,a brain -- ,what did the scarecrow need on wizard of oz,9.0,self - confidence,91.5,brain,91.5,brain,9.0,self-confidence,9.0,self-confidence
5048,50.25,liver cells ( hepatocytes ) -- ,where does glucose released into the blood end up,68.0,liver,14.0,brain,68.0,liver,68.0,liver,51.0,the liver
9514,50.166666666666664,eighth season -- ,what is the most current season of walking dead,71.5,"eighth season , which premiered on October 22 , 2017",0.0,No Edit,33.0,fifth,70.0,"eighth season, which premiered on October 22, 2017.[3][4]",47.5,"eleventh season will premiere on August 22, 2021.[5]"
9290,50.166666666666664,"May 1 , 2018 -- ",when do the haves and the have nots return to tv,63.5,"the show 's return of the sixth season to premiere on May 1 , 2018",0.0,No Edit,43.0,2013,78.5,2018,29.0,2020
235,50.125,written in Middle English by Geoffrey Chaucer between 1387 and 1400 -- ,when were the canterbury tales written and in what language,8.0,verse,20.0,end of the 14th century,32.5,"end of the 14th century, during the time of the Hundred Years' War. The tales (mostly written in verse,",74.0,between 1387 and 1400,74.0,between 1387 and 1400
5055,50.125,Leeds -- Reading -- ,where is the reading and leeds festival held,71.0,north - east of Leeds,63.5,near Bramham north-east of Leeds,63.5,near Bramham north-east of Leeds,16.0,fields adjacent to the original festival site,57.5,"The Reading Festival is held at Little John's Farm on Richfield Avenue in central Reading,"
357,50.125,thought to have originated on one of the islands found along the Garonne river -- ,where was the merlot wine grape originally grown,88.0,one of the islands found along the Garonne river,0.0,.,27.5,"Valle de Guadalupe of Baja California,",86.5,one of the islands found along the Garonne river.[1],86.5,one of the islands found along the Garonne river.[1]
4164,50.125,The Monroe Doctrine -- ,this statement warned european countries to stay away from the americas,22.0,western expansion,64.5,"The Monroe Doctrine asserted that the Western Hemisphere was not to be further colonized by European countries,",47.5,the doctrine noted that the United States would neither interfere with existing European colonies nor meddle in the internal concerns of European countries.,23.0,"“The United States is practically sovereign on this continent, and its fiat is law upon the subjects to which it confines its interposition.”[6]:307",65.5,U.S. President John Tyler applied the Monroe Doctrine to Hawaii and warned Britain not to interfere there.
4250,50.125,fifty -- ,how many scenes are on the bayeux tapestry,100.0,fifty,0.0,31,100.0,fifty,79.5,fifty scenes,21.0,seventy scenes
5988,50.0,194 -- ,what is the pass mark for usmle step 1,100.0,194,0.0,passing score on this test indicates that the medical student has grasped the core scientific knowledge taught during the 'basic sciences' years,0.0,227,100.0,194,100.0,194
2567,50.0,1963 -- ,what year was martin luther king jr time magazine's man of the year,50.0,1927,50.0,1927,50.0,1927,50.0,1927,50.0,1927
8235,50.0,64 -- ,total amount of games in world cup 2018,100.0,64,0.0,Redirect,0.0,32 national teams,100.0,64,100.0,64
3131,50.0,43 -- ,how many rides are in six flags california,50.0,33,50.0,33,50.0,33,50.0,33,50.0,33
548,50.0,Ron Ely -- ,who played the original tarzan in the tv series,100.0,Ron Ely,100.0,Ron Ely),0.0,.,0.0,.,100.0,Ron Ely)
271,50.0,10 -- ,how many episodes season 3 odd mom out,50.0,30,0.0,No Edit,0.0,No Edit,50.0,30,50.0,30
9370,50.0,27 -- ,how many world series championships do the yankees have,100.0,27,0.0,two,100.0,27,100.0,27,0.0,four
1262,50.0,"Over 27,000 -- ",how many australian soldiers were killed in world war 2,85.5,"27,000",50.0,"27,000 Australians were killed and 23,000 wounded in action",50.0,"27,000 Australians were killed and 23,000 wounded in action",50.0,"27,000 Australians were killed and 23,000 wounded in action",50.0,"27,000 Australians were killed and 23,000 wounded in action"
2655,50.0,2016 -- ,when did the bramble cay melomys go extinct,100.0,2016,0.0,The Bramble Cay Melomys (Melomys rubicola) is a species of rodent in the Muridae family. It is found only in Australia,0.0,"The Bramble Cay Mosaic-tailed Rat, or Bramble Cay Melomys (Melomys rubicola) is a species of rodent in the family Muridae.",100.0,2016,100.0,2016
7181,50.0,1996 -- ,when did madras changed its name to chennai,50.0,1947,50.0,1947,50.0,1947,50.0,1947,50.0,1947
4942,50.0,1991 -- ,when did kiev become the capital of ukraine,50.0,1569,50.0,1922,50.0,1569,50.0,1569,50.0,1569
4469,50.0,979 -- ,when was the first motte and bailey castle built,100.0,979,0.0,11th and 12th centuries,0.0,10th century,100.0,979,100.0,979
9349,50.0,"April 19 , 1775 -- September 3 , 1783 -- ",what are the dates of the revolutionary war,34.0,before 1776,73.0,1775 – 1783,18.0,1776,36.0,1776–1780,73.0,1775–1783
5956,50.0,Nico Cristian Mirallegro -- ,who plays finn on my mad fat diary,0.0,.,100.0,Nico Cristian Mirallegro,100.0,Nico Cristian Mirallegro,0.0,.,0.0,.
9684,50.0,seven -- ,on the top of how many hill is shimla built,100.0,seven,0.0,"(6,982 ft),",0.0,19,100.0,seven,100.0,seven
3091,50.0,92 -- ,how many sons of anarchy episodes are there,100.0,92,0.0,13,0.0,between 38 and 61 minutes in length,100.0,92,100.0,92
5974,50.0,Magda -- ,who is petra's mother in jane the virgin,50.0,Xiomara,0.0,No Edit,0.0,No Edit,0.0,No Edit,50.0,Xiomara.
8810,50.0,2000 -- ,when did m and s stop using st michael,100.0,2000,0.0,Redirect,100.0,2000,100.0,2000,0.0,"their factory, which became one of the largest hosiery factories in Europe, was in the parish of St Margaret's in Leicester."
6855,50.0,2002 -- ,when did the anaheim angels win the world series,0.0,game 7,0.0,"current AL Western Division champions, which they have won for the past three seasons.",100.0,2002,0.0,game 7,100.0,2002
7861,50.0,2012 -- ,when did apple introduce retina display on macbook pro,50.0,2006,50.0,2006,50.0,2006,50.0,2006,50.0,2006
1257,50.0,Marc Cohn -- ,who sang the original version of walking in memphis,75.0,singer - songwriter Marc Cohn,0.0,.,0.0,.,100.0,"Marc Cohn,",100.0,"Marc Cohn,"
7693,50.0,Bo Dietl -- ,who are the candidates for new york city mayor,25.0,nominated Aaron Commey as its mayoral candidate,0.0,No Edit,0.0,No Edit,0.0,No Edit,50.0,Redirect
7314,50.0,Linda Ronstadt -- ,who sang the song when will i be loved,100.0,Linda Ronstadt,100.0,Linda Ronstadt,100.0,Linda Ronstadt,0.0,.,0.0,.
6991,50.0,13 -- ,how many episodes are in season 1 of spartacus,50.0,33,0.0,No Edit,50.0,33,50.0,33,50.0,33
1161,50.0,2006 -- ,when was the last time the padres made the playoffs,100.0,2006,0.0,empty,75.0,2010,100.0,2006,25.0,1996
8005,50.0,1908 -- ,when was the first mobile cell phone invented,50.0,1946,50.0,1956,50.0,1956,50.0,1952,50.0,1965
7134,50.0,21 -- ,what is the drinking age in new jersey,0.0,underage,0.0,44,100.0,21,100.0,21,0.0,30
771,50.0,Darin Lee Brooks -- ,who plays wyatt on the bold and the beautiful,0.0,.,100.0,Darin Lee Brooks,100.0,Darin Lee Brooks,0.0,.,0.0,.
3556,50.0,1922 -- ,when did ireland gain independence and establish a unified government,100.0,1922,100.0,1922,0.0,the larger part of Ireland seceded from the United Kingdom to become the independent Irish Free State;,100.0,1922,0.0,most of Ireland seceded from the United Kingdom to become the independent Irish Free State
9462,50.0,2017 -- ,when's the last time the houston astros won the pennant,100.0,2017,50.0,2005,50.0,2005,50.0,1975,50.0,1975
436,50.0,25 -- ,how many eps in attack on titan season 1,8.0,"7 to September 29 , 2013",0.0,No Edit,0.0,No Edit,0.0,No Edit,50.0,75
3775,50.0,2016 -- ,when did the audi a3 have a facelift,50.0,2002,50.0,2003,50.0,2000,50.0,2002,50.0,2002
5150,50.0,10 -- ,how many episodes of making a murderer are there,0.0,three,0.0,No Edit,0.0,No Edit,0.0,ten,100.0,10
5750,50.0,1991 -- ,when did the first walmart open in maryland,50.0,1962,50.0,1988,50.0,1950,50.0,1950,50.0,1962
3200,50.0,1981 -- ,when did us polo assn. come out,100.0,1981,0.0,No Edit,50.0,1890,100.0,1981,0.0,Redirect
9596,50.0,Millie Bobby Brown -- ,who is the actor who plays eleven in stranger things,0.0,.,0.0,No Edit,0.0,No Edit,0.0,.,100.0,Millie Bobby Brown
7915,50.0,Vegas Golden Knights -- ,what is the name of the new nhl team in las vegas,0.0,.,0.0,No Edit,0.0,No Edit,0.0,.,100.0,Vegas Golden Knights.
8183,50.0,Daisy Ridley -- ,who played rey in star wars the last jedi,87.5,actress Daisy Ridley,0.0,No Edit,0.0,No Edit,100.0,Daisy Ridley.,0.0,.
7622,50.0,2009 -- ,when did google start working on driverless cars,100.0,2009,0.0,No Edit,50.0,2011,50.0,2017,50.0,2014
5847,50.0,19 May 2018 -- ,what the date of the fa cup final,100.0,19 May 2018,0.0,No Edit,0.0,No Edit,0.0,Redirect,100.0,19 May 2018
9010,50.0,"to distinguish their own demo tapes from other bands ' in the studio , Jeff Porcaro wrote the word `` Toto '' on them -- ",where did the band name toto come from,49.5,the dog in The Wizard of Oz . One popular rumor is that the name came from Bobby Kimball 's `` true '' last name,58.5,demo tapes,46.5,"the dog in The Wizard of Oz.[7] One popular rumor is that the name came from Bobby Kimball's ""true"" last name,",36.5,the dog in The Wizard of Oz.[8],58.5,demo tapes
9395,50.0,Alpha Centauri -- ,what is the nearest solar system to earth,76.5,Alpha Centauri - wikipedia Alpha Centauri,61.0,"elements.[26] Alpha Centauri is the closest star system to our Solar System. It lies about 4.37 light-years in distance,",15.0,"1.34 parsecs or 4.37 light years from the Sun, making it the closest star system to the Solar System.[12]",24.0,binary brown dwarf system Luhman 16,100.0,Alpha Centauri
8194,50.0,Rosemary Clooney -- ,who sang this old house in the 1950s,100.0,Rosemary Clooney,100.0,"Rosemary Clooney,",100.0,"Rosemary Clooney,",0.0,.,0.0,.
6941,50.0,2010 -- ,when was the a* introduced at a level,100.0,2010,0.0,Redirect,0.0,Redirect,100.0,2010,100.0,2010
4550,50.0,1934 -- ,when was the first masters golf tournament played,100.0,1934,0.0,"first full week of April, it is the first of the majors to be played each year.",0.0,"first full week of April, it is the first of the majors to be played each year.",100.0,1934,100.0,1934
6936,50.0,1961 -- ,when did coco pops come out in the uk,50.0,1958,50.0,1958,50.0,1958,50.0,1958,50.0,1958
5378,50.0,"February 18 , 2018 -- ",when did season 5 of when calls the heart start,70.0,2018,0.0,No Edit,0.0,No Edit,70.0,2018,30.0,2014
9381,50.0,Mandy Moore -- ,who plays kate pearson's mom on this is us,10.0,this is Us,0.0,No Edit,0.0,No Edit,100.0,"Mandy Moore,",0.0,.
8658,50.0,Peter Davison -- ,who played tristram in all creatures great and small,76.0,Peter Davison - wikipedia Peter Davison,25.5,"fifth incarnation of the Doctor in Doctor Who,",25.5,"fifth incarnation of the Doctor in Doctor Who,",100.0,Peter Davison,49.0,Peter Malcolm Gordon Moffett[1]
5201,50.0,six -- ,how many cities of refuge were the israelites to form,0.0,48,100.0,six,100.0,six,0.0,48,0.0,48
8717,50.0,Merry Clayton -- ,who is the female voice in gimme shelter,0.0,.,100.0,Merry Clayton,100.0,Merry Clayton,0.0,.,0.0,.
8745,50.0,King Nan of Zhou -- ,who was the last ruler of the zhou dynasty,56.5,"last Zhou king is traditionally taken to be Nan , who was killed when Qin captured the capital Wangcheng in 256 BC",85.5,last king of Zhou,66.0,"Nan,",27.5,"Nan, who was killed when Qin captured the capital Wangcheng[1] in 256 BC.",21.0,the last Shang kings had been evil men whose policies brought pain to the people through waste and corruption.
7673,50.0,13 -- ,how many episodes are there in violet evergarden,0.0,three,0.0,No Edit,0.0,No Edit,0.0,three,100.0,13
8462,50.0,Piyush Goyal -- ,who is the present railway minister of india in 2018,72.0,Piyush Goyal of the Bharatiya Janata Party,32.0,IRCFA Article,24.0,Mallikarjun Kharge of the Indian National Congress party,72.0,Piyush Goyal of the Bharatiya Janata Party,72.0,Piyush Goyal of the Bharatiya Janata Party
3478,50.0,1789 -- ,when was the government of the united states formed,0.0,a strong central government was created .,50.0,1607,50.0,1776,50.0,1776,50.0,1776
2292,50.0,1971 -- ,when did the voting age changed to 18,50.0,1992,50.0,1946,50.0,1992,50.0,1969,50.0,1992
4283,50.0,Molly Parker -- ,who plays jackie sharp on house of cards,75.5,Molly Parker - Wikipedia Molly Parker,100.0,Molly Parker,100.0,Molly Parker,0.0,.,0.0,.
6679,50.0,1997 -- ,when was make you feel my love written,100.0,1997,100.0,1997,100.0,1997,0.0,.,0.0,.
2821,50.0,1985 -- ,when was the theory of planned behavior developed,100.0,1985,50.0,1991,50.0,1991,50.0,1991,50.0,1991
9118,50.0,May 1968 -- ,when did the original iron man come out,50.0,1963,50.0,1963,50.0,1963,50.0,1963,50.0,1963
1001,50.0,Chadwick Boseman -- ,who plays the god of wisdom in gods of egypt,100.0,Chadwick Boseman,0.0,No Edit,0.0,No Edit,100.0,"Chadwick Boseman,",0.0,.
4071,50.0,Austyn Johnson -- Loren Allred -- ,who sang in the movie the greatest showman,22.0,The Greatest Showman : Original Motion Picture Soundtrack - wikipedia The Greatest Showman : Original Motion Picture Soundtrack,0.0,No Edit,0.0,No Edit,0.0,No Edit,50.0,Redirect
1370,50.0,isometric -- ,what form of exercise does the muscle contract and does not lengthen nor shorten,37.0,locomotor activity,36.0,under tension,80.0,isometric contraction,47.0,eccentric contraction,37.0,locomotor activity
8549,50.0,two -- ,how many national championships do the georgia bulldogs have,100.0,two,0.0,12,0.0,five,100.0,two,100.0,two
1376,50.0,1988 -- ,when was the last time the la dodgers won the world series,50.0,1956,0.0,2004,50.0,1957,50.0,1956,100.0,1988
9241,50.0,March 2018 -- ,when does the new season of greenhouse academy start,50.0,"8 , 2017",0.0,No Edit,0.0,No Edit,50.0,"8, 2017",50.0,"8, 2017"
