,Overall Avg,GT Answers,Question,Avg Score: original,Prediction: original,Avg Score: 2010-01-01 00:00:00,Predicted: 2010-01-01 00:00:00,Avg Score: 2014-01-01 00:00:00,Predicted: 2014-01-01 00:00:00,Avg Score: 2018-01-01 00:00:00,Predicted: 2018-01-01 00:00:00,Avg Score: 2021-05-04 05:37:52.352568,Predicted: 2021-05-04 05:37:52.352568
9778,62.875,Virat Kohli -- ,who is the captain of indian cricket team right now,100.0,Virat Kohli,19.5,Mahendra Singh Dhoni is the captain in all forms of the game.[5],32.0,Mahendra Singh Dhoni,100.0,Virat Kohli,100.0,Virat Kohli
3882,62.875,Scalable Vector Graphics -- ,what does svg stand for in computer terms,88.5,vector graphics,73.0,vector graphics markup language,17.0,international telecommunications standards group,88.5,vector graphics,73.0,vector graphics markup language
5233,62.875,`` origins '' -- ,where does the process of dna replication begin,60.5,"at specific locations , or origins of replication , in the genome",63.0,"specific locations in the genome, called ""origins",61.0,"specific locations, or origins of replication, in the genome",61.0,"specific locations, or origins of replication, in the genome",66.5,"origins of replication, in the genome"
9606,62.875,"Dr. Miles Bronson , an American Baptist Missionary -- ",who compiled and publised the first assamese dictionary,75.5,Dr. Miles Bronson,75.5,"Dr. Miles Bronson,",75.5,"Dr. Miles Bronson,",75.5,"Dr. Miles Bronson,",25.0,Hemchandra Barua.
257,62.875,suffers a career - ending injury -- ,friday night lights what happened to matt saracen,100.0,suffers a career - ending injury,29.0,killed in Iraq after stepping on an IED.,22.5,night at the strip club with Tim ends early when his grandmother has an accident at home and is taken to the hospital.,100.0,suffers a career-ending injury,100.0,suffers a career-ending injury
5529,62.833333333333336,Sam Trammell -- ,who plays hazel's dad in the fault in our stars,100.0,Sam Trammell,0.0,No Edit,15.0,"Shailene Woodley, Ansel Elgort and Nat Wolff.",73.5,Sam Trammell was cast as Hazel's father,100.0,Sam Trammell
1840,62.75,the arid plains of Central Asia -- ,where did the plague that became known as the black death first break out in 1331 c.e,96.5,arid plains of Central Asia,33.0,in the lungs of the bobac variety of marmot,96.5,"arid plains of central Asia,",84.5,"dry plains of Central Asia,",37.0,plague first infected humans in Europe and Asia in the Late Neolithic-Early Bronze Age.[28]
4434,62.75,a draft pick whose position is determined through the lottery -- ,what are the lottery picks in nba draft,46.0,"only the top three picks are decided by the lottery , and are chosen from the 14 teams that do not make the playoffs",74.5,lottery process determines the first three picks of the draft,74.5,lottery process determines the first three picks of the draft,46.0,"only the top three picks are decided by the lottery, and are chosen from the 14 teams that do not make the playoffs",56.0,"winners of the top four picks are determined by the following process, beginning with the first draft pick"
3689,62.75,13 June 2003 -- ,when was the first t20 cricket match played,100.0,13 June 2003,75.0,2003,38.0,2005,38.0,2007,100.0,13 June 2003
7138,62.75,Incorporation -- ,what term describes when the 14th amendment is used to apply the bill of rights to state governments,85.0,mechanical incorporation,31.0,circuit split,77.0,incorporation of the Bill of Rights,71.5,"mechanical incorporation, or total incorporation",71.5,"mechanical incorporation, or total incorporation"
4288,62.75,Monty Criswell -- ,who wrote i saw god today by george strait,74.0,"Rodney Clawson , Monty Criswell and Wade Kirby",29.0,country music artist George Strait.,74.0,"Rodney Clawson, Monty Criswell and Wade Kirby,",74.0,"Rodney Clawson, Monty Criswell and Wade Kirby,",74.0,"Rodney Clawson, Monty Criswell and Wade Kirby,"
3048,62.75,"Tulsa , Oklahoma , in 1965 -- ",what is the setting of the outsiders novel,65.5,1965,22.0,a movie theater,98.0,"Tulsa, Oklahoma, in 1965,[2]",65.5,1965,65.5,1965
564,62.75,"October 21 , 1998 -- ",when did the game boy color come out,82.0,"21 , 1998",82.0,"21, 1998",71.0,1998,82.0,"21, 1998",16.0,"color released at the same time was ""Atomic Purple"","
7446,62.666666666666664,60 mph ( 96km / h ) -- ,what is the national speed limit on single carriageway,100.0,60 mph ( 96km / h ),0.0,No Edit,44.0,50 mph,84.0,60 mph (96 km/h),60.0,60 mph (97 km/h)
1974,62.666666666666664,Jack Gleeson -- ,who is the actor who plays joffrey in game of thrones,75.5,Jack Gleeson - wikipedia Jack Gleeson,0.0,No Edit,58.0,"Jack Gleeson (born 20 May 1992) is an Irish actor, best known for his portrayal of Joffrey Baratheon in the HBO television series Game of Thrones.",30.0,Game of Thrones.,100.0,Jack Gleeson
1736,62.625,"the drama series , Gunsmoke -- ",where did the saying get outta dodge come from,82.5,drama series,33.0,1990s indie rock album-related article is a stub,52.5,"the hell out of Dodge"", an exhortation that sometimes was given to villains in Gunsmoke,",82.5,drama series,82.5,drama series
2276,62.625,Guyana -- ,what is the only english speaking country in south america,57.0,Guyana is the only South American nation in which English is the official language .,83.0,guiana,53.5,Guyana is a member state of the Commonwealth of Nations and has the distinction of being the only South American nation in which English is the official language.,57.0,Guyana is the only South American nation in which English is the official language.,57.0,Guyana is the only South American nation in which English is the official language.
4888,62.625,the 1935 Constitution of the Commonwealth of the Philippines -- ,the constitution used by the philippine government from the commonwealth period until 1973,56.0,1935,51.5,"its own constitution, which remained effective until 1973",56.0,1935,56.0,1935,87.0,The Commonwealth of the Philippines
346,62.625,`` ( Everything I Do ) I Do It for You '' -- ,what song has stayed number one for the longest,90.5,( Everything I Do ) I Do It for You '' by Bryan Adams,30.0,longest run at number one,30.0,longest run at number one,90.5,"""(Everything I Do) I Do It for You"" by Bryan Adams,",100.0,"""(Everything I Do) I Do It for You"""
75,62.625,Vallabhbhai Patel -- ,who launched the bardoli satyagraha on 4th february 1928,100.0,Vallabhbhai Patel,13.5,"1920, the Indian National Congress under Gandhi's leadership launched the Non-Cooperation Movement.",37.0,bhai naik and Shivdasani and later they invited Sardar Vallabh bhai patel,100.0,"Vallabhbhai Patel,",100.0,"Vallabhbhai Patel,"
6027,62.625,Saint Francis -- ,who is the city of san francisco named after,65.5,St. Francis of Assisi,61.5,Francis of Assisi,65.5,St. Francis of Assisi,63.5,St. Francis of Assisi.[1],60.0,Francis of Assisi.[3]
1915,62.5,1995 -- ,first year for fuel injection on harley davidson,50.0,1903,75.0,1925,75.0,1925,50.0,1903,50.0,1903
7000,62.5,"April 1 to September 30 , 2017 -- ",when did season 2 of my hero academia come out,62.5,2017,0.0,No Edit,0.0,No Edit,62.5,2017,62.5,2017
4232,62.5,1997 -- 1981 -- ,when did cleveland host the all star game,50.0,1933,75.0,1951,75.0,1951,50.0,1933,50.0,1933
5532,62.5,in a cyberpunk - themed dystopian world -- ,where does deus ex mankind divided take place,97.0,a cyberpunk - themed dystopian world in 2029,0.0,No Edit,0.0,No Edit,97.0,a cyberpunk-themed dystopian world in 2029,28.0,"the world is divided between normal humans and those with advanced, controversial artificial organs dubbed ""augmentations"""
2687,62.5,1990 -- ,when was the last air force one built,22.0,29 August 2001,50.0,1958,75.0,1998,50.0,1958,75.0,1998
3798,62.5,Diamantina Deep in Diamantina Trench -- ,the deepest place in the indian ocean is,86.5,"Diamantina Deep in Diamantina Trench , at 8,047 m ( 26,401 ft ) deep",56.5,"7258 meters deep, is in the Java Trench[4]. North of 50° south latitude,",87.5,"Diamantina Deep in Diamantina Trench, at 8,047 m (26,401 ft) deep;",87.5,"Diamantina Deep in Diamantina Trench, at 8,047 m (26,401 ft) deep;",18.5,"3,741 m (12,274 ft) and a maximum depth of 7,906 m (25,938 ft).[5]"
8835,62.5,94 -- ,how many different types of atoms are found naturally on earth,100.0,94,100.0,94,50.0,98,100.0,94,0.0,all other naturally-occurring elements occur in the Earth as compounds or mixtures.
8349,62.5,16 -- ,how many championships did the minneapolis lakers win,100.0,16,0.0,five,100.0,16,100.0,16,50.0,17
4240,62.5,18 -- ,what is the legal age to buy cigarettes in australia,0.0,smoking age,100.0,18,50.0,21,100.0,18,0.0,smoking age
5382,62.5,1988 -- ,when's the last time dodgers won a world series,50.0,1957,0.0,2004,50.0,1957,100.0,1988,100.0,1988
4273,62.5,( as an adjectival noun ) `` foolish '' -- `` fool ; idiot '' -- ,what is the meaning of baka in japanese,37.0,( an antique kind of ) coin counter,38.0,"""point at a deer and say horse""",43.0,disorder; confusion,90.5,"fool; idiot"", or (as an adjectival noun) ""foolish""",78.5,fool
650,62.5,1 July 2007 as a consequence of the Health Act 2006 -- ,when did the smoking ban start in the uk,57.5,2006,67.5,1 July 2007.,67.5,1 July 2007,57.5,2006,57.5,2006
766,62.5,between 9 and 23 February 2018 -- ,when is figure skating on winter olympics 2018,68.0,"2018 Winter Olympics was held at the Gangneung Ice Arena in Gangneung , South Korea . The five events took place between 9 and 23 February 2018",0.0,No Edit,0.0,No Edit,63.0,"2018 Winter Olympics will be held at the Gangneung Ice Arena in Gangneung, South Korea. The five events will take place between 9–23 February 2018.[1]",62.0,2018
8819,62.5,1998 -- ,when was the world cup last held in france,50.0,1930,75.0,1938,75.0,1938,50.0,1930,50.0,1930
5660,62.5,"July 16 ( 2017 - 07 - 16 ) -- August 27 , 2017 -- ",official release of game of thrones season 7,26.5,"first official trailer for season 7 was released on May 24 , 2017",0.0,No Edit,0.0,No Edit,64.0,"seventh season of the fantasy drama television series Game of Thrones premiered on HBO on July 16, 2017, and concluded on August 27, 2017.[1][2][3]",61.0,2017
1097,62.5,United States District Court for the Northern District of California -- United States District Court for the Central District of California -- ,the four federal judicial districts in california are,56.5,federal courts of California,62.5,Courts of California,62.5,Courts of California,62.5,Courts of California,62.5,Courts of California
4551,62.5,1909 -- ,when was the last indian head penny made,25.0,1858,100.0,1909,100.0,1909,25.0,1858,25.0,1858
2954,62.5,"July 18 , 2008 -- ",when did the film mama mia come out,75.0,2008,25.0,1968,75.0,2008,75.0,2008,75.0,2008
9168,62.5,1987 -- ,when did red bull energy drink come out,75.0,1976,0.0,2006,100.0,1987,75.0,1976,75.0,1976
5748,62.5,from a description of the removal of the Cherokee Nation in 1838 -- ,where did the name trail of tears come from,91.5,Trail of Tears '' originated from a description of the removal of the Cherokee Nation in 1838,84.5,a description of the removal of the Choctaw Nation in 1831.[1],84.5,a description of the removal of the Choctaw Nation in 1831.[1],69.5,a description of the many native american tribes removal,11.5,land march
7812,62.5,2016 -- ,when did the chargers move from san diego to los angeles,50.0,1961,50.0,1961,50.0,1967,100.0,2016,50.0,1961
2216,62.5,1996 -- ,when's the last time the jets made the playoffs,75.0,1965,25.0,2006,75.0,1965,75.0,1965,75.0,1965
7322,62.5,carbon dioxide -- ,what are the products for the photosynthesis reaction,30.0,dioxygen ( O ) molecule,69.0,"carbon dioxide and water, releasing oxygen as a waste product",71.0,"sugars, are synthesized from carbon dioxide and water",80.0,capture and reduce carbon dioxide,30.0,dioxygen (O2) molecule as a waste product.
7096,62.5,has two flats -- ,what is the key signature for b flat major,91.0,two flats,56.0,B-flat major,12.0,B/E,91.0,two flats,91.0,two flats
6526,62.5,Leo Tolstoy -- ,who has written the book war and peace,33.0,Suetonius in 119 CE,17.0,maid of honour and confidante to the queen mother,100.0,"Leo Tolstoy,",33.0,Suetonius in 119 CE.,100.0,"Leo Tolstoy,"
8145,62.5,1982 -- ,when did spain last host the world cup,50.0,1930,75.0,1938,75.0,1938,50.0,1930,50.0,1930
8576,62.5,Albrecht Dürer -- ,who was the foremost artist of the german renaissance,100.0,Albrecht Dürer,62.5,"Albrecht Dürer was at the time, and remains, the most famous artist of the German Renaissance.",62.5,"Albrecht Dürer was at the time, and remains, the most famous artist of the German Renaissance.",62.5,"Albrecht Dürer was at the time, and remains, the most famous artist of the German Renaissance.",62.5,"Albrecht Dürer was at the time, and remains, the most famous artist of the German Renaissance."
2203,62.5,1949 -- ,when did the first lego set come out,50.0,1978,75.0,1969,75.0,1999,50.0,1978,50.0,1978
207,62.5,deep in the abyssal zone around the hydrothermal vents which exist along some mid-oceanic ridges -- ,where does primary productivity occur outside of the photic zone,80.5,abyssal zone around the hydrothermal vents,84.5,abyssal hydrothermal vents along mid-oceanic ridges,61.0,abyssal zone,80.5,abyssal zone around the hydrothermal vents,24.0,into the compensation point
3981,62.5,1912 -- ,when did the us acquire the last of the territory that would make up the 48 contiguous states,100.0,1912,25.0,1847,25.0,1783,100.0,1912,100.0,1912
4707,62.5,April 1917 -- ,when did the us get involved in world war 1,78.5,1917,22.0,Redirect,71.0,"6, 1917",78.5,1917,78.5,1917
7318,62.5,C -- ,where does do start in the key of c,54.0,C major - wikipedia C major,62.5,C major,62.5,C major.,62.5,C major,62.5,C major
8088,62.5,Efren Manalang Reyes -- ,who is the greatest pool player of all time,31.5,"analysts , fans , and current and former players consider Reyes to be the greatest pool player of all time",67.0,Efren Timbol Reyes,64.5,"Efren Manalang Reyes, OLD, PLH (born August 26, 1954) is a Filipino professional pool player and a two-time world champion.",31.0,"analysts, fans, and current and former players consider Reyes to be the greatest pool player of all time.[2][3]",87.5,"Efren ""Bata"" Manalang Reyes OLD PLH"
4445,62.375,Kevin Peter Hall -- ,who played henry in henry and the hendersons,77.0,Kevin Peter Hall - wikipedia Kevin Peter Hall,100.0,Kevin Peter Hall,100.0,Kevin Peter Hall,26.0,"title character of Harry in the film and television series, Harry and the Hendersons.",23.5,"portrayed the eponymous Harry in the fantasy comedy film Harry and the Hendersons (1987),"
8680,62.375,212 days per year -- ,how often does it rain in forks washington,100.0,212 days per year,19.0,"forks in the nearby Quillayute, Bogachiel, Calawah, and Sol Duc rivers.",67.5,"abundant, just not as wet as the rest of the year. Forks averages 212 days per year",100.0,212 days per year,63.0,above 100 inches per year
1239,62.375,2002 -- 1970 -- ,when did brazil win the soccer world cup,57.0,"1958 , Mexico 1970 , USA 1994 and South Korea / Japan 2002",61.5,1958 and South Korea/Japan 2002).,75.0,1930,57.0,"1958, Mexico 1970, USA 1994 and South Korea/Japan 2002).",56.0,"1958, Chile 1962, Mexico 1970, USA 1994 and South Korea/Japan 2002)."
6287,62.375,"the nasopharynx , the oropharynx and the laryngopharynx -- ",what are the 3 regions of the pharynx,100.0,"the nasopharynx , the oropharynx and the laryngopharynx",10.5,Redirect,45.5,"pyriform sinus, postcricoid area, and the posterior pharyngeal wall",100.0,"the nasopharynx, the oropharynx and the laryngopharynx",93.5,"nasopharynx, oropharynx, and laryngopharynx"
6873,62.25,Zoe McLellan -- ,who played agent brody on ncis new orleans,75.5,Zoe McLellan - wikipedia Zoe McLellan,100.0,Zoe McLellan,13.0,Petty Officer Jennifer Coates on JAG and as Lisa George on ABC's Dirty Sexy Money.,36.0,NCIS: New Orleans,100.0,Zoe McLellan
7658,62.25,1986 -- ,when was the term 'aids' first defined,75.0,1981,40.0,early 1980s,67.0,1980s,67.0,1980s,75.0,1981
5257,62.25,1 January 1927 -- ,when was the british broadcasting corporation (bbc) founded,72.0,1927,72.0,1927,33.0,1922,72.0,1927,72.0,1927
266,62.25,"Rubus leucodermis , more commonly known as the `` whitebark raspberry '' or `` blue raspberry '' -- ",where did the blue raspberry flavor come from,62.0,leucodermis,63.0,blue whitebark raspberry fruit juice,62.0,leucodermis,62.0,leucodermis,62.0,leucodermis
3273,62.25,Western Asia situated northeast of Africa on the Arabian plate -- ,where is the arabian peninsula located on a map,8.0,wikipedia,18.0,arabia,53.0,north-east of Africa.,89.0,northeast of Africa on the Arabian plate.,89.0,northeast of Africa on the Arabian Plate.
9502,62.25,Richard A. `` Rick '' Baker -- ,who did the special effects for american werewolf in london,22.0,special effects supervisor,65.5,"Richard A. ""Rick"" Baker (born December 8, 1950) is an American Academy Award-winning special makeup effects artist",68.5,"Richard A. ""Rick"" Baker (born December 8, 1950)[1] is an American special makeup effects artist",22.0,special effects supervisor,93.0,Richard A. Baker
9737,62.25,June Allyson -- ,who plays glenn miller's wife in the glenn miller story,74.5,marriage to Helen Burger ( June Allyson ),0.0,.,74.5,"marriage to Helen Burger (June Allyson),",74.5,"marriage to Helen Burger (June Allyson),",100.0,"(June Allyson),"
9768,62.25,Casting Society of America -- ,what does c.s.a. stand for in movies,80.5,society of America - Wikipedia The Casting Society of America,72.0,the Casting Society of America (CSA) is a professional society of about 350 casting directors,72.0,the Casting Society of America (CSA) is a professional society of about 350 casting directors,52.5,casting directors,52.5,casting directors
933,62.25,"on decaying organic matter such as food waste , carrion or faeces -- ",where do flys lay eggs in a house,100.0,"on decaying organic matter such as food waste , carrion or faeces",25.0,female fly can lay approximately 500 eggs in several batches of about 75 to 150 [2].,26.0,in several batches of about 75 to 150,99.0,"decaying organic matter such as food waste, carrion or faeces",99.0,"on decaying organic matter such as food waste, carrion, or feces"
5672,62.25,Britain -- ,where did the industrial revolution begin in the late-1700s,100.0,Britain,38.0,in Europe,11.0,second half of the 18th century,100.0,"Britain,",100.0,"Britain,"
2133,62.25,Tanya Bardsley -- ,who are the cast of real housewives of cheshire,63.5,"Starring Ampika Pickston , Dawn Ward , Lauren Simon , Leanne Brown , Magali Gorré and Tanya Bardsley",0.0,No Edit,0.0,No Edit,63.5,"Starring Ampika Pickston, Dawn Ward, Lauren Simon, Leanne Brown, Magali Gorré and Tanya Bardsley,",61.0,"Tanya Bardsley, Lauren Simon, Seema Malhotra, Rachel Lugo, Hanna Kinsella, Nicole Sealey, Lystra Adams and Deborah Davies."
1576,62.166666666666664,"March 20 , 2014 -- ",when did the 100 come out on netflix,86.0,"March 19 , 2014",0.0,No Edit,61.5,"19, 2014",63.5,"the series premiered on TVNZ's on-demand video streaming service on March 21, 2014.[20]",61.5,"19, 2014"
8641,62.125,Wayne Carson -- Johnny Christopher -- Mark James -- ,who wrote the song you are always on my mind,100.0,Wayne Carson,74.5,"Johnny Christopher, Mark James and Wayne Carson Thompson",43.5,Carson says that he wrote the song in 10 minutes at his home in Springfield at his kitchen table,52.5,Johnny and Mark,78.0,"Wayne Carson, Johnny Christopher and Mark James."
5350,62.125,Upper New York Bay -- ,where is ellis island located in new york,74.0,"Ellis Island - wikipedia Ellis Island , in Upper New York Bay",48.0,"Ellis Island, at the mouth of the Hudson River in New York Harbor,",100.0,"Upper New York Bay,",84.5,"Ellis Island, in Upper New York Bay,",16.0,immigration station
9851,62.125,the adrenal medulla -- ,in response to an acute stressor epinephrine is released from which structure,94.0,adrenal medulla,89.5,medulla of the adrenal glands,27.0,spinal cord,66.0,adrenal gland,66.0,adrenal gland
9482,62.125,Frankie Laine -- ,who sang the song gunfight at ok corral,100.0,Frankie Laine,22.5,James Garner as Earp and Jason Robards as Holliday.,26.0,gunfight at the O.K. Corral,100.0,"Frankie Laine,",100.0,"Frankie Laine,"
5234,62.125,Belgium -- ,who has a black yellow and red flag,65.0,national flag of the kingdom of Belgium,24.0,black lion of Flanders and Namur.[3],70.0,The national flag of Belgium,72.5,national flag of Belgium,82.0,flag of Belgium
225,62.0,"the energy currency of the cell , ATP -- ",the job of mitochondria is to supply cells with,54.5,cellular energy,64.5,energy,54.5,cellular energy,64.5,energy,64.5,energy
7585,62.0,Sattapanni caves Rajgriha ( now Rajgir ) -- ,the first buddhist council was held in the region of,62.0,caves,16.0,west and south,91.0,Sattapanni caves Rajgriha,91.0,Sattapanni caves Rajgriha,50.0,a cave near Rājagṛha
4897,62.0,Barry Gibb -- ,who wrote i want to be your everything,100.0,Barry Gibb,48.0,his brother,100.0,Barry Gibb,0.0,.,100.0,Barry Gibb
7919,62.0,"replacement of capitalism with socialism , and eventually communism -- ",the soviet union set up what kind of political economic system,62.0,communism,62.0,communism,62.0,communism,62.0,communism,62.0,communism
5937,62.0,I Can Only Imagine -- ,the song in the movie i can only imagine,75.5,I Can Only Imagine ( film ) - wikipedia I Can Only Imagine,0.0,No Edit,0.0,No Edit,100.0,"""I Can Only Imagine,""",24.0,"song of the same name, the best-selling Christian single of all time.[4]"
662,62.0,The Lord of the Rings -- Harry Potter and the Philosopher 's Stone -- ,top 5 best selling novels of all time,51.5,the Bible is the best - selling book of all time,85.5,The Lord of the Rings by J.R.R. Tolkien,23.5,"The Perry Rhodan series has sold more than 1 billion copies,[231] but is not listed because that figure includes magazine sales, not novels alone.",51.5,the Bible is the best-selling book of all time,87.5,"first novel in the series, Harry Potter and the Philosopher's Stone,"
3236,62.0,right - hand -- ,what side of the road to drive in sweden,53.5,left - hand side,70.5,left-hand side of the road to the right,70.5,left-hand side of the road to the right,53.5,left-hand side,53.5,left-hand side
6626,62.0,"Sparta , Illinois -- ",where was the movie in the heat of the night made,74.0,"most of the movie was filmed in Sparta , Illinois",74.0,"part of the movie was filmed in Sparta, Illinois,",100.0,"Sparta, Illinois,",74.0,"most of the movie was filmed in Sparta, Illinois,",0.0,.
1445,62.0,"August 16 , 1896 -- ",when was gold first found in the klondike,72.0,1896,32.0,late 19th century,72.0,1896,72.0,1896,72.0,1896
629,62.0,Selena Gomez -- ,who is the most following person on instagram,71.5,Selena Gomez is the most followed individual,0.0,No Edit,0.0,No Edit,100.0,Selena Gomez,24.0,Portuguese footballer Cristiano Ronaldo
9587,62.0,"United Kingdom , and their respective allies -- ",who did us fight in war of 1812,91.0,"United States , the United Kingdom , and their respective allies",45.0,between the United States of America and the British Empire,58.0,"the United States of America and the United Kingdom of Great Britain and Ireland, its North American colonies and its Indian allies.",89.5,"the United States, the United Kingdom, and their respective allies.",55.5,"United States and its allies, and the United Kingdom of Great Britain and Ireland and its dependent colonies in North America and Indian allies."
2247,62.0,Saudi Arabia -- ,which country shares a border with jordan and iraq,22.0,Israel,62.0,"border countries: Iraq 181 km, Israel 238 km, Saudi Arabia 728 km, Syria 375 km, West Bank 97 km",62.0,"border countries: Iraq 181 km, Israel 238 km, Saudi Arabia 744 km, Syria 375 km, West Bank 97 km",62.0,"border countries: Iraq 179 km, Israel 307 km, Saudi Arabia 731 km, Syria 379 km, West Bank 148 km",62.0,"border countries: Iraq 179 km, Israel 307 km, Saudi Arabia 731 km, Syria 379 km, West Bank 148 km"
8084,62.0,Alabama Crimson Tide -- ,who won the college football championship last year,26.0,2015 season,0.0,No Edit,0.0,No Edit,100.0,Alabama Crimson Tide,24.0,2008 Chick-fil-A Kickoff Game.
9248,62.0,"August 19 , 2004 -- $85 per share -- ",when did google go public and what was the price,72.0,2004,38.0,more than quadrupled,38.0,more than quadrupled,100.0,$85 per share,72.0,2004
1088,62.0,A. africanus -- ,two forms of australopithecines have been found in south africa. these are,71.0,A. africanus † A. deyiremeda † A. garhi † A. sediba,82.5,†A. afarensis †A. africanus,64.5,†A. africanus†A. garhi †A. sedibaAlso called Paranthropus †P. aethiopicus,71.0,†A. africanus †A. deyiremeda †A. garhi †A. sediba,30.0,Homo habilis and Homo erectus.[15]
7849,62.0,"eye that covers the iris , pupil , and anterior chamber -- ",the cornea is the transparent anterior part of the,62.0,the eye,62.0,the eye,62.0,the eye,62.0,the eye,62.0,the eye
1659,62.0,Sipaliwini savanna -- ,where does the blue poison dart frog live,23.0,mainland,61.0,"in the forests surrounded by the Sipaliwini savannah,",61.0,"in the forests surrounded by the Sipaliwini savannah,",63.0,"in the forests surrounded by the Sipaliwini savanna, which is located in southern Suriname and adjacent far northern Brazil.",63.0,"in the forests surrounded by the Sipaliwini Savanna, which is located in southern Suriname and adjacent far northern Brazil."
9070,61.875,"Ally McCoist , 355 -- ",who has the most goals on the rangers,70.5,"Ally McCoist is the club 's record goalscorer , scoring 355 goals",70.5,"Ally McCoist is the club's record goalscorer, scoring 355 goals",56.0,355 goals,56.0,355 goals,65.0,"Ally McCoist is the club's record goalscorer, scoring 355 goals during his Rangers career.[2]"
7114,61.875,"Wilmington , North Carolina -- ",where does one tree hill take place in real life,61.5,fictional town of Tree Hill in North Carolina,63.0,fictional town Tree Hill in North Carolina,61.5,fictional town of Tree Hill in North Carolina,61.5,fictional town of Tree Hill in North Carolina,61.5,fictional town of Tree Hill in North Carolina
8160,61.875,prevents a computer from attempting to operate on improper voltages and damaging itself by alerting it to improper power supply -- ,what is the purpose of the power good signal,100.0,prevents a computer from attempting to operate on improper voltages and damaging itself by alerting it to improper power supply,55.0,to tell the computer all is well with the power supply and that the computer can continue to operate normally,55.0,to tell the computer all is well with the power supply and that the computer can continue to operate normally,100.0,prevents a computer from attempting to operate on improper voltages and damaging itself by alerting it to improper power supply,37.5,to indicate to the motherboard that all of the voltages are within specification and that the system may proceed to boot and operate
5957,61.875,"150 North Las Vegas Boulevard in downtown Las Vegas , Nevada -- ",where is the ogden hotel in las vegas,73.5,downtown Las Vegas,67.0,downtown Las,33.5,one block north of Fremont.,73.5,"downtown Las Vegas,",73.5,"downtown Las Vegas,"
2834,61.875,The United States -- ,who gets the most tornadoes in the world,73.5,The United States has the most tornadoes of any country,43.0,"Netherlands,",66.5,the plains states,66.5,the plains states,71.5,time.[6] The United States has the most tornadoes of any country.
7612,61.875,two centuries of peace between the United States and Britain -- ,what was one significant result of the war of 1812 brainly,77.0,two centuries of peace,36.0,convinced the country that it could fend off any foreign threats,40.0,Britain imposed an effective blockade of American ports and captured many merchant ships.,100.0,two centuries of peace between the United States and Britain.,71.5,two centuries of peace between both countries
8905,61.875,3.5 to 3.8 billion years ago ( sometime in the Paleoarchean era ) -- ,approximately when did the ancestor of all life on earth live,81.5,3.5 to 3.8 billion years ago,81.5,3.5 to 3.8 billion years ago,81.5,3.5 to 3.8 billion years ago,81.5,3.5 to 3.8 billion years ago,3.0,1859
1141,61.75,"February 16 , 2018 ( 2018 - 02 - 16 ) ( United States ) -- ",when did the movie the black panther come out,59.0,2018,0.0,No Edit,0.0,No Edit,64.5,"16, 2018",59.0,2018
4218,61.75,Antarctic region in the South to the Arctic in the north -- ,where does the pacific ocean begin and end,58.0,south,73.0,"extends from the Arctic in the north to the Southern Ocean in the south,",58.0,south,58.0,south,58.0,south
398,61.75,Leslie Samuel Phillips -- ,who voices the sorting hat in harry potter,79.5,"Leslie Phillips - wikipedia Leslie Samuel Phillips , CBE",24.0,voice for the Sorting Hat in the Harry Potter films.,96.0,"Leslie Samuel Phillips, CBE",100.0,"Leslie Samuel Phillips,",27.0,Sorting Hat in the Harry Potter films.
102,61.75,Battle of San Jacinto -- ,texans won their independence as a result of what battle,100.0,battle of San Jacinto,41.0,"decisive battle of the Texas Revolution. Led by General Sam Houston, the Texas Army engaged and defeated General Antonio López de Santa Anna's Mexican forces",20.5,"defeating the Mexican army garrisons in the area, the Texans drove the remaining Mexican forces from Texas after a siege and a major confrontation in San Antonio.[7]",96.5,battle of San Jacinto.[71],89.0,victory; The Battle of San Jacinto
1388,61.75,"A vehicle identification number ( VIN ) is a unique code , including a serial number , used by the automotive industry to identify individual motor vehicles , towed vehicles , motorcycles , scooters and mopeds , as defined in ISO 3833 -- ",what's the vin number on a car,2.0,8X -- 82,62.5,"A Vehicle Identification Number,",61.5,vehicle identification number,61.5,vehicle identification number,61.5,vehicle identification number
3493,61.75,NCSA Mosaic -- ,which early browser was the first to run on multiple computer platforms including windows,40.0,a graphical browser,29.0,graphical browser running originally on Unix,18.0,"Silversmith,",100.0,"NCSA Mosaic,",100.0,"NCSA Mosaic,"
4776,61.75,"August 16 , 1987 -- ",when was hard rock stadium in miami built,72.0,1987,72.0,1987,31.0,1993 to 2011,72.0,1987,72.0,1987
3072,61.75,2015 -- ,when was the last time the royals won a world series,73.5,1985 and 2015,50.0,1985,50.0,1985,73.5,1985 and 2015,73.5,1985 and 2015
444,61.75,1905 -- ,when was the province of eastern bengal and assam created,66.0,between 1905 and 1912,0.0,Redirect,100.0,1905,73.5,1905 and 1912,73.5,1905 and 1912
1032,61.625,Genesis 1 : 1 - 3 -- the 4th century -- ,when did the idea of the trinity start,13.0,170,68.5,beginning of the second century,69.5,late in the fourth century,69.5,late in the fourth century,39.0,"early in the New Testament,"
1112,61.625,pancreatic cancer -- ,how did the author of a raisin in the sun die,76.0,cancer,47.5,a long battle with cancer,23.0,it dry up,76.0,cancer,100.0,pancreatic cancer
