,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
726,what episode does eleven come in season 1,['Chapter One : The Vanishing of Will Byers'],Stranger Things,,None,-1.0,None,None,0.0,Stranger Things,Stranger Things,0.0,reinforcing the status quo in the media landscape,Stranger Things,40.0,Chapter One: The Hellfire Club,Stranger Things,100.0,Chapter One: The Hellfire Club,Stranger Things,101.0
727,who sings the theme song for living single,['Queen Latifah'],Living Single,"Latifah, Ira Lee ""Tripp"" Williams III, Queen Latifah","{'Latifah': 'Living Single', 'Ira Lee ""Tripp"" Williams III': 'Living Single', 'Queen Latifah': 'Living Single'}",100.0,Queen Latifah,Living Single,100.0,Queen Latifah,Living Single,100.0,Queen Latifah,Living Single,100.0,Latifah,Living Single,100.0,Latifah,Living Single,0.0
728,who do they fight in the justice league,['supervillains who pose catastrophic challenges to the world'],Justice League,"Luthor, Joker and Cheetah, Killer Frost and Firestorm, a deranged Skeets","{'Luthor, Joker and Cheetah': 'Justice League', 'Killer Frost and Firestorm': 'Justice League', 'a deranged Skeets': 'Justice League'}",100.0,a deranged Skeets,Justice League,100.0,a deranged Skeets,Justice League,13.53352832366127,supervillains,Justice League,100.0,a deranged Skeets,Justice League,50.0,X-Men and the Avengers,Justice League,86.46647167633873
729,what is the role of a bishop in the bible,['ordain presbyters / bishops and to exercise general oversight'],Bishop,"overseer"" capacity, leader of the churches of a given geographical area, the offices of ""presbyter"" and ""episkopos"" were identical","{'overseer"" capacity': 'Bishop', 'leader of the churches of a given geographical area': 'Bishop', 'the offices of ""presbyter"" and ""episkopos"" were identical': 'Bishop'}",30.0,an ordained or consecrated member of the Christian clergy who is generally entrusted with a position of authority and oversight,Bishop,100.0,an ordained or consecrated member of the Christian clergy who is generally entrusted with a position of authority and oversight,Bishop,-1.0,None,None,100.0,leader of the churches of a given geographical area,Bishop,100.0,leader of the churches of a given geographical area,Bishop,101.0
730,who said life is like a bowl of cherries,['Lew Brown'],Life Is Just a Bowl of Cherries,Ray Henderson,{'Ray Henderson': 'Life Is Just a Bowl of Cherries'},100.0,Ray Henderson,Life Is Just a Bowl of Cherries,100.0,Ray Henderson,Life Is Just a Bowl of Cherries,100.0,Ray Henderson,Life Is Just a Bowl of Cherries,-1.0,None,None,100.0,Ray Henderson,Life Is Just a Bowl of Cherries,101.0
731,where was the magnificent seven filmed in 1960,"['Cuernavaca , Durango , and Tepoztlán and at the Churubusco Studios']",The Magnificent Seven,"Mexican village, Mexico, Mexican village","{'Mexican village': 'The Magnificent Seven', 'Mexico': 'The Magnificent Seven'}",100.0,Mexico,The Magnificent Seven,100.0,Churubusco Studios,The Magnificent Seven,100.0,Mexico,The Magnificent Seven,100.0,Mexico,The Magnificent Seven,100.0,Mexico,The Magnificent Seven,0.0
732,where is fort myers located at in florida,"['the Southwest', '26 ° 37 ′ N 81 ° 50 ′ W \ufeff / \ufeff 26.617 ° N 81.833 ° W', 'Lee County']","Fort Myers, Florida","Ft. Myers/Cape Coral MSA, west coast south of Cedar Key, 120 miles south of Tampa at the meeting point of the Gulf of Mexico and the Caloosahatchee River","{'Ft. Myers/Cape Coral MSA': 'Fort Myers, Florida', 'west coast south of Cedar Key': 'Fort Myers, Florida', '120 miles south of Tampa at the meeting point of the Gulf of Mexico and the Caloosahatchee River': 'Fort Myers, Florida'}",100.0,west coast south of Cedar Key,"Fort Myers, Florida",100.0,Lee County,"Fort Myers, Florida",100.0,Lee County,"Fort Myers, Florida",100.0,Lee County,"Fort Myers, Florida",100.0,Lee County,"Fort Myers, Florida",0.0
733,where did the term goody two shoes come from,['The History of Little Goody Two - Shoes'],The History of Little Goody Two-Shoes,"The History of Little Goody Two-Shoes, rich gentleman, Irish author Oliver Goldsmith","{'The History of Little Goody Two-Shoes': 'The History of Little Goody Two-Shoes', 'rich gentleman': 'The History of Little Goody Two-Shoes', 'Irish author Oliver Goldsmith': 'The History of Little Goody Two-Shoes'}",83.33333333333334,"""The History of Little Goody Two-Shoes",The History of Little Goody Two-Shoes,22.727272727272727,"""The History of Little Goody Two-Shoes"" is credited with popularizing the term ""goody two-shoes"", the actual origin of the phrase is unknown",The History of Little Goody Two-Shoes,100.0,"""The History of Little Goody Two-Shoes"" is credited with popularizing the term ""goody two-shoes"", the actual origin of the phrase is unknown",The History of Little Goody Two-Shoes,100.0,"""The History of Little Goody Two-Shoes"" is credited with popularizing the term ""goody two-shoes"", the actual origin of the phrase is unknown",The History of Little Goody Two-Shoes,100.0,"""The History of Little Goody Two-Shoes"" is credited with popularizing the term ""goody two-shoes"", the actual origin of the phrase is unknown",The History of Little Goody Two-Shoes,77.27272727272728
734,state the position of india in terms of population size,"['second', ""the world 's second most populous country""]",List of states and union territories of India by population,,None,100.0,second most populous country,List of states and union territories of India by population,100.0,second most populous country,List of states and union territories of India by population,100.0,second most populous country,List of states and union territories of India by population,100.0,second most populous country,List of states and union territories of India by population,100.0,second most populous country,List of states and union territories of India by population,0.0
735,who became a leader of the indian national congress,['Mahatma Gandhi'],Indian National Congress,"Kamaraj, Jawaharlal Nehru, Rajiv Gandhi","{'Kamaraj': 'Indian National Congress', 'Jawaharlal Nehru': 'Indian National Congress', 'Rajiv Gandhi': 'Indian National Congress'}",50.0,Indira Gandhi,Indian National Congress,100.0,Indira Gandhi,Indian National Congress,100.0,Rajiv Gandhi,Indian National Congress,100.0,Mahatma Gandhi,Indian National Congress,100.0,Jawaharlal Nehru,Indian National Congress,50.0
736,winner of worst cooks in america season 5,['Amber Brauner'],Worst Cooks in America,,None,0.0,Flay,Worst Cooks in America,100.0,Flay,Worst Cooks in America,0.0,12,Worst Cooks in America,100.0,12,Worst Cooks in America,100.0,12,Worst Cooks in America,100.0
737,what is the filename extension used for all java source files,"['. java', 'the four - letter suffix . java']",Filename extension,"codice_7, codice_11, LINUX BOOT","{'codice_7': 'Filename extension', 'codice_11': 'Filename extension', 'LINUX BOOT': 'Filename extension'}",0.0,codice_19,Filename extension,0.0,codice_14,Filename extension,0.0,codice_8,Filename extension,0.0,codice_23,Filename extension,100.0,codice_23,Filename extension,100.0
738,who cracked the enigma code in world war 2,['Turing'],Alan Turing,"Turing, Turing, Turing",{'Turing': 'Alan Turing'},100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,0.0
739,what is the job of the whip in congress,"['ensure party discipline in a legislature', 'to ensure party discipline']",Whip (politics),"to ensure that members of the party attend and vote as the party leadership desires, to ensure that all Members and Senators are present to take part in votes in the Chamber, Chief Opposition Whip","{'to ensure that members of the party attend and vote as the party leadership desires': 'Whip (politics)', 'to ensure that all Members and Senators are present to take part in votes in the Chamber': 'Whip (politics)', 'Chief Opposition Whip': 'Whip (politics)'}",40.0,Parliamentary Secretary to the Treasury,Whip (politics),88.23529411764706,to ensure that all members and senators are present to take part in votes in the chamber,Whip (politics),100.0,Parliamentary Secretary to the Treasury,Whip (politics),100.0,to ensure party discipline,Whip (politics),100.0,to ensure party discipline,Whip (politics),60.0
740,when was the last time unc did not make the ncaa tournament,['2003'],North Carolina Tar Heels men's basketball,"2001-02 season, 1924, 1953","{'2001-02 season': ""North Carolina Tar Heels men's basketball"", '1924': ""North Carolina Tar Heels men's basketball"", '1953': ""North Carolina Tar Heels men's basketball""}",50.0,2001–02 season,North Carolina Tar Heels men's basketball,0.0,1965–,North Carolina Tar Heels men's basketball,100.0,1965–,North Carolina Tar Heels men's basketball,100.0,1965–,North Carolina Tar Heels men's basketball,100.0,1965–,North Carolina Tar Heels men's basketball,100.0
741,what is the emperor's role in japan,"[""`` the symbol of the State and of the unity of the people ''""]",Emperor of Japan,"a revered embodiment of divine harmony, The position of emperor is a territory-independent phenomenon, The position of emperor is a territory-independent phenomenon - the emperor is the emperor","{'a revered embodiment of divine harmony': 'Emperor of Japan', 'The position of emperor is a territory-independent phenomenon': 'Emperor of Japan', 'The position of emperor is a territory-independent phenomenon - the emperor is the emperor': 'Emperor of Japan'}",100.0,The position of emperor is a territory-independent phenomenon,Emperor of Japan,87.5,The position of Emperor is a territory-independent phenomenon,Emperor of Japan,100.0,The position of Emperor is a territory-independent phenomenon,Emperor of Japan,42.324086244530704,head of state and the head of the Imperial Family of Japan,Emperor of Japan,81.87307530779819,head of state of Japan,Emperor of Japan,57.675913755469296
742,which foreign currency option is the​ right but not the​ obligation to buy foreign​ currency,"['a foreign exchange option ( commonly shortened to just FX option or currency option )', 'foreign exchange option']",Foreign exchange option,"the owner, european option on a FX rate is typically calculated by assuming that the rate follows a log-normal process.
Examples.
Suppose a United Kingdom manufacturing firm is expecting to be paid US$100,000 for a piece of engineering equipment to be delivered in 90 days. If the GBP strengthen against the US$ over the next 90 days the UK firm will lose money, as it will receive less GBP when the US$100,000 is converted into GBP. However, if the GBP weaken against the US$,then the UK firm will gain additional money. In this case, to protect the GBP value that the firm will receive in 90 day's time, the UK firm can purchase a GBP call/ USD put option, GBP call/ USD put option","{'the owner': 'Foreign exchange option', ""european option on a FX rate is typically calculated by assuming that the rate follows a log-normal process.\nExamples.\nSuppose a United Kingdom manufacturing firm is expecting to be paid US$100,000 for a piece of engineering equipment to be delivered in 90 days. If the GBP strengthen against the US$ over the next 90 days the UK firm will lose money, as it will receive less GBP when the US$100,000 is converted into GBP. However, if the GBP weaken against the US$,then the UK firm will gain additional money. In this case, to protect the GBP value that the firm will receive in 90 day's time, the UK firm can purchase a GBP call/ USD put option"": 'Foreign exchange option', 'GBP call/ USD put option': 'Foreign exchange option'}",-1.0,None,None,100.0,foreign exchange option,Foreign exchange option,100.0,foreign exchange option,Foreign exchange option,-1.0,None,None,100.0,foreign exchange option,Foreign exchange option,101.0
743,how many house of representative do we have in nigeria,"['360 members', '360']",House of Representatives (Nigeria),,None,100.0,360,House of Representatives (Nigeria),100.0,360,House of Representatives (Nigeria),100.0,360,House of Representatives (Nigeria),100.0,360,House of Representatives (Nigeria),100.0,360,House of Representatives (Nigeria),0.0
744,who was the actor who played grizzly adams,"[""`` Dan '' Haggerty"", ""Daniel Francis `` Dan '' Haggerty""]",Dan Haggerty,"Dan Haggerty, Haggerty, Haggerty","{'Dan Haggerty': 'Dan Haggerty', 'Haggerty': 'Dan Haggerty'}",100.0,Dan Haggerty,Dan Haggerty,100.0,Daniel Francis Haggerty,Dan Haggerty,100.0,Haggerty,Dan Haggerty,100.0,Daniel Francis Haggerty,Dan Haggerty,100.0,Daniel Francis Haggerty,Dan Haggerty,0.0
745,who sings blame it on the bossa nova,['Eydie Gormé'],Blame It on the Bossa Nova,"Eydie Gormé, Anna-Lena Löfgren","{'Eydie Gormé': 'Blame It on the Bossa Nova', 'Anna-Lena Löfgren': 'Blame It on the Bossa Nova'}",0.0,The Cookies,Blame It on the Bossa Nova,100.0,The Cookies,Blame It on the Bossa Nova,100.0,The Cookies,Blame It on the Bossa Nova,100.0,The Cookies,Blame It on the Bossa Nova,100.0,The Cookies,Blame It on the Bossa Nova,100.0
746,who is the supreme court judge was a former chief justice of kerala high court,['Konakuppakatil Gopinathan Balakrishnan'],K. G. Balakrishnan,"Konakuppakatil Gopinathan Balakrishnan, Justice Balakrishnan, Judge Balakrishnan","{'Konakuppakatil Gopinathan Balakrishnan': 'K. G. Balakrishnan', 'Justice Balakrishnan': 'K. G. Balakrishnan', 'Judge Balakrishnan': 'K. G. Balakrishnan'}",100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,0.0
747,where is the tierra del fuego located on a map,"['the southernmost tip of the South American mainland', 'off the southernmost tip of the South American mainland , across the Strait of Magellan']",Tierra del Fuego,"Isla Grande, main island, mainly with tundra borders","{'Isla Grande': 'Tierra del Fuego', 'main island': 'Tierra del Fuego', 'mainly with tundra borders': 'Tierra del Fuego'}",100.0,main island,Tierra del Fuego,100.0,the main island,Tierra del Fuego,100.0,Isla Grande,Tierra del Fuego,100.0,Isla Grande,Tierra del Fuego,100.0,main island,Tierra del Fuego,0.0
748,suburbanization of more developed countries is mostly due to,"['Many residents of metropolitan regions work within the central urban area , and choose to live in satellite communities called suburbs and commute to work']",Suburbanization,"increasing population of the older, more established suburban areas, technological advances to work from their homes, and chose to do so in an environment they consider more pleasant than the city. These processes often occur in more economically developed countries, especially in the United States, which is believed to be the first country in which the majority of the population lives in the suburbs, rather than in the cities or in rural areas. Proponents of containing urban sprawl argue that sprawl leads to urban decay and a concentration of lower income residents in the inner city.
Causes and effects.
Suburbanization can be linked to a number of different push and pull factors, centralization","{'increasing population of the older, more established suburban areas': 'Suburbanization', 'technological advances to work from their homes, and chose to do so in an environment they consider more pleasant than the city. These processes often occur in more economically developed countries, especially in the United States, which is believed to be the first country in which the majority of the population lives in the suburbs, rather than in the cities or in rural areas. Proponents of containing urban sprawl argue that sprawl leads to urban decay and a concentration of lower income residents in the inner city.\nCauses and effects.\nSuburbanization can be linked to a number of different push and pull factors': 'Suburbanization', 'centralization': 'Suburbanization'}",100.0,technological advances,Suburbanization,100.0,technological advances,Suburbanization,100.0,technological advances,Suburbanization,100.0,technological advances,Suburbanization,100.0,technological advances,Suburbanization,0.0
749,when is the state of the union addressed,"['as early as January 3 , and as late as February 12']",State of the Union,,None,2.1897810218978107,"January or February.
The Twentieth Amendment also established January 20 as the beginning of the presidential term. In years when a new president is inaugurated, the outgoing president may deliver a final State of the Union message, but none has done so since Jimmy Carter sent a written message in 1981. In 1953 and 1961, Congress received both a written State of the Union message from the outgoing president and a separate State of the Union speech by the incoming president. Since 1989, in recognition that the responsibility of reporting the State of the Union formally belongs to the president who held office during the past year, newly inaugurated Presidents have not officially called their first speech before Congress a ""State of the Union"" message.
In 1936, President Roosevelt set a precedent when he delivered the address at night",State of the Union,4.978706836786395,January or February,State of the Union,100.0,January or February,State of the Union,100.0,late January or early February,State of the Union,30.326532985631673,each January,State of the Union,97.81021897810218
750,who has won more grand slam titles in tennis,['Roger Federer'],List of Grand Slam men's singles champions,,None,-1.0,None,None,0.0,various players,List of Grand Slam men's singles champions,100.0,various players,List of Grand Slam men's singles champions,100.0,various players,List of Grand Slam men's singles champions,100.0,various players,List of Grand Slam men's singles champions,101.0
751,how many times has the saints won the super bowl,['1'],New Orleans Saints,"second, second, fourth straight game in a row","{'second': 'New Orleans Saints', 'fourth straight game in a row': 'New Orleans Saints'}",100.0,second,New Orleans Saints,100.0,second,New Orleans Saints,0.0,13,New Orleans Saints,100.0,13,New Orleans Saints,0.0,14–9,New Orleans Saints,100.0
752,when was the last time the los angeles lakers won a championship,"['in 2010', '2010']",Los Angeles Lakers,"2000-02, 1969, 1979","{'2000-02': 'Los Angeles Lakers', '1969': 'Los Angeles Lakers', '1979': 'Los Angeles Lakers'}",100.0,2010,Los Angeles Lakers,100.0,2010,Los Angeles Lakers,100.0,2010,Los Angeles Lakers,0.0,2000,Los Angeles Lakers,100.0,2000,Los Angeles Lakers,100.0
753,how many gold medals did australia win in the 2000 olympics,['16'],Australia at the 2000 Summer Olympics,"5, 2, 5 Gold, 9 Silver, and 4 Bronze medals","{'5': 'Australia at the 2000 Summer Olympics', '2': 'Australia at the 2000 Summer Olympics', '5 Gold, 9 Silver, and 4 Bronze medals': 'Australia at the 2000 Summer Olympics'}",100.0,5,Australia at the 2000 Summer Olympics,100.0,5,Australia at the 2000 Summer Olympics,100.0,"5 Gold, 9 Silver, and 4 Bronze medals",Australia at the 2000 Summer Olympics,100.0,2,Australia at the 2000 Summer Olympics,100.0,5,Australia at the 2000 Summer Olympics,0.0
754,where is the eagle creek fire located in oregon,"['Cascade Locks', 'Columbia River Gorge', ""45 ° 37 ′ 48 '' N 121 ° 54 ′ 14 '' W \ufeff / \ufeff 45.63 ° N 121.904 °""]",Eagle Creek Fire,,None,-1.0,None,None,-1.0,None,None,100.0,Columbia River Gorge,Eagle Creek Fire,100.0,Columbia River Gorge,Eagle Creek Fire,100.0,Cascade Locks,Eagle Creek Fire,101.0
755,different ways to spell corey for a boy,"['Corey , Coire , Corie , Corrie , Curry ( surname ) , Correy , Kory , Khouri , and Kori', 'Cory']",Cory,Cory,{'Cory': 'Cory'},33.33333333333333,"Corey, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori",Cory,81.81818181818183,"Corey, Coire, Corie, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori",Cory,100.0,"Corey, Coire, Corie, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori",Cory,0.0,Cora,Cory,100.0,Cora,Cory,100.0
756,who sang the song should have been a cowboy,"['Toby Keith', 'American country music artist Toby Keith']",Should've Been a Cowboy,Toby Keith,"{'Toby Keith': ""Should've Been a Cowboy""}",100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,0.0
757,how many counties does the state of georgia have,"['159', '159 counties']",List of counties in Georgia (U.S. state),"159, 159, 159",{'159': 'List of counties in Georgia (U.S. state)'},100.0,159,List of counties in Georgia (U.S. state),100.0,159,List of counties in Georgia (U.S. state),100.0,159,List of counties in Georgia (U.S. state),-1.0,None,None,-1.0,None,None,101.0
758,who sang picking up pebbles and throwing them into the sea,"['Matt Flinders ( born Sylvan Louis Bonett', 'Matt Flinders']",Matt Flinders,Matt Flinders,{'Matt Flinders': 'Matt Flinders'},100.0,Matt Flinders,Matt Flinders,100.0,Matt Flinders,Matt Flinders,100.0,Matt Flinders,Matt Flinders,-1.0,None,None,100.0,Matt Flinders,Matt Flinders,101.0
759,who made the most free throws in nba history,['Karl Malone'],List of National Basketball Association career free throw scoring leaders,,None,0.0,National Basketball Association players,List of National Basketball Association career free throw scoring leaders,-1.0,None,None,100.0,National Basketball Association players,List of National Basketball Association career free throw scoring leaders,-1.0,None,None,100.0,National Basketball Association players,List of National Basketball Association career free throw scoring leaders,101.0
760,which is the ring finger for male in india,"['the left ring finger', 'on the left ring finger mostly', 'left ring finger']",Ring finger,"The ring finger, left ring finger, ring finger","{'The ring finger': 'Ring finger', 'left ring finger': 'Ring finger', 'ring finger': 'Ring finger'}",50.0,Right finger,Ring finger,100.0,Right finger,Ring finger,50.0,fourth finger,Ring finger,100.0,The ring finger,Ring finger,100.0,The ring finger,Ring finger,50.0
761,what disney cartoon character's middle name is fauntleroy,"['Donald Duck', 'Donald Fauntleroy Duck']",Donald Duck,"Donald Duck, Mickey Mouse, Fethry Duck","{'Donald Duck': 'Donald Duck', 'Mickey Mouse': 'Donald Duck', 'Fethry Duck': 'Donald Duck'}",100.0,Donald Duck,Donald Duck,100.0,Donald Duck,Donald Duck,100.0,Donald Duck,Donald Duck,100.0,Donald Duck,Donald Duck,100.0,Fethry Duck,Donald Duck,0.0
762,who played king theoden in lord of the rings,['Bernard Hill'],Bernard Hill,"Bernard Hill, Hill, Bernard Hill","{'Bernard Hill': 'Bernard Hill', 'Hill': 'Bernard Hill'}",100.0,Bernard Hill,Bernard Hill,100.0,Hill,Bernard Hill,100.0,Bernard Hill,Bernard Hill,100.0,Bernard Hill,Bernard Hill,100.0,Hill,Bernard Hill,0.0
763,dark parables return of the salt princess release date,"['BETA game was released in September 2017', 'September 2017']",Dark Parables,,None,33.33333333333333,"September 21, 2012",Dark Parables,100.0,"September 21, 2012",Dark Parables,0.0,"June 26, 2014",Dark Parables,-1.0,None,None,-1.0,None,None,101.0
764,what are the outliers in a data set,"['an observation point that is distant from other observations .', 'an observation point that is distant from other observations']",Outlier,"an observation that is numerically distant from the rest of the data, 1 in 150 observations will be a mild outlier, and only about 1 in 425,000 an extreme outlier, faulty data, erroneous procedures, or areas where a certain theory might not be valid","{'an observation that is numerically distant from the rest of the data': 'Outlier', '1 in 150 observations will be a mild outlier, and only about 1 in 425,000 an extreme outlier': 'Outlier', 'faulty data, erroneous procedures, or areas where a certain theory might not be valid': 'Outlier'}",38.8241882763772,indicative of data points that belong to a different population than the rest of the sample set,Outlier,45.45454545454545,either measurement error or that the population has a heavy-tailed distribution,Outlier,100.0,data points that belong to a different population than the rest of the sample set,Outlier,-1.0,None,None,77.77777777777779,a data point that differs significantly from other observations,Outlier,101.0
765,who is running for south dakota attorney general,"[""Lawrence County State 's Attorney John Fitzgerald""]","South Dakota elections, 2018",,None,-1.0,None,None,-1.0,None,None,0.0,Marty Jackley,"South Dakota elections, 2018",-1.0,None,None,-1.0,None,None,1.0
766,what does it take to get into the rock and roll hall of fame,"['must receive the highest number of votes , and also greater than 50 % of the votes']",Rock and Roll Hall of Fame,"25 years after the release of their first record, A minimum of 50% of the vote, a specific time when the votes have to be in","{'25 years after the release of their first record': 'Rock and Roll Hall of Fame', 'A minimum of 50% of the vote': 'Rock and Roll Hall of Fame', 'a specific time when the votes have to be in': 'Rock and Roll Hall of Fame'}",100.0,A minimum of 50% of the vote,Rock and Roll Hall of Fame,100.0,a specific time when the votes have to be in,Rock and Roll Hall of Fame,100.0,a specific time when the votes have to be in,Rock and Roll Hall of Fame,100.0,25 years after the release of their first record,Rock and Roll Hall of Fame,100.0,25 years after the release of their first record,Rock and Roll Hall of Fame,0.0
767,where was the movie 500 days of summer filmed,['Los Angeles'],500 Days of Summer,,None,0.0,blu-ray,500 Days of Summer,0.0,Switzerland,500 Days of Summer,100.0,Switzerland,500 Days of Summer,100.0,Los Angeles,500 Days of Summer,100.0,Switzerland,500 Days of Summer,100.0
768,who played emma in h2o just add water,['Claire Rhiannon Holt'],Claire Holt,Claire Holt,{'Claire Holt': 'Claire Holt'},100.0,Claire Rhiannon Holt,Claire Holt,100.0,Claire Rhiannon Holt,Claire Holt,100.0,Claire Rhiannon Holt,Claire Holt,100.0,Claire Rhiannon Holt,Claire Holt,50.0,Claire Rhiannon Serenity Holt-Joblon,Claire Holt,50.0
769,where can carbon be found in the biosphere,"['in all land - living organisms , both alive and dead , as well as carbon stored in soils', 'plants', 'The terrestrial biosphere']",Carbon cycle,"terrestrial, trees and up to thousands of years in soils, Around 1,900 gigatons of carbon are present in the biosphere.
Carbon is an essential part of life on Earth. It plays an important role in the structure, biochemistry, and nutrition of all living cells.
Carbon storage in the biosphere is influenced by a number of processes on different time-scales: while net primary productivity follows a diurnal and seasonal cycle, carbon can be stored up to several hundreds of years in trees and up to thousands of years in soils","{'terrestrial': 'Carbon cycle', 'trees and up to thousands of years in soils': 'Carbon cycle', 'Around 1,900 gigatons of carbon are present in the biosphere.\nCarbon is an essential part of life on Earth. It plays an important role in the structure, biochemistry, and nutrition of all living cells.\nCarbon storage in the biosphere is influenced by a number of processes on different time-scales: while net primary productivity follows a diurnal and seasonal cycle, carbon can be stored up to several hundreds of years in trees and up to thousands of years in soils': 'Carbon cycle'}",77.27272727272727,"The terrestrial biosphere includes the organic carbon in all land-living organisms, both alive and dead, as well as carbon stored in soils",Carbon cycle,80.0,organic carbon from the biosphere,Carbon cycle,100.0,"all land-living organisms, both alive and dead, as well as carbon stored in soils",Carbon cycle,100.0,carbon stored in soils,Carbon cycle,100.0,soils,Carbon cycle,22.727272727272734
770,who is the winner of bigg boss kannada season,"['rapper Chandan Shetty', 'Chandan Shetty']",Bigg Boss Kannada 5,,None,-1.0,None,None,-1.0,None,None,100.0,Chandan Shetty,Bigg Boss Kannada 5,-1.0,None,None,-1.0,None,None,101.0
771,where was the outlaw of josey wales filmed,"['Lake Powell', 'Utah']",The Outlaw Josey Wales,"Kansas, Osceola, Missouri, Corn Creek near Edgar Springs, Missouri","{'Kansas': 'The Outlaw Josey Wales', 'Osceola, Missouri': 'The Outlaw Josey Wales', 'Corn Creek near Edgar Springs, Missouri': 'The Outlaw Josey Wales'}",50.0,"Kanab, Utah",The Outlaw Josey Wales,100.0,"Kanab, Utah",The Outlaw Josey Wales,100.0,Missouri,The Outlaw Josey Wales,100.0,Missouri,The Outlaw Josey Wales,100.0,"Kanab, Utah",The Outlaw Josey Wales,50.0
772,who plays the dad in the new beauty and the beast,['Kevin Kline'],Beauty and the Beast (2017 film),,None,-1.0,None,None,100.0,Kevin Kline,Beauty and the Beast (2017 film),0.0,Henry Garrett,Beauty and the Beast (2017 film),100.0,Henry Garrett,Beauty and the Beast (2017 film),100.0,Henry Garrett,Beauty and the Beast (2017 film),101.0
773,where was lars and the real girl filmed,"['on location in Alton , Elora , King Township , Toronto , Uxbridge , and Whitevale , all located in the Canadian province of Ontario', 'Alton , Elora , King Township , Toronto , Uxbridge , and Whitevale , all located in the Canadian province of Ontario', 'in the Canadian province of Ontario']",Lars and the Real Girl,"Toronto Film Festival, Bianca, brother and sister-in-law","{'Toronto Film Festival': 'Lars and the Real Girl', 'Bianca': 'Lars and the Real Girl', 'brother and sister-in-law': 'Lars and the Real Girl'}",50.0,the Internet,Lars and the Real Girl,37.5,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,100.0,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,100.0,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,100.0,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,62.5
774,what is the most important reason that species are going extinct,"['Explosive , unsustainable human population growth']",Extinction,"Limited geographic range, technological limitations, no longer able to survive in changing conditions or against superior competition","{'Limited geographic range': 'Extinction', 'technological limitations': 'Extinction', 'no longer able to survive in changing conditions or against superior competition': 'Extinction'}",28.57142857142857,human attempts to preserve critically endangered species,Extinction,100.0,Limited geographic range,Extinction,49.12384518467891,human population growth and overconsumption,Extinction,25.0,species have been evolving,Extinction,100.0,species have been evolving,Extinction,75.0
775,where does the saskatchewan river start and end,"['from the Canadian Rockies continental divide east to central Saskatchewan', 'Saskatchewan Glacier , Alberta', 'central Saskatchewan']",North Saskatchewan River,Saskatchewan River Forks,{'Saskatchewan River Forks': 'North Saskatchewan River'},100.0,Saskatchewan River Forks,North Saskatchewan River,100.0,Saskatchewan River Forks,North Saskatchewan River,100.0,Saskatchewan River Forks,North Saskatchewan River,100.0,Saskatchewan River Forks,North Saskatchewan River,100.0,Saskatchewan River Forks,North Saskatchewan River,0.0
776,where was don't you worry child filmed,"[""on location at the group 's final British performance on 14 July 2012 at the National Bowl in Milton Keynes"", ""at the group 's final British performance on 14 July 2012 at the National Bowl in Milton Keynes""]",Don't You Worry Child,,None,7.427357821433388,National Bowl in Milton Keynes,Don't You Worry Child,100.0,National Bowl in Milton Keynes,Don't You Worry Child,100.0,National Bowl in Milton Keynes,Don't You Worry Child,100.0,National Bowl in Milton Keynes,Don't You Worry Child,100.0,National Bowl in Milton Keynes,Don't You Worry Child,92.57264217856661
777,where are the spanish steps located in italy,"['a steep slope between the Piazza di Spagna at the base and Piazza Trinità dei Monti , dominated by the Trinità dei Monti church at the top', 'Rome']",Spanish Steps,"Palazzo Monaldeschi, street trimita dei monti, Rome","{'Palazzo Monaldeschi': 'Spanish Steps', 'street trimita dei monti': 'Spanish Steps', 'Rome': 'Spanish Steps'}",100.0,Rome,Spanish Steps,100.0,Rome,Spanish Steps,100.0,Rome,Spanish Steps,100.0,Rome,Spanish Steps,100.0,Palazzo Monaldeschi,Spanish Steps,0.0
