,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
712,where did dr seuss wrote his first book,['returning from an ocean voyage to Europe'],Dr. Seuss,0.0,"La Jolla, California",Dr. Seuss,0.0,Mulberry Street in Springfield,Dr. Seuss,10.000000000000002,And to Think That I Saw It on Mulberry Street,Dr. Seuss,10.000000000000002,And to Think That I Saw It on Mulberry Street,Dr. Seuss,10.000000000000002,And to Think That I Saw It on Mulberry Street,Dr. Seuss,10.000000000000002,And to Think That I Saw It on Mulberry Street,Dr. Seuss,10.000000000000002
713,what does fancy dress mean in the uk,"['costumes', 'A costume', 'guests dress up in costumes', 'a type of party , common mainly in contemporary Western culture , where guests dress up in costumes']",Costume party,90.9090909090909,a type of party where guests dress up in a costume,Costume party,10.10884432854389,Australian fancy dress parties typically follows the style of the United States,Costume party,0.0,Halloween,Costume party,73.68421052631578,"British English) is a type of party, common mainly in contemporary Western culture, where guests dress up in costumes",Costume party,14.285714285714285,Fancy dress parties are popular year round,Costume party,14.285714285714285,Fancy dress parties are popular year round,Costume party,90.9090909090909
714,the intermaxillary segment formed by the fusion of the,['tissues in the vicinity of the nose'],Intermaxillary segment,-1.0,None,None,0.24787521766663584,tissues,Intermaxillary segment,0.24787521766663584,tissues,Intermaxillary segment,-1.0,None,None,-1.0,None,None,0.24787521766663584,tissues,Intermaxillary segment,1.247875217666636
715,how many seasons of the bastard executioner are there,"['one season', 'one']",The Bastard Executioner,-1.0,None,None,-1.0,None,None,100.0,one,The Bastard Executioner,100.0,one,The Bastard Executioner,100.0,one,The Bastard Executioner,100.0,one,The Bastard Executioner,101.0
716,why did jean valjean take care of cosette,['he had promised'],Jean Valjean,9.09090909090909,"he is on his way to get Fantine's eight-year-old daughter, Cosette",Jean Valjean,4.000000000000001,"feeling threatened since the incident with Thénardier and since he believes there has been a man hiding in his garden, decides to move to England",Jean Valjean,4.000000000000001,"feeling threatened since the incident with Thénardier and since he believes there has been a man hiding in his garden, decides to move to England",Jean Valjean,60.0,he had promised to rescue,Jean Valjean,12.500000000000004,the brand wound he got during the attack,Jean Valjean,0.0,loses her mother,Jean Valjean,60.0
717,who does the democratic republic of congo trade with,"['AU', 'China']",Economy of the Democratic Republic of the Congo,0.0,the IMF and World Bank,Economy of the Democratic Republic of the Congo,0.0,Congolese,Economy of the Democratic Republic of the Congo,0.0,World Bank,Economy of the Democratic Republic of the Congo,0.0,International Monetary Fund,Economy of the Democratic Republic of the Congo,0.0,Belgium,Economy of the Democratic Republic of the Congo,0.0,World Bank,Economy of the Democratic Republic of the Congo,0.0
718,what was the purpose of the bantu education act,"['enforcing racially separated educational facilities', 'legalised several aspects of the apartheid system']","Bantu Education Act, 1953",-1.0,None,None,100.0,enforcing racially separated educational facilities,"Bantu Education Act, 1953",100.0,enforcing racially separated educational facilities,"Bantu Education Act, 1953",100.0,enforcing racially separated educational facilities,"Bantu Education Act, 1953",100.0,enforcing racially separated educational facilities,"Bantu Education Act, 1953",38.94003915357025,enforced racially-separated educational facilities,"Bantu Education Act, 1953",101.0
719,what type of snake is kaa in jungle book,['Indian rock python'],Kaa,30.326532985631673,huge python,Kaa,100.0,Indian rock python,Kaa,100.0,Indian rock python,Kaa,0.0,huge and powerful,Kaa,0.0,huge and powerful,Kaa,0.0,giant,Kaa,100.0
720,what do the colors on ecuador's flag mean,['Yellow : The crops and the fertile soil .'],Flag of Ecuador,10.10884432854389,"yellow (double width), blue and red",Flag of Ecuador,8.986579282344431,"double width), blue and red",Flag of Ecuador,10.10884432854389,"yellow (double width), blue and red",Flag of Ecuador,10.10884432854389,"yellow (double width), blue and red",Flag of Ecuador,8.986579282344431,"double width), blue and red",Flag of Ecuador,10.10884432854389,"yellow (double width), blue and red",Flag of Ecuador,1.122265046199459
721,what is the snow on mars made of,"['CO ice ( dry ice )', 'water ice']",Martian polar ice caps,-1.0,None,None,36.787944117144235,ice,Martian polar ice caps,36.787944117144235,ice,Martian polar ice caps,0.0,frost,Martian polar ice caps,0.0,frost,Martian polar ice caps,0.0,frost,Martian polar ice caps,37.787944117144235
722,when does elena turn into a vampire in the tv series,"['fourth season', ""In the television series 's fourth season"", 'season four']",Elena Gilbert,-1.0,None,None,100.0,fourth season,Elena Gilbert,100.0,fourth season,Elena Gilbert,100.0,fourth season,Elena Gilbert,100.0,fourth season,Elena Gilbert,100.0,fourth season,Elena Gilbert,101.0
723,who gets first pick of fa cup games,"['BBC', 'the BBC']",FA Cup,0.0,The winning team,FA Cup,100.0,the BBC,FA Cup,100.0,the BBC,FA Cup,100.0,the BBC,FA Cup,100.0,the BBC,FA Cup,100.0,the BBC,FA Cup,100.0
724,what part of dc is howard university in,"['northwest Washington', 'in northwest Washington', 'northwest']",Howard University,0.0,Howard Hall,Howard University,0.0,College of Medicine,Howard University,0.0,historically black,Howard University,0.0,historically black,Howard University,0.0,Colleges of Liberal Arts and Medicine,Howard University,0.0,Colleges of Liberal Arts and Medicine,Howard University,0.0
725,what is the first covenant in the old testament,['the Noahic Covenant'],Covenant (biblical),60.653065971263345,Noahic Covenant,Covenant (biblical),60.653065971263345,Noahic Covenant,Covenant (biblical),14.285714285714285,Gen. 17 contains the covenant of circumcision,Covenant (biblical),0.0,circumcision,Covenant (biblical),0.0,Mosaic covenant,Covenant (biblical),3.3707865168539324,"Noahic Covenant (in Genesis), which is between God and all living creatures, as well as a number of more specific covenants with individuals or groups. Biblical covenants include those with Abraham, the whole Israelite people, the Israelite priesthood, and the Davidic lineage of kings. In form and terminology, these covenants echo the kinds of treaty agreements in the surrounding ancient world.
The Book of Jeremiah, verses say that Yahweh will establish a new covenant with the house of Israel and the house of Judah. Most Christians believe this New Covenant",Covenant (biblical),60.653065971263345
726,what episode does eleven come in season 1,['Chapter One : The Vanishing of Will Byers'],Stranger Things,-1.0,None,None,-1.0,None,None,0.0,Stranger Things,Stranger Things,0.0,reinforcing the status quo in the media landscape,Stranger Things,21.952465443761056,Chapter One: The Hellfire Club,Stranger Things,21.952465443761056,Chapter One: The Hellfire Club,Stranger Things,22.952465443761056
727,who sings the theme song for living single,['Queen Latifah'],Living Single,100.0,Queen Latifah,Living Single,100.0,Queen Latifah,Living Single,100.0,Queen Latifah,Living Single,100.0,Queen Latifah,Living Single,100.0,Queen Latifah,Living Single,100.0,Queen Latifah,Living Single,0.0
728,who do they fight in the justice league,['supervillains who pose catastrophic challenges to the world'],Justice League,0.0,"Luthor, Joker and Cheetah",Justice League,0.0,a Parademon,Justice League,43.90493088752211,supervillains who pose catastrophic threats,Justice League,12.500000000000004,heavenly forces that the Justice League can't handle,Justice League,10.976232721880528,Lex Luthor and the Joker,Justice League,27.27272727272727,villains who threatened the entire world or even the entire cosmos,Justice League,43.90493088752211
729,what is the role of a bishop in the bible,['ordain presbyters / bishops and to exercise general oversight'],Bishop,11.031211282307446,"the offices of ""presbyter"" and ""episkopos"" were identical",Bishop,10.000000000000002,an ordained or consecrated member of the Christian clergy who is generally entrusted with a position of authority and oversight,Bishop,18.181818181818183,the primate of sacrificial priesthood and the power to forgive sins,Bishop,-1.0,None,None,0.0,episkopos,Bishop,0.0,an ordained or appointed member,Bishop,19.181818181818183
730,who said life is like a bowl of cherries,['Lew Brown'],Life Is Just a Bowl of Cherries,0.0,Ray Henderson,Life Is Just a Bowl of Cherries,0.0,Ray Henderson,Life Is Just a Bowl of Cherries,0.0,Ray Henderson,Life Is Just a Bowl of Cherries,0.0,Ray Henderson,Life Is Just a Bowl of Cherries,-1.0,None,None,0.0,Ray Henderson,Life Is Just a Bowl of Cherries,1.0
731,where was the magnificent seven filmed in 1960,"['Cuernavaca , Durango , and Tepoztlán and at the Churubusco Studios']",The Magnificent Seven,0.0,Mexican village,The Magnificent Seven,62.2795757824184,"Cuernavaca, Durango, and Tepoztlán and at the Churubusco Studios",The Magnificent Seven,1.1108996538242306,Churubusco Studios,The Magnificent Seven,24.137931034482758,"Mexico, where both the village and the U.S. border town were built for the film. The location filming was in Cuernavaca, Durango, and Tepoztlán and at the Churubusco Studios",The Magnificent Seven,24.137931034482758,"Mexico, where both the village and the U.S. border town were built for the film. The location filming was in Cuernavaca, Durango, and Tepoztlán and at the Churubusco Studios",The Magnificent Seven,62.2795757824184,"Cuernavaca, Durango, and Tepoztlán and at the Churubusco Studios",The Magnificent Seven,62.2795757824184
732,where is fort myers located at in florida,"['the Southwest', '26 ° 37 ′ N 81 ° 50 ′ W \ufeff / \ufeff 26.617 ° N 81.833 ° W', 'Lee County']","Fort Myers, Florida",5.2553303828153615,120 miles south of Tampa at the meeting point of the Gulf of Mexico and the Caloosahatchee River,"Fort Myers, Florida",2.7027027027027026,"Key West, Florida at the remains of the abandoned federal fort. Manuel and his son made repairs on what would become the Gonzalez family home located at what is now the corner of First and Jackson streets","Fort Myers, Florida",100.0,Lee County,"Fort Myers, Florida",100.0,Lee County,"Fort Myers, Florida",100.0,Lee County,"Fort Myers, Florida",100.0,Lee County,"Fort Myers, Florida",97.29729729729729
733,where did the term goody two shoes come from,['The History of Little Goody Two - Shoes'],The History of Little Goody Two-Shoes,59.71094254781577,The History of Little Goody Two-Shoes,The History of Little Goody Two-Shoes,47.76875403825262,"""The History of Little Goody Two-Shoes",The History of Little Goody Two-Shoes,18.181818181818183,"""The History of Little Goody Two-Shoes"" is credited with popularizing the term ""goody two-shoes"", the actual origin of the phrase is unknown",The History of Little Goody Two-Shoes,18.181818181818183,"""The History of Little Goody Two-Shoes"" is credited with popularizing the term ""goody two-shoes"", the actual origin of the phrase is unknown",The History of Little Goody Two-Shoes,18.181818181818183,"""The History of Little Goody Two-Shoes"" is credited with popularizing the term ""goody two-shoes"", the actual origin of the phrase is unknown",The History of Little Goody Two-Shoes,18.181818181818183,"""The History of Little Goody Two-Shoes"" is credited with popularizing the term ""goody two-shoes"", the actual origin of the phrase is unknown",The History of Little Goody Two-Shoes,41.52912436599759
734,state the position of india in terms of population size,"['second', ""the world 's second most populous country""]",List of states and union territories of India by population,-1.0,None,None,100.0,second most populous country,List of states and union territories of India by population,100.0,second most populous country,List of states and union territories of India by population,100.0,second most populous country,List of states and union territories of India by population,100.0,second most populous country,List of states and union territories of India by population,100.0,second most populous country,List of states and union territories of India by population,101.0
735,who became a leader of the indian national congress,['Mahatma Gandhi'],Indian National Congress,50.0,Rajiv Gandhi,Indian National Congress,50.0,Indira Gandhi,Indian National Congress,50.0,Indira Gandhi,Indian National Congress,50.0,Rajiv Gandhi,Indian National Congress,100.0,Mahatma Gandhi,Indian National Congress,0.0,Jawaharlal Nehru,Indian National Congress,100.0
736,winner of worst cooks in america season 5,['Amber Brauner'],Worst Cooks in America,-1.0,None,None,0.0,Flay,Worst Cooks in America,0.0,chef Bobby Flay,Worst Cooks in America,0.0,12,Worst Cooks in America,0.0,12,Worst Cooks in America,0.0,12,Worst Cooks in America,1.0
737,what is the filename extension used for all java source files,"['. java', 'the four - letter suffix . java']",Filename extension,0.0,codice_7,Filename extension,0.0,codice_19,Filename extension,0.0,codice_14,Filename extension,0.0,codice_8,Filename extension,0.0,codice_23,Filename extension,33.33333333333333,five-letter suffix codice_24,Filename extension,33.33333333333333
738,who cracked the enigma code in world war 2,['Turing'],Alan Turing,100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,100.0,Turing,Alan Turing,0.0
739,what is the job of the whip in congress,"['ensure party discipline in a legislature', 'to ensure party discipline']",Whip (politics),20.0,to ensure that members of the party attend and vote as the party leadership desires,Whip (politics),20.0,Parliamentary Secretary to the Treasury,Whip (politics),17.647058823529413,to ensure that all members and senators are present to take part in votes in the chamber,Whip (politics),100.0,to ensure party discipline,Whip (politics),100.0,to ensure party discipline,Whip (politics),100.0,to ensure party discipline,Whip (politics),82.35294117647058
740,when was the last time unc did not make the ncaa tournament,['2003'],North Carolina Tar Heels men's basketball,0.0,2001-02 season,North Carolina Tar Heels men's basketball,0.0,2010,North Carolina Tar Heels men's basketball,0.0,1965–,North Carolina Tar Heels men's basketball,0.0,2010,North Carolina Tar Heels men's basketball,0.0,1961,North Carolina Tar Heels men's basketball,0.0,1961,North Carolina Tar Heels men's basketball,0.0
741,what is the emperor's role in japan,"[""`` the symbol of the State and of the unity of the people ''""]",Emperor of Japan,21.428571428571423,The position of emperor is a territory-independent phenomenon - the emperor is the emperor,Emperor of Japan,6.611955528863462,the emperor is the emperor,Emperor of Japan,36.84210526315789,the head of the Imperial Family and is the ceremonial head of state of Japan's system of constitutional monarchy,Emperor of Japan,42.324086244530704,the head of the Imperial Family and the traditional head of state,Emperor of Japan,42.324086244530704,head of state and the head of the Imperial Family of Japan,Emperor of Japan,6.896551724137931,"the emperor is the emperor, even if he has followers only in one province (as was the case sometimes with the southern and northern courts).
During the Kofun period the first central government of the unified state was Yamato in the Kinai region of central Japan. The territory of Japan has changed throughout history. Its largest extent was the Empire of Japan. In 1938 it was . The maximum extent including the home islands and the Japanese colonial empire was in 1942. After its defeat in World War II the empire was dismantled. The contemporary territories include the Japanese archipelago and these areas. Regardless of territorial changes the Emperor remains the formal head of state of Japan",Emperor of Japan,35.71213071566724
742,which foreign currency option is the​ right but not the​ obligation to buy foreign​ currency,"['a foreign exchange option ( commonly shortened to just FX option or currency option )', 'foreign exchange option']",Foreign exchange option,20.0,GBP call/ USD put option,Foreign exchange option,-1.0,None,None,100.0,foreign exchange option,Foreign exchange option,100.0,foreign exchange option,Foreign exchange option,-1.0,None,None,100.0,foreign exchange option,Foreign exchange option,101.0
743,how many house of representative do we have in nigeria,"['360 members', '360']",House of Representatives (Nigeria),-1.0,None,None,100.0,360,House of Representatives (Nigeria),100.0,360,House of Representatives (Nigeria),100.0,360,House of Representatives (Nigeria),100.0,360,House of Representatives (Nigeria),100.0,360,House of Representatives (Nigeria),101.0
744,who was the actor who played grizzly adams,"[""`` Dan '' Haggerty"", ""Daniel Francis `` Dan '' Haggerty""]",Dan Haggerty,36.787944117144235,Dan Haggerty,Dan Haggerty,36.787944117144235,Dan Haggerty,Dan Haggerty,71.65313105737893,Daniel Francis Haggerty,Dan Haggerty,75.0,"Daniel Francis ""Dan"" Haggerty",Dan Haggerty,71.65313105737893,Daniel Francis Haggerty,Dan Haggerty,71.65313105737893,Daniel Francis Haggerty,Dan Haggerty,38.212055882855765
745,who sings blame it on the bossa nova,['Eydie Gormé'],Blame It on the Bossa Nova,100.0,Eydie Gormé,Blame It on the Bossa Nova,0.0,The Cookies,Blame It on the Bossa Nova,0.0,The Cookies,Blame It on the Bossa Nova,0.0,The Cookies,Blame It on the Bossa Nova,36.787944117144235,Gormé,Blame It on the Bossa Nova,0.0,Manuela,Blame It on the Bossa Nova,100.0
746,who is the supreme court judge was a former chief justice of kerala high court,['Konakuppakatil Gopinathan Balakrishnan'],K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,100.0,Konakuppakatil Gopinathan Balakrishnan,K. G. Balakrishnan,0.0
747,where is the tierra del fuego located on a map,"['the southernmost tip of the South American mainland', 'off the southernmost tip of the South American mainland , across the Strait of Magellan']",Tierra del Fuego,0.0,Isla Grande,Tierra del Fuego,54.88116360940264,across the Strait of Magellan,Tierra del Fuego,71.39007178154544,"southernmost tip of the South American mainland, across the Strait of Magellan",Tierra del Fuego,71.39007178154544,"southernmost tip of the South American mainland, across the Strait of Magellan",Tierra del Fuego,0.0,Isla Grande,Tierra del Fuego,71.39007178154544,"southernmost tip of the South American mainland, across the Strait of Magellan",Tierra del Fuego,71.39007178154544
748,suburbanization of more developed countries is mostly due to,"['Many residents of metropolitan regions work within the central urban area , and choose to live in satellite communities called suburbs and commute to work']",Suburbanization,9.900990099009901,"technological advances to work from their homes, and chose to do so in an environment they consider more pleasant than the city. These processes often occur in more economically developed countries, especially in the United States, which is believed to be the first country in which the majority of the population lives in the suburbs, rather than in the cities or in rural areas. Proponents of containing urban sprawl argue that sprawl leads to urban decay and a concentration of lower income residents in the inner city.
Causes and effects.
Suburbanization can be linked to a number of different push and pull factors",Suburbanization,0.0,middle class housing developments,Suburbanization,0.0,technological advances,Suburbanization,7.638184386044966,"housing shortages, available finance, preferences and the degree of ‘permitted’ informality",Suburbanization,5.971648413335981,Pre-existing disparities in the demographic composition of suburbs,Suburbanization,7.638184386044966,"housing shortages, available finance, preferences and the degree of 'permitted' informality",Suburbanization,9.900990099009901
749,when is the state of the union addressed,"['as early as January 3 , and as late as February 12']",State of the Union,-1.0,None,None,2.1897810218978107,"January or February.
The Twentieth Amendment also established January 20 as the beginning of the presidential term. In years when a new president is inaugurated, the outgoing president may deliver a final State of the Union message, but none has done so since Jimmy Carter sent a written message in 1981. In 1953 and 1961, Congress received both a written State of the Union message from the outgoing president and a separate State of the Union speech by the incoming president. Since 1989, in recognition that the responsibility of reporting the State of the Union formally belongs to the president who held office during the past year, newly inaugurated Presidents have not officially called their first speech before Congress a ""State of the Union"" message.
In 1936, President Roosevelt set a precedent when he delivered the address at night",State of the Union,3.319137891190929,January or February,State of the Union,3.319137891190929,January or February,State of the Union,19.72775711532852,late January or early February,State of the Union,0.33689734995427334,each January,State of the Union,20.72775711532852
750,who has won more grand slam titles in tennis,['Roger Federer'],List of Grand Slam men's singles champions,-1.0,None,None,-1.0,None,None,0.0,various players,List of Grand Slam men's singles champions,0.0,various players,List of Grand Slam men's singles champions,0.0,various players,List of Grand Slam men's singles champions,0.0,various players,List of Grand Slam men's singles champions,1.0
751,how many times has the saints won the super bowl,['1'],New Orleans Saints,0.0,second,New Orleans Saints,0.0,second,New Orleans Saints,0.0,16,New Orleans Saints,0.0,13,New Orleans Saints,0.0,four,New Orleans Saints,0.0,14–9,New Orleans Saints,0.0
752,when was the last time the los angeles lakers won a championship,"['in 2010', '2010']",Los Angeles Lakers,0.0,2000-02,Los Angeles Lakers,100.0,2010,Los Angeles Lakers,100.0,2010,Los Angeles Lakers,100.0,2010,Los Angeles Lakers,0.0,2000,Los Angeles Lakers,0.0,2000,Los Angeles Lakers,100.0
753,how many gold medals did australia win in the 2000 olympics,['16'],Australia at the 2000 Summer Olympics,0.0,5,Australia at the 2000 Summer Olympics,0.0,5,Australia at the 2000 Summer Olympics,0.0,5,Australia at the 2000 Summer Olympics,0.0,"5 Gold, 9 Silver, and 4 Bronze medals",Australia at the 2000 Summer Olympics,0.0,2,Australia at the 2000 Summer Olympics,0.0,5,Australia at the 2000 Summer Olympics,0.0
754,where is the eagle creek fire located in oregon,"['Cascade Locks', 'Columbia River Gorge', ""45 ° 37 ′ 48 '' N 121 ° 54 ′ 14 '' W \ufeff / \ufeff 45.63 ° N 121.904 °""]",Eagle Creek Fire,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Columbia River Gorge,Eagle Creek Fire,100.0,Columbia River Gorge,Eagle Creek Fire,100.0,Cascade Locks,Eagle Creek Fire,101.0
755,different ways to spell corey for a boy,"['Corey , Coire , Corie , Corrie , Curry ( surname ) , Correy , Kory , Khouri , and Kori', 'Cory']",Cory,100.0,Cory,Cory,33.33333333333333,"Corey, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori",Cory,27.27272727272727,"Corey, Coire, Corie, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori",Cory,27.27272727272727,"Corey, Coire, Corie, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori",Cory,0.0,Cora,Cory,0.0,Cora,Cory,100.0
756,who sang the song should have been a cowboy,"['Toby Keith', 'American country music artist Toby Keith']",Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,100.0,Toby Keith,Should've Been a Cowboy,0.0
757,how many counties does the state of georgia have,"['159', '159 counties']",List of counties in Georgia (U.S. state),100.0,159,List of counties in Georgia (U.S. state),100.0,159,List of counties in Georgia (U.S. state),100.0,159,List of counties in Georgia (U.S. state),100.0,159,List of counties in Georgia (U.S. state),-1.0,None,None,-1.0,None,None,101.0
758,who sang picking up pebbles and throwing them into the sea,"['Matt Flinders ( born Sylvan Louis Bonett', 'Matt Flinders']",Matt Flinders,100.0,Matt Flinders,Matt Flinders,100.0,Matt Flinders,Matt Flinders,100.0,Matt Flinders,Matt Flinders,100.0,Matt Flinders,Matt Flinders,-1.0,None,None,100.0,Matt Flinders,Matt Flinders,101.0
759,who made the most free throws in nba history,['Karl Malone'],List of National Basketball Association career free throw scoring leaders,-1.0,None,None,0.0,National Basketball Association players,List of National Basketball Association career free throw scoring leaders,-1.0,None,None,0.0,National Basketball Association players,List of National Basketball Association career free throw scoring leaders,-1.0,None,None,0.0,National Basketball Association players,List of National Basketball Association career free throw scoring leaders,1.0
760,which is the ring finger for male in india,"['the left ring finger', 'on the left ring finger mostly', 'left ring finger']",Ring finger,100.0,left ring finger,Ring finger,30.326532985631673,Right finger,Ring finger,30.326532985631673,Right finger,Ring finger,30.326532985631673,fourth finger,Ring finger,66.66666666666666,The ring finger,Ring finger,75.0,left hand ring finger,Ring finger,69.67346701436833
761,what disney cartoon character's middle name is fauntleroy,"['Donald Duck', 'Donald Fauntleroy Duck']",Donald Duck,100.0,Donald Duck,Donald Duck,100.0,Donald Duck,Donald Duck,100.0,Donald Duck,Donald Duck,100.0,Donald Duck,Donald Duck,100.0,Donald Duck,Donald Duck,50.0,Daisy Duck,Donald Duck,50.0
762,who played king theoden in lord of the rings,['Bernard Hill'],Bernard Hill,100.0,Bernard Hill,Bernard Hill,100.0,Bernard Hill,Bernard Hill,100.0,Bernard Hill,Bernard Hill,100.0,Bernard Hill,Bernard Hill,100.0,Bernard Hill,Bernard Hill,100.0,Bernard Hill,Bernard Hill,0.0
763,dark parables return of the salt princess release date,"['BETA game was released in September 2017', 'September 2017']",Dark Parables,-1.0,None,None,33.33333333333333,"September 21, 2012",Dark Parables,33.33333333333333,"September 21, 2012",Dark Parables,0.0,"June 26, 2014",Dark Parables,-1.0,None,None,-1.0,None,None,34.33333333333333
764,what are the outliers in a data set,"['an observation point that is distant from other observations .', 'an observation point that is distant from other observations']",Outlier,50.0,an observation that is numerically distant from the rest of the data,Outlier,8.986579282344431,any observation outside the range,Outlier,9.09090909090909,either measurement error or that the population has a heavy-tailed distribution,Outlier,100.0,an observation point that is distant from other observations,Outlier,-1.0,None,None,55.55555555555556,a data point that differs significantly from other observations,Outlier,101.0
765,who is running for south dakota attorney general,"[""Lawrence County State 's Attorney John Fitzgerald""]","South Dakota elections, 2018",-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,Marty Jackley,"South Dakota elections, 2018",-1.0,None,None,-1.0,None,None,1.0
766,what does it take to get into the rock and roll hall of fame,"['must receive the highest number of votes , and also greater than 50 % of the votes']",Rock and Roll Hall of Fame,10.270758704647536,A minimum of 50% of the vote,Rock and Roll Hall of Fame,76.32731135359491,"performers must receive the highest number of votes, and also greater than 50% of the votes",Rock and Roll Hall of Fame,76.32731135359491,"performers must receive the highest number of votes, and also greater than 50% of the votes",Rock and Roll Hall of Fame,76.32731135359491,"performers must receive the highest number of votes, and also greater than 50% of the votes",Rock and Roll Hall of Fame,10.270758704647536,A minimum of 50% of the vote,Rock and Roll Hall of Fame,10.270758704647536,A minimum of 50% of the vote,Rock and Roll Hall of Fame,66.05655264894737
767,where was the movie 500 days of summer filmed,['Los Angeles'],500 Days of Summer,-1.0,None,None,0.0,blu-ray,500 Days of Summer,0.0,Switzerland,500 Days of Summer,66.66666666666666,Los Angeles Times,500 Days of Summer,100.0,Los Angeles,500 Days of Summer,100.0,Los Angeles,500 Days of Summer,101.0
768,who played emma in h2o just add water,['Claire Rhiannon Holt'],Claire Holt,60.653065971263345,Claire Holt,Claire Holt,100.0,Claire Rhiannon Holt,Claire Holt,100.0,Claire Rhiannon Holt,Claire Holt,100.0,Claire Rhiannon Holt,Claire Holt,100.0,Claire Rhiannon Holt,Claire Holt,50.0,Claire Rhiannon Serenity Holt-Joblon,Claire Holt,50.0
769,where can carbon be found in the biosphere,"['in all land - living organisms , both alive and dead , as well as carbon stored in soils', 'plants', 'The terrestrial biosphere']",Carbon cycle,100.0,terrestrial,Carbon cycle,68.18181818181817,"The terrestrial biosphere includes the organic carbon in all land-living organisms, both alive and dead, as well as carbon stored in soils",Carbon cycle,66.66666666666666,terrestrial and oceanic,Carbon cycle,66.66666666666666,terrestrial and oceanic,Carbon cycle,100.0,carbon stored in soils,Carbon cycle,100.0,soils,Carbon cycle,33.33333333333334
770,who is the winner of bigg boss kannada season,"['rapper Chandan Shetty', 'Chandan Shetty']",Bigg Boss Kannada 5,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Chandan Shetty,Bigg Boss Kannada 5,-1.0,None,None,-1.0,None,None,101.0
771,where was the outlaw of josey wales filmed,"['Lake Powell', 'Utah']",The Outlaw Josey Wales,0.0,Kansas,The Outlaw Josey Wales,50.0,"Kanab, Utah",The Outlaw Josey Wales,50.0,"Kanab, Utah",The Outlaw Josey Wales,50.0,"Kanab, Utah",The Outlaw Josey Wales,50.0,"Kanab, Utah",The Outlaw Josey Wales,50.0,"Kanab, Utah",The Outlaw Josey Wales,50.0
772,who plays the dad in the new beauty and the beast,['Kevin Kline'],Beauty and the Beast (2017 film),-1.0,None,None,-1.0,None,None,100.0,Kevin Kline,Beauty and the Beast (2017 film),0.0,Henry Garrett,Beauty and the Beast (2017 film),0.0,Henry Garrett,Beauty and the Beast (2017 film),0.0,Henry Garrett,Beauty and the Beast (2017 film),101.0
773,where was lars and the real girl filmed,"['on location in Alton , Elora , King Township , Toronto , Uxbridge , and Whitevale , all located in the Canadian province of Ontario', 'Alton , Elora , King Township , Toronto , Uxbridge , and Whitevale , all located in the Canadian province of Ontario', 'in the Canadian province of Ontario']",Lars and the Real Girl,12.262648039048077,Toronto Film Festival,Lars and the Real Girl,37.5,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,37.5,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,37.5,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,37.5,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,37.5,"Alton, Elora, King Township, Toronto, Uxbridge, and Whitevale",Lars and the Real Girl,25.237351960951923
774,what is the most important reason that species are going extinct,"['Explosive , unsustainable human population growth']",Extinction,0.0,Limited geographic range,Extinction,14.285714285714285,human attempts to preserve critically endangered species,Extinction,0.0,Limited geographic range,Extinction,49.12384518467891,human population growth and overconsumption,Extinction,14.285714285714285,destruction of natural habitats by human activities,Extinction,14.285714285714285,destruction of natural habitats by human activities,Extinction,49.12384518467891
