,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
247,who is directly elected according to the constitution,['senators'],Seventeenth Amendment to the United States Constitution,0.0,the President,Constitution of the Czech Republic,0.0,the president,President of Brazil,0.0,the candidate who receives the most votes,National Assembly (France),0.0,The President of Iran,List of Iranian presidential elections,0.0
248,what is it called when you believe in greek gods,"['Hellenic Polytheism', 'Hellenism', 'Hellenism ( Greek : Ἑλληνισμός ) , the Hellenic ethnic religion ( Ἑλληνικὴ ἐθνική θρησκεία ) , also commonly known as Hellenismos , Hellenic Polytheism , Dodekatheism ( Δωδεκαθεϊσμός ) , or Olympianism ( Ὀλυμπιανισμός )', 'Hellenic polytheist']",Hellenism (religion),100.0,Greek religion,Greek religion,100.0,Dodekatheism,Hellenism (religion),100.0,Dodekatheism,Hellenism (religion),100.0,Dodekatheism,Hellenism (religion),0.0
249,where was the first colony in north america located,['Virginia'],"Jamestown, Virginia",50.0,"Jamestown, Virginia",History of Immigration to the United States,50.0,"Jamestown, Virginia",European colonization of the Americas,50.0,"Jamestown, Virginia",European colonization of the Americas,50.0,"Jamestown, Virginia",British North America,0.0
250,who plays sven in the santa clarita diet,['Leo Howard'],Santa Clarita Diet,0.0,Jenny Gago,Jenny Gago,0.0,Plutarco Haza,Plutarco Haza,0.0,Drew Barrymore and Timothy Olyphant,Santa Clarita Diet,0.0,Skyler Gisondo,Skyler Gisondo,0.0
251,who is credited with the discovery of the neutron,['James Chadwick'],Discovery of the neutron,100.0,James Chadwick,Ernest Rutherford,100.0,James Chadwick,Ernest Rutherford,100.0,James Chadwick,Ernest Rutherford,100.0,James Chadwick,Ernest Rutherford,0.0
252,who wrote from now on from the greatest showman,"['Benj Pasek and Justin Paul', 'Joseph Trapanese']",The Greatest Showman,0.0,Will Young,From Now On,14.285714285714285,Jimmy Collins (Jeremy Jordan) and Kyle Bishop,Rewrite This Story,14.285714285714285,Jimmy Collins (Jeremy Jordan) and Kyle Bishop,Rewrite This Story,20.0,Jenny Bicks and Bill Condon,The Greatest Showman,20.0
253,who took the first steps on the moon in 1969,['Neil Armstrong'],Apollo 11,100.0,Neil Armstrong,Moon landing,100.0,Neil Armstrong,Buzz Aldrin,100.0,Neil Armstrong,Buzz Aldrin,100.0,Neil Armstrong,Buzz Aldrin,0.0
254,which philosopher advocated the idea of return to nature,['Bacon'],Nature (philosophy),0.0,Eliade,Eternal return (Eliade),0.0,Nietzsche,Eternal return,0.0,Nietzsche,Eternal return,0.0,Eliade,Eternal return (Eliade),0.0
255,who developed the concept of total quality management,['W. Edwards Deming'],Total quality management,100.0,W. Edwards Deming,Total Quality Management,100.0,W. Edwards Deming,Total quality management,100.0,W. Edwards Deming,Total quality management,100.0,W. Edwards Deming,Total quality management,0.0
256,where is the inscription on the statue of liberty,"['on the inner wall of the pedestal', ""on a bronze plaque and mounted inside the pedestal 's lower level"", 'The New Colossus', ""inside the pedestal 's lower level""]",The New Colossus,65.49846024623855,The interior of the pedestal,Statue of Liberty,60.653065971263345,inner wall,The New Colossus,65.49846024623855,bronze plaque in the pedestal,Emma Lazarus,88.88888888888889,bronze plaque and mounted inside the pedestal's lower level,The New Colossus,28.23582291762554
257,what is the name of india 29 state,['Rajasthan'],List of state and union territory capitals in India,0.0,Karnataka,Uttara Kannada,0.0,Uttar Pradesh,Fatehpur district,0.0,Uttar Pradesh,Fatehpur district,0.0,Chhattisgarh,Chhattisgarh,0.0
258,who has the most all star mvp awards,['Bob Pettit'],NBA All-Star Game Most Valuable Player Award,0.0,Geoff Jenkins,All-Star Final Vote,0.0,Lisa Leslie,WNBA All-Star Game Most Valuable Player Award,0.0,Sadaharu Oh,Nippon Professional Baseball Most Valuable Player Award,0.0,Hank Aaron,Major League Baseball All-Star,0.0
259,who won oscar for best director this month,['Guillermo del Toro'],List of Academy Award for Best Director winners by age,0.0,Elia Kazan,Golden Globe Award for Best Director - Motion Picture,0.0,"Sanjay Leela Bhansali (3), Rakesh Roshan and Ashutosh Gowariker",Screen Award for Best Director,0.0,"Sanjay Leela Bhansali (3), Rakesh Roshan and Ashutosh Gowariker",Screen Award for Best Director,100.0,Guillermo del Toro,71st British Academy Film Awards,100.0
260,when was the first dark tower book published,"['1998', '1982']",The Dark Tower (series),100.0,1982,David Kesterton,100.0,1982,David Kesterton,100.0,1982,The Darkangel Trilogy,100.0,1982,The Darkangel Trilogy,0.0
261,perth is the capital of which australian state,['Western Australia'],List of Australian capital cities,100.0,Western Australia,Geography of Western Australia,100.0,Western Australia,Western Australia,100.0,Western Australia,Western Australia,100.0,Western Australia,Western Australia,0.0
262,how much for a passport in the philippines,"['₱ 950', '₱ 950 ( 15 working days processing time ) or ₱ 1200 ( 7 working days processing time )', '950 pesos ( approximately $ 18 ) in the Philippines']",Philippine passport,50.0,500 pesos,Philippine passport,100.0,950 pesos,Philippine passport,100.0,950 pesos,Philippine passport,100.0,950 pesos,Philippine passport,50.0
263,who carried the us flag in the 2014 olympics,"['Todd Lodwick', 'Julie Chu']",List of flag bearers for the United States at the Olympics,0.0,Danielle Goyette,Cindy Klassen,100.0,Todd Lodwick,United States at the 2014 Winter Olympics,100.0,Todd Lodwick,United States at the 2014 Winter Olympics,100.0,Todd Lodwick,United States at the 2014 Winter Olympics,100.0
264,when did the celebrities enter the big brother house,"['February 7 , 2018', '2017']",Celebrity Big Brother (U.S. TV series),0.0,8 July,Big Brother 2007 (UK),0.0,Day 1,Big Brother 1 (U.S.),0.0,Day 1,Big Brother 1 (U.S.),23.88437701912631,"June 28, 2017",Big Brother 19 (U.S.),23.88437701912631
265,who did carolina lose to in the super bowl,"['Denver Broncos', 'New England Patriots']",List of Super Bowl champions,100.0,New England Patriots,Carolina Panthers,100.0,New England Patriots,2001 Carolina Panthers season,100.0,Denver Broncos,Carolina Panthers,100.0,Denver Broncos,Carolina Panthers,0.0
266,what is the salary of the ceo of microsoft,"['$84.3 million', '$84.3 million ( 2018 )']",Satya Nadella,0.0,"$20,000",Bill Gates,0.0,"$616,667",Bill Gates,0.0,Jon A. Shirley,Jon Shirley,50.0,US$71.84 million,John W. Thompson,50.0
267,how many nfl games were played in london,['21'],NFL International Series,0.0,13,Football in London,0.0,two,NFL International Series,0.0,four,London NFL franchise,0.0,four,NFL International Series,0.0
268,who wins america's next top model cycle 20,"['19 - year - old Jourdan Miller from Bend , Oregon', 'Jourdan Miller']",America's Next Top Model (cycle 20),0.0,Yoanna,"America's Next Top Model, Cycle 2",100.0,Jourdan Miller,America's Next Top Model (cycle 21),100.0,Jourdan Miller,America's Next Top Model (cycle 21),100.0,Jourdan Miller,America's Next Top Model (cycle 20),100.0
269,who has won the most olympic medals in curling,['Anette Norberg'],List of Olympic medalists in curling,0.0,Cindy Klassen,Marc Gagnon,0.0,Armin Zöggeler,List of Olympic medalists in luge,0.0,Armin Zöggeler,List of Olympic medalists in luge,0.0,Canada,Curling at the Winter Olympics,0.0
270,who is the head of parliament in uk,"['Sovereign of the United Kingdom ( currently Queen Elizabeth II )', 'Elizabeth II', 'the Sovereign of the United Kingdom ( currently Queen Elizabeth II )']",Parliament of the United Kingdom,100.0,the Sovereign,Prime Minister of the United Kingdom,100.0,the Sovereign of the United Kingdom,United Kingdom legislation,100.0,the Sovereign of the United Kingdom,United Kingdom legislation,100.0,the Sovereign of the United Kingdom,United Kingdom legislation,0.0
271,when was the original stephen king it movie made,"['November 18 -- November 20 , 1990', '1990']",It (miniseries),100.0,1990,It (novel),100.0,1990,It (novel),100.0,1990,It (1990 film),100.0,1990,It (miniseries),0.0
272,what stations in seattle are owned by sinclair,['KOMO - TV'],List of stations owned or operated by Sinclair Broadcast Group,0.0,KDSM-TV in Des Moines and KGAN in Cedar Rapids,Sinclair Broadcast Group,0.0,KVMY and KVCW,Sinclair Broadcast Group,0.0,KVMY and KVCW,Sinclair Broadcast Group,0.0,KOMO-TV,KOMO-TV,0.0
273,when does flash come back on season 4 episode 17,"['April 10 , 2018', 'May 1 , 2018']",The Flash (season 4),0.0,week 11,Kyle Abbot,0.0,"February 8, 2008",Flash Gordon (2007 TV series),23.88437701912631,"April 19, 2016",The Flash (2014 TV series),23.88437701912631,"May 27, 2010",Future Shock (FlashForward),23.88437701912631
274,who is the ceo of crate and barrel,['Neela Montgomery'],Crate & Barrel,0.0,Gordon and Carole Segal,Crate and Barrel,0.0,Barbara Turf,Crate &amp; Barrel,0.0,Darrell W. Crate,Darrell Crate,0.0,Darrell W. Crate,Darrell Crate,0.0
275,which songs did liam write as you were,['Wall of Glass'],As You Were (Liam Gallagher album),16.666666666666668,Songs in the Key of Life,As (song),16.666666666666668,Songs in the Key of Life,As (song),0.0,traditional folk songs and covers,Good as I Been to You,6.25,"""Wall of Glass"", ""Paper Crown"", ""Come Back to Me"", and ""Doesn't Have to Be That Way"",",As You Were (Liam Gallagher album),16.666666666666668
276,where is the nfl game in london played,"['Wembley Stadium', 'Twickenham Stadium']",NFL International Series,100.0,Twickenham Stadium,London Double Header,100.0,Wembley Stadium,NFL International Series,100.0,Wembley Stadium,Wembley Stadium,100.0,Wembley Stadium,Potential London NFL franchise,0.0
277,who is the secretary of state for northern ireland,['Karen Bradley'],Secretary of State for Northern Ireland,0.0,the United Kingdom cabinet minister,Secretary of State for Northern Ireland,0.0,Her Majesty's Principal Secretary of State,Secretary of State for Northern Ireland,0.0,Her Majesty's Principal Secretary of State,Secretary of State for Northern Ireland,0.0,Her Majesty's Principal Secretary of State,Secretary of State for Northern Ireland,0.0
278,how many series of diary of a wimpy kid are there,['12'],Diary of a Wimpy Kid (book series),0.0,five,Diary of a Wimpy Kid,0.0,nine,Diary of a Wimpy Kid (series),0.0,Ten,Diary of a Wimpy Kid (series),0.0,twelve,Diary of a Wimpy Kid (book series),0.0
279,how many jimmy johns are there in the us,"['more than 2,500 locations', 'more than 2,500', '2,630 ( December 2016 )', 'almost 3,000 stores', '2,630']",Jimmy John's,50.0,almost 600,Bob Evans Restaurants,66.66666666666666,"more than 2,000",Jimmy John's,66.66666666666666,"more than 2,000",Jimmy John's,100.0,"almost 3,000",Jimmy John's,50.0
280,what episode does caroline come into the originals,['Brave New World'],The Vampire Diaries (season 2),0.0,Sweet Caroline,Caroline Reynolds,0.0,fifteenth,The Vampire Diaries (season 1),0.0,fifteenth,The Vampire Diaries (season 1),0.0,fifteenth,The Vampire Diaries (season 1),0.0
281,who won the election for mayor in boston,"['Marty Walsh', 'Incumbent Democratic mayor Marty J. Walsh', 'Marty J. Walsh']","Boston mayoral election, 2017",0.0,John Phillips,John Phillips (mayor),100.0,Marty Walsh,"Boston mayoral election, 2013",100.0,Marty Walsh,"Boston mayoral election, 2013",100.0,Marty Walsh,"Boston mayoral election, 2013",100.0
282,how many episodes in adventure time season 1,['26'],Adventure Time (season 1),100.0,26,List of Total Drama Island episodes,100.0,26,Adventure Time (season 1),100.0,26,Adventure Time (season 1),100.0,26,Adventure Time (season 1),0.0
283,when's the last time army won the army navy game,"['Army', '2017']",Army–Navy Game,0.0,"December 1, 2007",Army-Navy Game,0.0,1963,Navy Midshipmen football,0.0,1983,Army–Navy Game,0.0,2007,Navy Midshipmen football,0.0
284,the resting stage of the cell cycle is,"['Interphase', 'A phase where the cell has left the cycle and has stopped dividing', 'Gap 0']",Cell cycle,50.0,S phase,Cell cycle,100.0,Interphase,Interphase,100.0,Interphase,Interphase,100.0,Interphase,Interphase,50.0
285,when was the last person executed in florida,"['Eric Scott Branch', 'February 22 , 2018']",List of individuals executed in Florida,0.0,"May 18, 2004",Kelsey Patterson,0.0,1964,Capital punishment in Florida,33.33333333333333,"February 26, 2012",George Zimmerman,0.0,"December 9, 1997",Michael Lee Lockhart,33.33333333333333
286,who wrote the song after you've gone,"['Turner Layton', 'composed by Turner Layton with lyrics by Henry Creamer .', 'composed by Turner Layton']",After You've Gone (song),58.41005873035536,"Turner Layton, with lyrics written by Henry Creamer",After You've Gone (song),100.0,Turner Layton,After You've Gone (song),58.41005873035536,"Turner Layton, with lyrics written by Henry Creamer",After You've Gone (song),100.0,Turner Layton,After You've Gone (song),41.58994126964464
287,when was the last time the womens hockey team won gold,['2018'],United States women's national ice hockey team,0.0,2001,Sweden national women's ice hockey team,0.0,2006,United States women's national ice hockey team,0.0,2006,United States women's national ice hockey team,0.0,2016,United States women's national soccer team,0.0
288,what was the outcome of the battle of san juan hill,['Cuban - American victory'],Battle of San Juan Hill,25.0,American capture of Guayama,Battle of Guayama,18.393972058572118,Confederate victory,Battle of Palmito Ranch,18.393972058572118,Confederate victory,Battle of Palmito Ranch,18.393972058572118,Confederate victory,Battle of Palmito Ranch,6.606027941427882
289,when did the eagles play in the superbowl,"['February 6 , 2005']",Super Bowl XXXIX,23.88437701912631,"January 23, 2005",History of the Philadelphia Eagles,47.76875403825262,"February 6, 2005",Super Bowl XXXIX,47.76875403825262,"February 6, 2005",Super Bowl XXXIX,0.0,2017,Super Bowl XXXIX,47.76875403825262
290,who starred in the film walk the line,"['Joaquin Phoenix', ""Joaquin Phoenix as Cash , Reese Witherspoon as Carter , Ginnifer Goodwin as Vivian Liberto , and Robert Patrick as Cash 's father""]",Walk the Line,100.0,Joaquin Phoenix,Walk the Line,100.0,Joaquin Phoenix,Walk the Line (soundtrack),100.0,Reese Witherspoon,Walk the Line,100.0,Joaquin Phoenix,Walk the Line (soundtrack),0.0
291,who sings the wizards of waverly place theme song,['Selena Gomez'],Wizards of Waverly Place (soundtrack),100.0,Selena Gomez,Wizards of Waverly Place,100.0,Selena Gomez,List of Wizards of Waverly Place episodes,100.0,Selena Gomez,Wizards of Waverly Place (soundtrack),100.0,Selena Gomez,Wizards of Waverly Place,0.0
292,when is episode 12 of miraculous ladybug season 2 coming out,['30 March 2018'],List of Miraculous: Tales of Ladybug & Cat Noir episodes,0.0,January 12 2008,Primeval (TV series),0.0,"February 16, 2013",Magical Mystery Cure,0.0,"November 15, 2013",The Legend of Korra (season 2),66.66666666666666,"March 23, 2018",Santa Clarita Diet,66.66666666666666
293,who won the academy award for best original musical score,"['The Shape of Water', 'Alexandre Desplat']",Academy Award for Best Original Score,0.0,Purple Rain,Academy Award for Best Original Musical,0.0,Max Steiner,Golden Globe Award for Best Original Score,0.0,Max Steiner,Golden Globe Award for Best Original Score,0.0,Max Steiner,Golden Globe Award for Best Original Score,0.0
294,what are the five compulsory prayers in islam,['Fajr'],Salah,0.0,Salat,Five Pillars of Islam,0.0,Five Pillars of Islam,Fajr prayer,0.0,Five Pillars of Islam,Fajr prayer,0.0,Five Pillars of Islam,Fajr prayer,0.0
295,who is the premier of northern cape 2018,['Sylvia Lucas'],Premier of the Northern Cape,0.0,Nahas Gideon Angula,Nahas Angula,100.0,Sylvia Lucas,Government of the Northern Cape,100.0,Sylvia Lucas,Government of the Northern Cape,0.0,Supra Bokeng Ramoeletsi Mahumapelo,Supra Mahumapelo,100.0
296,how many seasons of the smurfs are there,['9'],The Smurfs (TV series),100.0,9,List of The Smurfs episodes,0.0,256,List of The Smurfs episodes,0.0,256,The Smurfs (TV series),0.0,256,The Smurfs (TV series),100.0
297,when was the last time new zealand had an earthquake,['11 Jul 2017'],List of earthquakes in New Zealand,30.326532985631673,11 February,1931 Hawke's Bay earthquake,30.326532985631673,11 March,2011 Christchurch earthquake,33.33333333333333,11 March 2011,2011 Christchurch earthquake,0.0,2004,List of tsunamis affecting New Zealand,33.33333333333333
298,when will miraculous ladybug season 2 episode 12 come out,['30 March 2018'],List of Miraculous: Tales of Ladybug & Cat Noir episodes,0.0,early 2008,Primeval (TV series),0.0,tonight,Miracle's Are Real,0.0,"December 2, 2014",Cantabile Tomorrow,66.66666666666666,"March 23, 2018",Santa Clarita Diet,66.66666666666666
299,when was 13 reasons why released on netflix,"['March 31 , 2017']",13 Reasons Why,0.0,2004,Gary Winick,0.0,2007,Thirteen Reasons Why,1.1904761904761907,"28 February 2016. It will be shown on BBC America in the USA. Each episode was broadcast on BBC Two a week after its release; the first on 6th of March 2016.
The title music is ""In Your Dreams"" from the album ""Wild Go"" (2010), by Dark Dark Dark.
The final soundtrack in episode 5 is ""Out of the Black"" by Billie Marten.
DVD release.
""Thirteen"" will be available on DVD on Region 2 in the United Kingdom and Ireland from 2 Entertain on the 18th April 2016",Thirteen (TV series),47.76875403825262,"March 31, 2017",13 Reasons Why,47.76875403825262
300,what's the biggest country in western europe,"['France', 'Russia *', 'Russia']",List of European countries by area,100.0,France,Europe,100.0,France,Brussels,100.0,Russia,Europe,0.0,Germany,Economy of Europe,100.0
301,who did the minnesota vikings lose to in the super bowl,['Kansas City Chiefs'],List of Super Bowl champions,100.0,Kansas City Chiefs,1969 Minnesota Vikings season,100.0,Kansas City Chiefs,1969 Minnesota Vikings season,13.53352832366127,Chiefs,Super Bowl VIII,100.0,Kansas City Chiefs,1969 Minnesota Vikings season,86.46647167633873
302,when was the last grand slam hit in the world series,['2016'],Grand slam (baseball),0.0,2004,Curse of the Bambino,0.0,2010-11 curling season,Sobeys Slam,0.0,"July 9, 1970",Grand Slam Single,100.0,2016,Grand Slam (professional wrestling),100.0
303,who wrote catch 22 (both names),"['Joseph Heller', 'Joseph Heller .', 'American author Joseph Heller']",Catch-22,100.0,Joseph Heller,Luciana (disambiguation),100.0,Joseph Heller,Catch-22,100.0,Joseph Heller,Catch-22,100.0,Joseph Heller,Catch-22,0.0
304,when was the last episode of vampire diaries aired,"['March 10 , 2017']",List of The Vampire Diaries episodes,0.0,"November 10, 2006",Vanished,0.0,"May 12, 2011",The Vampire Diaries (season 2),0.0,"May 12, 2011",The Vampire Diaries (season 2),47.76875403825262,"March 10, 2017",List of The Vampire Diaries episodes,47.76875403825262
305,what is the strongest earthquake in the united states,['1964 Alaska earthquake and tsunami'],List of earthquakes in the United States,19.470019576785123,1906 San Francisco earthquake,Loma Prieta earthquake,17.113903967753068,Scotts Mills earthquake,1993 Scotts Mills earthquake,19.470019576785123,Charleston earthquake of 1886,South Carolina earthquakes,19.470019576785123,1933 Long Beach earthquake,1994 Northridge earthquake,2.356115609032056
306,when do liam and annie get together season 3,['Holiday Madness'],90210 (season 3),0.0,"September 21, 2006",Grey's Anatomy episodes (Season 3),0.0,"September 13, 2007",It's Always Sunny in Philadelphia (season 3),0.0,"September 13, 2007",It's Always Sunny in Philadelphia (season 3),0.0,after the season has completed broadcast on television,One Tree Hill (season 3),0.0
307,when did the angel of the north get built,"['1998', '1994']",Angel of the North,100.0,1994,Angel of the North,100.0,1998,Angel of the West,100.0,1998,Angel of the West,100.0,1998,Angel of the West,0.0
308,when was the latest version of chrome released,"['2018 - 01 - 23 ( Android ) 2018 - 01 - 24 ( iOS ) 2018 - 01 - 24 (', '2018 - 01 - 22']",Google Chrome version history,0.0,"October 9, 2001",Chrome (Trace Adkins album),1.8315638888734178,24,Google Chrome,0.0,"April 10, 2012",Chrome OS,0.0,"September 3, 2014",Chromebook,1.8315638888734178
309,what is the rate limiting enzyme of kreb's cycle,['Isocitrate dehydrogenase'],Citric acid cycle,50.0,lactate dehydrogenase,Cori cycle,50.0,pyruvate dehydrogenase,Randle cycle,50.0,pyruvate dehydrogenase,Randle cycle,50.0,pyruvate dehydrogenase,Randle cycle,0.0
310,when was the taj mahal built and completed,['1632 -- 53'],Taj Mahal,0.0,1976,Faisal Mosque,0.0,1643,Taj Mahal,0.0,1196,Taj Mahal,13.53352832366127,1632,Taj Mahal,13.53352832366127
311,who won the gold for the men's figure skating,['Yuzuru Hanyu'],List of Olympic medalists in figure skating,0.0,Barbara Ann Scott,Figure skating at the 1948 Winter Olympics,0.0,Ondrej Nepela,Figure skating at the 1972 Winter Olympics,0.0,Ondrej Nepela,Figure skating at the 1972 Winter Olympics,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,100.0
312,when did the song holiday road come out,"['1983', 'June 24 , 1983']",Holiday Road,0.0,1971,"Take Me Home, Country Roads",100.0,1983,Holiday Road,100.0,1983,Holiday Road,100.0,1983,Holiday Road,100.0
313,when does the mlb season start and finish,"['March 29 -- October 31 , 2018', 'began on March 29 , 2018', 'March 29']",2018 Major League Baseball season,50.0,October 30,2008 Major League Baseball season,50.0,May 31,Dominican Summer League,50.0,March 22–,Major League Baseball,100.0,March 29,2018 Major League Baseball season,50.0
314,who appoints the chief election commissioner of india,"['President of India', 'the president']",Chief Election Commissioner of India,75.0,The President of India,Chief Election Commissioner of India,100.0,the President,Chief Election Commissioner of India,100.0,the President,Election Commissioner of Bangladesh,100.0,the President,Election Commissioner of Bangladesh,25.0
315,who is the first prime minister of france,['Michel Debré'],Prime Minister of France,0.0,Aristide Briand,Georges Clemenceau,0.0,Prosper de Chasseloup-Laubat,Napoleon III,0.0,Jean Joseph Paul Augustin,"Jean-Joseph, Marquis Dessolles",0.0,Emmanuel Joseph Sieyès,List of Presidents of France,0.0
316,who eliminated costa rica in world cup 2014,['Netherlands'],Costa Rica at the FIFA World Cup,0.0,Northern Ireland,1982 FIFA World Cup,0.0,Cameroon,2014 FIFA World Cup Group A,0.0,Cameroon,2014 FIFA World Cup Group A,100.0,Netherlands,Costa Rica national football team results (2014),100.0
317,who was the 11th prime minister of canada,"['R.B. Bennett', 'Arthur Meighen']",List of Prime Ministers of Canada,100.0,Arthur Meighen,11th Canadian Ministry,100.0,Arthur Meighen,11th Canadian Ministry,100.0,Arthur Meighen,11th Canadian Ministry,100.0,Arthur Meighen,11th Canadian Ministry,0.0
318,who has won the most world series in baseball,"['the New York Yankees', 'New York Yankees']",World Series,75.0,The New York Yankees,World Series,100.0,New York Yankees,List of World Series champions,100.0,New York Yankees,List of World Series champions,100.0,New York Yankees,List of St. Louis Cardinals team records,25.0
319,who holds the record for most platinum albums,"['Elvis Presley', 'The Beatles', 'AC / DC']",Recording Industry Association of America certification,100.0,Elvis Presley,List of awards and achievements for Madonna,0.0,Randy Travis,Randy Travis albums discography,0.0,Garth Brooks,Garth Brooks discography,0.0,Garth Brooks,Garth Brooks discography,100.0
320,when does season 2 of just add magic come out,"['January 19 , 2018', 'October 14 , 2016']",Just Add Magic (TV series),18.393972058572118,January 10th,Sam &amp; Max Season Two,23.88437701912631,"January 3, 2013",Buckwild (TV series),47.76875403825262,"January 25, 2016",The Magicians (U.S. TV series),47.76875403825262,"January 19, 2018",Just Add Magic (TV series),29.3747819796805
321,when does scully come back in season 2,"['One Breath', '8']",The X-Files (season 2),0.0,"May 16, 1996",ER (season 2),0.0,"May 21, 2001",Buffy the Vampire Slayer (season 2),0.0,"May 21, 2001",Buffy the Vampire Slayer (season 2),0.0,May 2015,Agent Carter (season 2),0.0
322,how many episodes in series 7 of game of thrones are there,"['7', 'seven']",Game of Thrones (season 7),100.0,seven,Studio 7,0.0,three hour-long episodes,Blake's 7,50.0,7 Series,7 Series,100.0,seven,Game of Thrones (season 7),100.0
323,who has the best batting average in test cricket,"['Don Bradman', ""Australia 's Sir Donald Bradman"", 'Sir Donald Bradman']",Batting average,100.0,Donald Bradman,Wisden 100,0.0,Betty Wilson,Bowling average,0.0,Andy Ganteaume,List of cricket batting averages,0.0,Betty Wilson,Bowling average,100.0
324,winner of the women's royal rumble match,['Asuka'],Royal Rumble (2018),0.0,Sandra Diaz-Twine,Sandra Diaz-Twine,0.0,The One Man Gang,Royal Rumble (1988),0.0,Gail Kim,TNA Knockouts Championship,100.0,Asuka,Royal Rumble (2018),100.0
325,when was the last time new england had a hurricane,"['Hurricane Hanna', 'September 19 - 22 , 2017', 'October 29 - 30 , 2012']",List of New England hurricanes,50.0,October 10,2004 Atlantic hurricane season,0.0,1869,1938 New England hurricane,0.0,1938,1815 New England hurricane,0.0,1938,1938 New England hurricane,50.0
326,when are the opening ceremonies for the 2018 olympic games,['9 February 2018'],2018 Winter Olympics opening ceremony,13.53352832366127,2018,2018 Winter Olympics,66.66666666666666,9–25 February 2018,2018 Winter Olympics,60.0,9 to 25 February 2018,2018 Winter Olympics,100.0,9 February 2018,2018 Winter Olympics,86.46647167633873
327,who has the most restaurants in the world,['SUBWAY'],List of the largest fast food restaurant chains,0.0,McDonald's Corporation,McDonald's,0.0,McDonald's Corporation,International availability of McDonald's products,0.0,McDonald's Corporation,International availability of McDonald's products,0.0,McDonald's Corporation,International availability of McDonald's products,0.0
328,when is the new season of chicago pd,"['September 27 , 2017 ( 2017 - 09 - 27 ) -- present', 'September 27 , 2017']",Chicago P.D. (season 5),0.0,1876,Chicago Cubs,23.88437701912631,"September 24, 2014",List of Chicago P.D. episodes,23.88437701912631,"September 30, 2015",List of Chicago P.D. episodes,47.76875403825262,"September 27, 2017",List of Chicago P.D. episodes,47.76875403825262
329,when was the last time lebron scored 50 points,"['November 3 , 2017', 'March 5 , 2008']",List of 40-plus point games by LeBron James,0.0,"September 4, 2004",Alphonso Ford,0.0,1968,Dwyane Wade,0.0,1968,Dwyane Wade,23.88437701912631,"March 2, 2009",Dwyane Wade,23.88437701912631
330,when does congress declare war for the first time,"['June 18 , 1812', 'War of 1812']",Declaration of war by the United States,66.66666666666666,"June 18, 1812",Origins of the War of 1812,66.66666666666666,"June 18, 1812",United States declaration of war upon the United Kingdom,66.66666666666666,"June 18, 1812",War of 1812,66.66666666666666,"June 18, 1812",War of 1812,0.0
331,what is the rank of india in economic growth,"['12 / 225', '12']",International rankings of India,0.0,15th,G15,0.0,122nd,Economic development in India,0.0,122nd,Economic development in India,0.0,fifteenth,Economic development in India,0.0
332,new anime from the creators of attack on titan,['Vinland Saga'],Wit Studio,0.0,Shinsengumi!,Shinsengumi!,0.0,IG Port's Wit Studio,List of Attack on Titan episodes,0.0,Media Factory,Ikki Tousen,0.0,Studio Deen,Junji Ito Collection,0.0
333,how many episodes in season 2 of fargo,"['ten', '10']",Fargo (season 2),100.0,10,List of The Loop episodes,100.0,ten,Fargo (TV series),100.0,ten,Fargo (season 1),100.0,ten,Fargo (TV series),0.0
334,who wrote and performed i can only imagine,"['Christian rock band MercyMe', 'Bart Millard']",I Can Only Imagine (MercyMe song),100.0,Bart Millard,I Can Only Imagine,100.0,Bart Millard,I Can Only Imagine (MercyMe song),100.0,Bart Millard,I Can Only Imagine (MercyMe song),100.0,Bart Millard,I Can Only Imagine (film),0.0
335,when did the last state became a state,"['August 21 , 1959', 'Hawaii']",List of U.S. states by date of admission to the Union,0.0,1972,Minnesota,0.0,1950,Oklahoma,0.0,1950,Oklahoma,0.0,"July 15, 1870",Georgia (U.S. state),0.0
336,who has the most wins on around the horn,['Woody Paige'],Around the Horn,0.0,Jay Mariotti,Around the Horn,100.0,Woody Paige,Around the Horn,100.0,Woody Paige,Around the Horn,100.0,Woody Paige,Around the Horn,100.0
337,the first element on the periodic table is,"['Hydrogen', 'hydrogen']",Periodic table,100.0,hydrogen,Carbon,0.0,Lithium,Period 2 element,100.0,hydrogen,Main-group element,100.0,hydrogen,Main-group element,100.0
338,who won the 30 man royal rumble match,"['Shinsuke Nakamura', 'Randy Orton']",Royal Rumble,0.0,Owen,Royal Rumble (1994),0.0,Sheamus,Royal Rumble (2012),0.0,Sheamus,Royal Rumble (2012),0.0,Sheamus,Royal Rumble (2012),0.0
339,when does the new episodes of supernatural start,"['May 3 , 2018', 'October 12 , 2017']",Supernatural (season 13),23.88437701912631,"October 4, 2007",Supernatural (TV series),23.88437701912631,"October 3, 2012",Supernatural (season 8),23.88437701912631,"October 3, 2012",Supernatural (season 8),47.76875403825262,"October 12, 2017",Supernatural (season 13),23.88437701912631
