,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
354,kings and queens of england in the 1900s,['Edward VII'],List of British monarchs,House of Hanover,{'House of Hanover': 'List of British monarchs'},40.0,House of Saxe-Coburg and Gotha,List of British monarchs,25.0,James VI of Scotland,List of British monarchs,0.0,plantations,List of British monarchs,0.0,Queen Anne,List of British monarchs,100.0,Queen Anne,List of British monarchs,100.0
355,who has the most followers in the world on instagram,"['Instagram', ""Instagram 's own account""]",List of most-followed Instagram accounts,,None,-1.0,None,None,-1.0,None,None,0.0,Selena Gomez,List of most-followed Instagram accounts,0.0,Cristiano Ronaldo,List of most-followed Instagram accounts,100.0,Cristiano Ronaldo,List of most-followed Instagram accounts,101.0
356,when does the 2017 college football season end,"['December 9 , 2017']",2017 NCAA Division I FBS football season,,None,-1.0,None,None,-1.0,None,None,47.76875403825262,"December 9, 2017",2017 NCAA Division I FBS football season,100.0,"December 9, 2017",2017 NCAA Division I FBS football season,100.0,"December 9, 2017",2017 NCAA Division I FBS football season,101.0
357,when was the last time astros was in the world series,"['2005', '2017']",Houston Astros,"December 15, September 29, 1963, October 9, 2005","{'December 15': 'Houston Astros', 'September 29, 1963': 'Houston Astros', 'October 9, 2005': 'Houston Astros'}",100.0,2005,Houston Astros,100.0,2005,Houston Astros,100.0,2005,Houston Astros,100.0,2005,Houston Astros,0.0,1980,Houston Astros,100.0
358,who is the drummer for guns and roses,['Frank Ferrer'],List of Guns N' Roses members,,None,-1.0,None,None,-1.0,None,None,0.0,Rob Gardner,List of Guns N' Roses members,100.0,Rob Gardner,List of Guns N' Roses members,100.0,Rob Gardner,List of Guns N' Roses members,101.0
359,who holds the record for most everest summits,['Apa Sherpa'],List of Mount Everest records,,None,0.0,Mount Everest,List of Mount Everest records,0.0,Helga Hengge,List of Mount Everest records,0.0,Junko Tabei,List of Mount Everest records,100.0,Junko Tabei,List of Mount Everest records,100.0,Junko Tabei,List of Mount Everest records,100.0
360,who came out first batman or spider man,"['Superman', 'Batman']",First appearance,"Green Goblin, Spider-Man, Superman","{'Green Goblin': 'First appearance', 'Spider-Man': 'First appearance', 'Superman': 'First appearance'}",100.0,Superman,First appearance,100.0,Green Goblin,First appearance,100.0,Green Goblin,First appearance,100.0,Green Goblin,First appearance,100.0,Green Goblin,First appearance,0.0
361,where is the ucla usc game being played,['UCLA'],UCLA–USC rivalry,,None,0.0,Rose Bowl,UCLA–USC rivalry,100.0,Rose Bowl,UCLA–USC rivalry,0.0,Los Angeles Coliseum,UCLA–USC rivalry,100.0,Rose Bowl,UCLA–USC rivalry,100.0,Rose Bowl,UCLA–USC rivalry,100.0
362,who caused to build qutub minar in delhi,"['Qutab Ud - Din - Aibak', 'Qutab - ud - din Aibak', 'Qutub - ud - din Aibak']",Qutb Minar,,None,6.766764161830635,Qutb-ud-din Aibak,Qutb Minar,50.0,Qutub-ud-Din Aibak,Qutb Minar,0.0,Hindus artisans,Qutb Minar,0.0,Delhi Sultans,Qutb Minar,100.0,Delhi Sultans,Qutb Minar,100.0
363,who wrote trust and believe by keyshia cole,"['Guordan Banks and Jessyca Wilson of R&B duo The Righterz', 'Guordan Banks', 'Keyshia Cole']",Trust and Believe,,None,100.0,Guordan Banks and Jessyca Wilson,Trust and Believe,-1.0,None,None,100.0,Guordan Banks and Jessyca Wilson,Trust and Believe,100.0,Guordan Banks and Jessyca Wilson,Trust and Believe,100.0,Guordan Banks and Jessyca Wilson,Trust and Believe,101.0
364,who holds the most home runs in mlb history,['Barry Bonds'],List of Major League Baseball career home run leaders,,None,-1.0,None,None,100.0,Barry Bonds,List of Major League Baseball career home run leaders,100.0,Barry Bonds,List of Major League Baseball career home run leaders,100.0,Barry Bonds,List of Major League Baseball career home run leaders,100.0,Barry Bonds,List of Major League Baseball career home run leaders,101.0
365,who plays the judge in drop dead diva,['Lex Medlin'],List of Drop Dead Diva characters,,None,0.0,Celebrity guest stars,List of Drop Dead Diva characters,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Celebrity guest stars,List of Drop Dead Diva characters,101.0
366,who had won the first grammy award for the best new artist,"['Chance the Rapper', 'Bobby Darin']",Grammy Award for Best New Artist,LeAnn Rimes,{'LeAnn Rimes': 'Grammy Award for Best New Artist'},100.0,LeAnn Rimes,Grammy Award for Best New Artist,0.0,Lady Gaga,Grammy Award for Best New Artist,100.0,LeAnn Rimes,Grammy Award for Best New Artist,100.0,Lady Gaga,Grammy Award for Best New Artist,100.0,LeAnn Rimes,Grammy Award for Best New Artist,100.0
367,what channel does thursday night football come on regular tv,['NBC'],Thursday Night Football,,None,0.0,CBS,Thursday Night Football,100.0,CBS,Thursday Night Football,100.0,NBC,Thursday Night Football,100.0,CBS,Thursday Night Football,100.0,CBS,Thursday Night Football,100.0
368,who is the chief economic advisor of india,['Arvind Subramanian'],Chief Economic Adviser to the Government of India,,None,-1.0,None,None,-1.0,None,None,0.0,The Chief Economic Adviser,Chief Economic Adviser to the Government of India,-1.0,None,None,-1.0,None,None,1.0
369,when did slave to the rhythm come out,"['2010', 'May 8 , 2014']",Slave to the Rhythm (Michael Jackson song),,None,50.0,February 2014,Slave to the Rhythm (Michael Jackson song),100.0,February 2014,Slave to the Rhythm (Michael Jackson song),66.66666666666666,"May 18, 2014",Slave to the Rhythm (Michael Jackson song),100.0,February 2014,Slave to the Rhythm (Michael Jackson song),100.0,February 2014,Slave to the Rhythm (Michael Jackson song),50.0
370,when did the battle of bull run start,"['July 21 , 1861', '5 : 15 a.m.']",First Battle of Bull Run,"July 21, 1861, 9:30 a.m, July 18","{'July 21, 1861': 'First Battle of Bull Run', '9:30 a.m': 'First Battle of Bull Run', 'July 18': 'First Battle of Bull Run'}",100.0,"July 21, 1861",First Battle of Bull Run,100.0,"July 21, 1861",First Battle of Bull Run,100.0,"July 21, 1861",First Battle of Bull Run,100.0,"July 21, 1861",First Battle of Bull Run,100.0,"July 21, 1861",First Battle of Bull Run,0.0
371,who is playing halftime show super bowl 2018,['Justin Timberlake'],Super Bowl LII halftime show,,None,-1.0,None,None,-1.0,None,None,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,101.0
372,who won the most gold metals in olympics,"['Michael Phelps', 'American swimmer Michael Phelps']",List of multiple Olympic medalists,,None,-1.0,None,None,100.0,Michael Phelps,List of multiple Olympic medalists,100.0,Michael Phelps,List of multiple Olympic medalists,100.0,Michael Phelps,List of multiple Olympic medalists,0.0,athletes who have won seven or more Olympic medals over their sporting career,List of multiple Olympic medalists,101.0
373,where is nuclear energy used most in the world,"['France', 'United States']",Nuclear power by country,France,{'France': 'Nuclear power by country'},0.0,"France, Belgium and Slovakia",Nuclear power by country,60.0,"Belgium, France, Hungary and Slovakia",Nuclear power by country,66.66666666666666,"France, Slovakia, Ukraine, Belgium, and Hungary",Nuclear power by country,100.0,United States,Nuclear power by country,100.0,United States,Nuclear power by country,100.0
374,who's winning the election in virginia for governor,"['Democratic nominee Ralph Northam', 'Ralph Northam']","Virginia gubernatorial election, 2017",,None,-1.0,None,None,0.0,Terry McAuliffe,"Virginia gubernatorial election, 2017",100.0,Ralph Northam,"Virginia gubernatorial election, 2017",-1.0,None,None,-1.0,None,None,101.0
375,when was the last time university of michigan won a national championship,['1997'],Michigan Wolverines football,"1948 and 1997, 1935","{'1948 and 1997': 'Michigan Wolverines football', '1935': 'Michigan Wolverines football'}",100.0,1997,Michigan Wolverines football,100.0,1997,Michigan Wolverines football,100.0,1997,Michigan Wolverines football,100.0,1997,Michigan Wolverines football,100.0,1997,Michigan Wolverines football,0.0
376,what was the date of the signing of the declaration of independence,"['primarily on August 2 , 1776', 'August 2 , 1776']",Signing of the United States Declaration of Independence,,None,36.787944117144235,August 2,Signing of the United States Declaration of Independence,100.0,August 2,Signing of the United States Declaration of Independence,100.0,August 2,Signing of the United States Declaration of Independence,100.0,August 2,Signing of the United States Declaration of Independence,100.0,August 2,Signing of the United States Declaration of Independence,63.212055882855765
377,who did university of miami play last week,['FIU'],Miami Hurricanes football,"Boston College, Florida State, Bruins","{'Boston College': 'Miami Hurricanes football', 'Florida State': 'Miami Hurricanes football', 'Bruins': 'Miami Hurricanes football'}",50.0,Penn State,Miami Hurricanes football,100.0,Penn State,Miami Hurricanes football,27.27272727272727,Florida State in Wide Right II and No. 7 Penn State,Miami Hurricanes football,33.33333333333333,No. 4 Michigan,Miami Hurricanes football,0.0,Virginia Tech Hokies,Miami Hurricanes football,100.0
378,who plays ivo on once upon a time,['Dan Payne'],List of Once Upon a Time characters,,None,0.0,Jennifer Morrison,List of Once Upon a Time characters,0.0,"ABC show ""Once Upon a Time"" and its spin-off ""Once Upon a Time in Wonderland",List of Once Upon a Time characters,36.787944117144235,ABC,List of Once Upon a Time characters,-1.0,None,None,100.0,ABC,List of Once Upon a Time characters,101.0
379,what is the longest river in the united states,['Missouri River'],List of longest rivers of the United States (by main stem),,None,8.333333333333332,Milk and Saint Lawrence rivers and the Red River of the North,List of longest rivers of the United States (by main stem),-1.0,None,None,100.0,Milk and Saint Lawrence rivers and the Red River of the North,List of longest rivers of the United States (by main stem),-1.0,None,None,50.0,Columbia rivers,List of longest rivers of the United States (by main stem),101.0
380,when will notre dame played michigan state again,['2026'],Michigan State–Notre Dame football rivalry,,None,0.0,2010,Michigan State–Notre Dame football rivalry,0.0,"2007 for Michigan State under new head coach Mark Dantonio who defeated the Fighting Irish 31–14, recording MSU's sixth straight victory at Notre Dame. On September 20, 2008",Michigan State–Notre Dame football rivalry,100.0,2026,Michigan State–Notre Dame football rivalry,-1.0,None,None,100.0,2026,Michigan State–Notre Dame football rivalry,101.0
381,what is the limit of resolution of the human eye in micrometers,"['~ 55 - 75 micrometers', '~ 0.116 mm']",Naked eye,"+6m, 1′, +6m","{'+6m': 'Naked eye', '1′': 'Naked eye'}",100.0,1′,Naked eye,100.0,1′,Naked eye,0.0,~55-75,Naked eye,-1.0,None,None,50.0,~ 0.116 mm,Naked eye,101.0
382,where is iodine found in the periodic table,"['the fourth halogen , being a member of group 17 in the periodic table , below fluorine , chlorine , and bromine', 'heaviest of the stable halogens']",Iodine,"Group VII, —typically remote inland areas and semi-arid equatorial climates where no marine foods are eaten, mineral caliche","{'Group VII': 'Iodine', '—typically remote inland areas and semi-arid equatorial climates where no marine foods are eaten': 'Iodine', 'mineral caliche': 'Iodine'}",0.0,Potassium iodide,Iodine,20.0,Solar System and Earth's crust,Iodine,100.0,group 17,Iodine,100.0,group 17,Iodine,100.0,group 17,Iodine,100.0
383,who does the vocals for feel it still,['Portugal . The Man'],Feel It Still,,None,-1.0,None,None,-1.0,None,None,47.76875403825262,Portugal. The Man,Feel It Still,100.0,Portugal. The Man,Feel It Still,100.0,Portugal. The Man,Feel It Still,101.0
384,when did indoor toilets become common in america,['After World War I'],Toilet (room),,None,71.65313105737893,World War I,Toilet (room),0.0,Into the modern era,Toilet (room),100.0,Into the modern era,Toilet (room),100.0,Into the modern era,Toilet (room),100.0,Into the modern era,Toilet (room),100.0
385,who played the creature on jeepers creepers 3,['Jonathan Breck'],Jeepers Creepers 3,,None,-1.0,None,None,-1.0,None,None,100.0,Jonathan Breck,Jeepers Creepers 3,100.0,Breck,Jeepers Creepers 3,100.0,Breck,Jeepers Creepers 3,101.0
386,who was the girl in the video brenda got a baby,"[""Ethel `` Edy '' Proctor""]",Brenda's Got a Baby,"Dave Hollister, her cousin, her cousin","{'Dave Hollister': ""Brenda's Got a Baby"", 'her cousin': ""Brenda's Got a Baby""}",100.0,Dave Hollister,Brenda's Got a Baby,100.0,Dave Hollister,Brenda's Got a Baby,100.0,Dave Hollister,Brenda's Got a Baby,100.0,Dave Hollister,Brenda's Got a Baby,100.0,her cousin,Brenda's Got a Baby,0.0
387,when did they stop making the nissan xterra,"['2015', 'after the 2015 model year']",Nissan Xterra,"2006, 2008, 2005–present","{'2006': 'Nissan Xterra', '2008': 'Nissan Xterra', '2005–present': 'Nissan Xterra'}",100.0,2008,Nissan Xterra,100.0,2008,Nissan Xterra,100.0,2015,Nissan Xterra,100.0,2015,Nissan Xterra,100.0,2015,Nissan Xterra,0.0
388,who sang original i want a hippopotamus for christmas,['Gayla Peevey'],I Want a Hippopotamus for Christmas,"Gayla Peevey, Peevey","{'Gayla Peevey': 'I Want a Hippopotamus for Christmas', 'Peevey': 'I Want a Hippopotamus for Christmas'}",100.0,Gayla Peevey,I Want a Hippopotamus for Christmas,100.0,Gayla Peevey,I Want a Hippopotamus for Christmas,100.0,Gayla Peevey,I Want a Hippopotamus for Christmas,100.0,Gayla Peevey,I Want a Hippopotamus for Christmas,100.0,Gayla Peevey,I Want a Hippopotamus for Christmas,0.0
389,who played young monica in love and basketball,['Kyla Pratt'],Love & Basketball,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
390,the world famous corn belt is in which country,"['the United States', 'United States']",Corn Belt,,None,-1.0,None,None,100.0,United States,Corn Belt,66.66666666666666,Midwestern United States,Corn Belt,-1.0,None,None,100.0,Midwestern United States,Corn Belt,101.0
391,who wrote it's gonna take a lot of love,['Neil Young'],Lotta Love,Neil Young,{'Neil Young': 'Lotta Love'},100.0,Neil Young,Lotta Love,100.0,Neil Young,Lotta Love,100.0,Neil Young,Lotta Love,100.0,Neil Young,Lotta Love,100.0,Neil Young,Lotta Love,0.0
392,the fertile crescent is located between what two bodies of water,"['Tigris', 'Tigris and Euphrates rivers']",Fertile Crescent,"Nile, Euphrates and Tigris rivers, Jordan and upper Euphrates rivers, Tigris and Euphrates","{'Nile, Euphrates and Tigris rivers': 'Fertile Crescent', 'Jordan and upper Euphrates rivers': 'Fertile Crescent', 'Tigris and Euphrates': 'Fertile Crescent'}",100.0,Tigris and Euphrates,Fertile Crescent,100.0,Tigris and Euphrates,Fertile Crescent,100.0,Tigris and Euphrates,Fertile Crescent,100.0,Jordan and upper Euphrates rivers,Fertile Crescent,100.0,Jordan and upper Euphrates rivers,Fertile Crescent,0.0
393,what is in a pat o brien hurricane,"['rum , fruit juice , and syrup or grenadine', 'rum']",Hurricane (cocktail),"an extremely sweet alcoholic drink made from lime juice, passion fruit syrup and rum","{'an extremely sweet alcoholic drink made from lime juice, passion fruit syrup and rum': 'Hurricane (cocktail)'}",11.111111111111109,"coffee liqueur, 151 rum, Irish cream, and Grand Marnier",Hurricane (cocktail),22.22222222222222,"disposable plastic cup, as New Orleans laws permit drinking in public and leaving a bar with a drink, but they prohibit public drinking from glass containers.
The hurricane cocktail is made differently on the islands of the Bahamas. The drink is composed of various measures of coffee liqueur, 151 rum, Irish cream, and Grand Marnier",Hurricane (cocktail),33.33333333333333,hurricane lamp–shaped glasses,Hurricane (cocktail),100.0,lamp–shaped glasses,Hurricane (cocktail),50.0,Hurricane glass,Hurricane (cocktail),88.88888888888889
394,who is known as father of green revolution in india,['Mankombu Sambasivan Swaminathan'],M. S. Swaminathan,"Mahatma Gandhi, Monkombu Sambasivan Swaminathan, Mahatma Gandhi","{'Mahatma Gandhi': 'M. S. Swaminathan', 'Monkombu Sambasivan Swaminathan': 'M. S. Swaminathan'}",100.0,Mahatma Gandhi,M. S. Swaminathan,100.0,Mahatma Gandhi,M. S. Swaminathan,100.0,Mahatma Gandhi,M. S. Swaminathan,100.0,Mahatma Gandhi,M. S. Swaminathan,100.0,Mankombu Sambasivan Swaminathan,M. S. Swaminathan,0.0
395,how long is a whale shark in meters,"['9.7 m', '12.65 m', 'estimated at 9.7 m']",Whale shark,"enormous size, 2 to 3 mm, 21.5 tonnes","{'enormous size': 'Whale shark', '2 to 3\xa0mm': 'Whale shark', '21.5\xa0tonnes': 'Whale shark'}",100.0,12.65,Whale shark,0.0,18,Whale shark,100.0,18,Whale shark,100.0,18,Whale shark,100.0,18,Whale shark,100.0
396,how do you say zest for life in french,"['Joie de vivre ( French pronunciation : \u200b ( ʒwa də vivʁ )', 'Joie de vivre']",Joie de vivre,Joie de vivre,{'Joie de vivre': 'Joie de vivre'},100.0,Joie de vivre,Joie de vivre,100.0,Joie de vivre,Joie de vivre,100.0,Joie de vivre,Joie de vivre,-1.0,None,None,33.33333333333333,joie de vie,Joie de vivre,101.0
397,how many paintings of sunflowers did van gogh paint,['two'],Sunflowers (Van Gogh series),,None,100.0,two,Sunflowers (Van Gogh series),100.0,two,Sunflowers (Van Gogh series),100.0,two,Sunflowers (Van Gogh series),100.0,two,Sunflowers (Van Gogh series),100.0,two,Sunflowers (Van Gogh series),0.0
398,what kind of bird is in the lion king,"['red - billed hornbill', 'a red - billed hornbill']",List of The Lion King characters,"hyena, hyenas, Sarafina","{'hyena': 'List of The Lion King characters', 'hyenas': 'List of The Lion King characters', 'Sarafina': 'List of The Lion King characters'}",100.0,hyena,List of The Lion King characters,-1.0,None,None,50.0,red-billed hornbill,List of The Lion King characters,100.0,red-billed hornbill,List of The Lion King characters,-1.0,None,None,101.0
399,where is the word leviathan mentioned in the bible,"['in the Hebrew Bible in the Book of Job , Psalms , and Isaiah', 'Book of Job', 'the Book of Job , Psalms , and Isaiah']",Leviathan,"Talmud ""Baba Bathra 74b, Isaiah 27:1) would seem to be a reference to a Semitic mythological beast mentioned in literature of Ugarit, a city-state in North Syria. According to Canaanite myth, the Leviathan was an enemy of order in Creation and was slain by the Canaanite god Baal. The word Leviathan to the ancient Jews became synonymous with that which warred against God's kingdom. This especially included nations warring against Israel such as Assyria and Egypt. (The Bible Knowledge Commentary, Old Testament,1985, SP Publications Inc.)
Leviathan also appears in the Apocryphal Book of Enoch, Psalms","{'Talmud ""Baba Bathra 74b': 'Leviathan', ""Isaiah 27:1) would seem to be a reference to a Semitic mythological beast mentioned in literature of Ugarit, a city-state in North Syria. According to Canaanite myth, the Leviathan was an enemy of order in Creation and was slain by the Canaanite god Baal. The word Leviathan to the ancient Jews became synonymous with that which warred against God's kingdom. This especially included nations warring against Israel such as Assyria and Egypt. (The Bible Knowledge Commentary, Old Testament,1985, SP Publications Inc.)\nLeviathan also appears in the Apocryphal Book of Enoch"": 'Leviathan', 'Psalms': 'Leviathan'}",37.142857142857146,"Isaiah 27:1 uses the first of these phrases to describe Leviathan (although in this case the name ""Leviathan"" may refer to an unnamed historical/political enemy of Israel rather than the original serpent-monster). In Psalm 104",Leviathan,100.0,Psalms,Leviathan,75.0,"Talmud ""Baba Bathra 75a""",Leviathan,100.0,Hebrew Bible,Leviathan,100.0,Hebrew Bible,Leviathan,62.857142857142854
400,what's the name of the last mission impossible movie,['Mission : Impossible -- Fallout'],Mission: Impossible (film series),,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
401,when was looking for a sunset bird in winter written,['1923'],New Hampshire (poetry collection),,None,-1.0,None,None,-1.0,None,None,0.0,Stopping by Woods,New Hampshire (poetry collection),-1.0,None,None,42.857142857142854,Stopping by Woods on a Snowy Evening,New Hampshire (poetry collection),43.857142857142854
402,where does florida natural orange juice come from,"['Lake Wales , Florida', 'primarily in Polk County , Florida']",Florida's Natural Growers,not-from-concentrate,"{'not-from-concentrate': ""Florida's Natural Growers""}",-1.0,None,None,47.76875403825262,"Lake Wales, Florida",Florida's Natural Growers,100.0,"Lake Wales, Florida",Florida's Natural Growers,100.0,not-from-concentrate,Florida's Natural Growers,100.0,not-from-concentrate,Florida's Natural Growers,101.0
403,where is fulda and what is its significance,"['Hesse , Germany']",Fulda,"based on an Imperial grant, Fulda River, quality and rarity","{'based on an Imperial grant': 'Fulda', 'Fulda River': 'Fulda', 'quality and rarity': 'Fulda'}",100.0,quality and rarity,Fulda,100.0,quality and rarity,Fulda,50.0,Fulda Gap,Fulda,100.0,Fulda Gap,Fulda,100.0,Fulda Gap,Fulda,50.0
404,the most important battles in the revolutionary war,['Boston campaign'],List of American Revolutionary War battles,Actions marked with an asterisk involved no casualties,{'Actions marked with an asterisk involved no casualties': 'List of American Revolutionary War battles'},-1.0,None,None,0.0,Battles (in chronological order).,List of American Revolutionary War battles,-1.0,None,None,0.0,"Major campaigns, theaters, and expeditions",List of American Revolutionary War battles,-1.0,None,None,1.0
405,who played mr thatcher in when calls the heart,['Garwin Sanford'],When Calls the Heart,,None,-1.0,None,None,0.0,When Calls the Heart,When Calls the Heart,0.0,Poppy Drayton,When Calls the Heart,100.0,Poppy Drayton,When Calls the Heart,0.0,Erin Krakow,When Calls the Heart,101.0
406,roman god of the underworld also called orcus or pluto,['Dis Pater'],Pluto (mythology),"Pluto, Hades","{'Pluto': 'Pluto (mythology)', 'Hades': 'Pluto (mythology)'}",100.0,Hades,Pluto (mythology),100.0,Hades,Pluto (mythology),100.0,Hades,Pluto (mythology),100.0,Hades,Pluto (mythology),100.0,Hades,Pluto (mythology),0.0
407,who was the first person to successfully introduce a device exclusively designed for data processing,['Herman Hollerith'],History of IBM,"Watson, Thomas Watson, Sr.,, Hollerith","{'Watson': 'History of IBM', 'Thomas Watson, Sr.,': 'History of IBM', 'Hollerith': 'History of IBM'}",100.0,Herman Hollerith,History of IBM,100.0,Herman Hollerith,History of IBM,100.0,Herman Hollerith,History of IBM,0.0,Frank T. Cary,History of IBM,100.0,Frank T. Cary,History of IBM,100.0
408,who sings the song i want to go outside in the rain,['Milira'],Go Outside in the Rain,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Milira,Go Outside in the Rain,100.0,Milira,Go Outside in the Rain,101.0
409,which is produced in plants of narora kakrapar tarapur,['Atomic Power'],Tarapur Atomic Power Station,boiling water reactors,{'boiling water reactors': 'Tarapur Atomic Power Station'},100.0,boiling water reactors,Tarapur Atomic Power Station,66.66666666666666,Boiling water reactors,Tarapur Atomic Power Station,100.0,Boiling water reactors,Tarapur Atomic Power Station,100.0,Boiling water reactors,Tarapur Atomic Power Station,100.0,Boiling water reactors,Tarapur Atomic Power Station,33.33333333333334
410,who is the originator of the plan-do-check-act model of performance improvement,['W. Edwards Deming'],PDCA,"Deming Deming, Dr. W. Edwards Deming, Deming","{'Deming Deming': 'PDCA', 'Dr. W. Edwards Deming': 'PDCA', 'Deming': 'PDCA'}",100.0,Deming,PDCA,100.0,Deming,PDCA,100.0,Deming,PDCA,100.0,Deming,PDCA,100.0,Deming,PDCA,0.0
411,who came up with the idea of the transcontinental railroad,['Dr. Hartwell Carver'],First Transcontinental Railroad,"Asa Whitney, Grenville M. Dodge, Asa Whitney","{'Asa Whitney': 'First Transcontinental Railroad', 'Grenville M. Dodge': 'First Transcontinental Railroad'}",100.0,Hartwell Carver,First Transcontinental Railroad,100.0,Grenville M. Dodge,First Transcontinental Railroad,0.0,Leland Stanford,First Transcontinental Railroad,100.0,Grenville M. Dodge,First Transcontinental Railroad,-1.0,None,None,101.0
412,where does half life 2 episode 2 take place,"['In the mountains outside City 17', 'outside City 17']",Half-Life 2: Episode Two,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
413,who won the world cup in cricket 2017,['Pakistan'],2017 ICC Champions Trophy,,None,-1.0,None,None,0.0,Bangladesh,2017 ICC Champions Trophy,100.0,Pakistan,2017 ICC Champions Trophy,-1.0,None,None,100.0,Pakistan,2017 ICC Champions Trophy,101.0
414,who was the main character in their eyes were watching god,['Janie Crawford'],Their Eyes Were Watching God,"Janie Crawford, Huck, Starks","{'Janie Crawford': 'Their Eyes Were Watching God', 'Huck': 'Their Eyes Were Watching God', 'Starks': 'Their Eyes Were Watching God'}",100.0,Janie Crawford,Their Eyes Were Watching God,100.0,Janie Crawford,Their Eyes Were Watching God,100.0,Janie Crawford,Their Eyes Were Watching God,100.0,Janie Crawford,Their Eyes Were Watching God,100.0,Janie Crawford,Their Eyes Were Watching God,0.0
415,who sings good night on the beatles white album,['Ringo Starr'],Good Night (Beatles song),,None,-1.0,None,None,100.0,Ringo Starr,Good Night (Beatles song),100.0,Ringo Starr,Good Night (Beatles song),100.0,Ringo,Good Night (Beatles song),100.0,Ringo,Good Night (Beatles song),101.0
416,when is the end of the football season,"['February 4 , 2018 , with Super Bowl LII', 'February 4 , 2018']",2017 NFL season,,None,-1.0,None,None,-1.0,None,None,47.76875403825262,"February 4, 2018",2017 NFL season,100.0,Super Bowl LII,2017 NFL season,100.0,Super Bowl LII,2017 NFL season,101.0
417,when did the nfl adopt a salary cap,"['1994 season', 'for the 1994 season', 'the 1994 season', '1994']",Salary cap,"1990, 1987, 1994 season","{'1990': 'Salary cap', '1987': 'Salary cap', '1994 season': 'Salary cap'}",100.0,1987,Salary cap,100.0,1987,Salary cap,100.0,1987,Salary cap,100.0,1987,Salary cap,100.0,1987,Salary cap,0.0
418,when did the wave hill walk off end,['16 August 1975'],Wave Hill walk-off,,None,-1.0,None,None,-1.0,None,None,50.0,August 1966,Wave Hill walk-off,66.66666666666666,23 August 1966,Wave Hill walk-off,100.0,23 August 1966,Wave Hill walk-off,101.0
419,cast of a nightmare on elm street 1984,['John Saxon'],A Nightmare on Elm Street,"Dreamscapes, Direction.
Wes Craven, A Nightmare on Elm Street""'s similarity to ""Dreamscapes","{'Dreamscapes': 'A Nightmare on Elm Street', 'Direction.\nWes Craven': 'A Nightmare on Elm Street', 'A Nightmare on Elm Street""\'s similarity to ""Dreamscapes': 'A Nightmare on Elm Street'}",80.0,A Nightmare on Elm Street,A Nightmare on Elm Street,100.0,A Nightmare on Elm Street,A Nightmare on Elm Street,100.0,A Nightmare on Elm Street,A Nightmare on Elm Street,0.0,Nancy.,A Nightmare on Elm Street,0.0,The Texas Chain Saw Massacre,A Nightmare on Elm Street,100.0
420,what album is help by the beatles on,['Help !'],Help! (album),"Help!, Rubber Soul, The Capitol Albums, Volume 2","{'Help!': 'Help! (album)', 'Rubber Soul': 'Help! (album)', 'The Capitol Albums, Volume 2': 'Help! (album)'}",100.0,Help!,Help! (album),100.0,Help!,Help! (album),100.0,Help!,Help! (album),-1.0,None,None,-1.0,None,None,101.0
421,when was the taming ofthe shrew first performed,['prior to June 1592'],The Taming of the Shrew,"1953, June 13, 1594, 1611","{'1953': 'The Taming of the Shrew', 'June 13, 1594': 'The Taming of the Shrew', '1611': 'The Taming of the Shrew'}",50.0,"May, 1594",The Taming of the Shrew,50.0,May 1594,The Taming of the Shrew,100.0,May 1594,The Taming of the Shrew,100.0,May 1594,The Taming of the Shrew,100.0,1953,The Taming of the Shrew,50.0
422,when does god of war ghost of sparta take place,['ancient Greece'],God of War: Ghost of Sparta,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
423,who does the voice of the elephant in sing,['Tori Kelly'],Sing (2016 American film),,None,-1.0,None,None,-1.0,None,None,2.941176470588235,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly, Taron Egerton, and Tori Kelly. The film is about a group of anthropomorphic animals that enter a singing competition, hosted by a koala",Sing (2016 American film),0.0,camel Pete,Sing (2016 American film),100.0,camel Pete,Sing (2016 American film),101.0
424,what is best thing i never had song about,"['revenge', 'revenge and karma']",Best Thing I Never Had,,None,100.0,revenge and karma,Best Thing I Never Had,100.0,revenge and karma,Best Thing I Never Had,100.0,revenge and karma,Best Thing I Never Had,100.0,revenge and karma,Best Thing I Never Had,100.0,revenge and karma,Best Thing I Never Had,0.0
