,Question,GT Answer,GT Topic,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,max - min
2482,"What ruler, besides John of Saxony and Philip of Hesse, formed the Schmalkaldic League?","['George, Margrave of Brandenburg-Ansbach']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2483,What do scholars sometimes assert that Luther believed about what faith and reason were to each other?,['antithetical'],Martin_Luther,philosophy,{'philosophy': 'Lutheranism'},100.0,philosophy,Lutheranism,100.0,antithetical,Martin Luther,0.0,Judaism,Martin Luther and antisemitism,100.0
2484,What did Luther think that faith could not be understood by?,"['reason', 'human reason']",Martin_Luther,reason,{'reason': 'Martin Luther'},100.0,reason,Martin Luther,100.0,reason,Martin Luther,100.0,reason,Martin Luther,0.0
2485,How did Luther say that reason contributes to faith?,"['no way contributes', 'in no way']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2486,What was faith's greatest enemy according to Luther?,"['reason', 'Reason']",Martin_Luther,Reason,{'Reason': 'Fideism'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2487,"By separating faith and reason, what does Luther honor?","['different epistemological spheres.', 'separate spheres of knowledge that each applies to', 'separate spheres of knowledge']",Martin_Luther,Martin Luther,{'Martin Luther': 'Luther (surname)'},100.0,Martin Luther,Luther (surname),100.0,Martin Luther,Luther (surname),100.0,Martin Luther,Luther (surname),0.0
2488,What did Luther state as a means of discouraging mistreatment of Jews?,"['Jesus Christ was born a Jew', 'that Jesus Christ was born a Jew', 'conversion']",Martin_Luther,,None,100.0,Jesus Christ was born a Jew,Martin Luther,-1.0,None,None,-1.0,None,None,101.0
2489,What did Luther gradually see as hopeless in the Reformation?,"['Jewish conversion to Christianity', 'large-scale Jewish conversion to Christianity', 'large-scale Jewish conversion']",Martin_Luther,,None,-1.0,None,None,0.0,Philosophy,Martin Luther,100.0,Philosophy,Martin Luther,101.0
2490,Who did Luther strike out against in later years?,['Jews'],Martin_Luther,,None,0.0,whites,"Martin Luther King, Jr.",100.0,whites,Martin Luther King Jr.,0.0,Bayard Rustin,Martin Luther King Jr.,100.0
2491,Luther treated Jews in a like way as he treated what group?,"['Anabaptists', 'Anabaptists, Zwinglianism, and the papacy']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,100.0,Anabaptists,Martin Luther and antisemitism,101.0
2492,When did Luther write an extreme treatise against the Jews?,['1543'],Martin_Luther,1543,{'1543': 'On the Jews and Their Lies'},100.0,1543,On the Jews and Their Lies,100.0,1543,On the Jews and Their Lies,100.0,1543,On the Jews and Their Lies,0.0
2493,How did Luther view the Ottoman Turks?,"['as a scourge', 'scourge', 'argued against resisting']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2494,What was the purpose of the Turks in Luther's mind?,"['to punish Christians', 'punish Christians by God', 'scourge sent to punish Christians']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2495,"Since Luther believed that the Turks were sent by God, what was their purpose?","['destroy the antichrist', 'punish']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2496,Who did Luther view to be the Antichrist?,"['the papacy', 'papacy']",Martin_Luther,the papacy,{'the papacy': 'Martin Luther'},0.0,2 Thessalonians 2,Martin Luther,0.0,Lucifer,Antichrist,0.0,Adolf Hitler,Martin Luther and antisemitism,0.0
2497,"What kind of war did Luther support against the Turks, even if he did not oppose a religious war?","['secular war', 'non-religious', 'non-religious war']",Martin_Luther,,None,100.0,non-religious war,Martin Luther,-1.0,None,None,100.0,non-religious war,Martin Luther,101.0
2498,What book did Luther read in 1542?,"[""Qur'an""]",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2499,What type of writings did the reading of the Qur'an bring out in Luther?,"['critical pamphlets on Islam', 'critical']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2500,What were Mohammedanism and the Turk?,"['Islam', 'pamphlets']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2501,How did Luther view Islam?,"['tool of the devil', 'a tool of the devil', 'tool of the devil,']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2502,What purpose would Luther have in not wanting to ban the Qur'an?,"['exposed to scrutiny.', 'wanting it exposed to scrutiny.', 'exposed to scrutiny']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2503,What did Johannes Agricola preach that God's gospel revealed?,"[""God's wrath to Christians"", ""God's wrath"", ""God's wrath to Christians.""]",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2504,Who did Luther think was behind the antinomian theses circulating in Wittenberg?,"['Johannes Agricola', 'Agricola']",Martin_Luther,Charles V,{'Charles V': 'Martin Luther'},0.0,Zwickau,Martin Luther,100.0,Charles V,Martin Luther,0.0,Charles V,Martin Luther,100.0
2505,What did Agricola apparently believe about who should be in control  law?,"['city hall', 'city hall.']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2506,How did Luther respond to Agricola?,"['theses against Agricola', 'six series of theses', 'six series of theses against Agricola']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2507,What book did Luther write in response to Agricola and the antinomians?,"['On the Councils and the Church', 'On the Councils']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2508,What did Luther's answer to the antinomians reaffirms?,['second use of the law'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2509,What is the use of the law by the Holy Spirit?,"['work sorrow over sin', ""work sorrow over sin in man's heart""]",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2510,What is Luther's opinion of what the law covers??,"['everything', 'everything that is used to work sorrow over sin is called the law,']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,0.0,indulgences,Martin Luther,1.0
2511,What does refusing to preach the Ten Commandments not do?,"['eliminate the accusing law', 'eliminate the accusing law.']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2512,What did Luther claim the church would have to comprise if the law were not taught?,"['essentially holy people', 'holy people', 'only of essentially holy people']",Martin_Luther,,None,0.0,city hall,Martin Luther,-1.0,None,None,100.0,city hall,Martin Luther,101.0
2513,What do the Ten Commandments teach Christians how to do?,"['ought to live', 'live', 'how the Christian ought to live']",Martin_Luther,coveting,{'coveting': 'Catholic doctrine regarding the Ten Commandments'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2514,"What is God's expression of eternal will, according to Luther?","['Ten Commandments', 'the Ten Commandments']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2515,Teaching Christians how they should live is what use of the law?,['third use of the law'],Martin_Luther,pedagogic,{'pedagogic': 'Law and Gospel'},100.0,pedagogic,Law and Gospel,100.0,pedagogic,Law and Gospel,0.0,grace,Law and Gospel,100.0
2516,What did Luther consider Christ's life?,"['illustration of the Ten Commandments', 'an illustration of the Ten Commandments', 'illustration of the Ten Commandments,']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,0.0,salvation,Martin Luther,1.0
2517,What should a Christian follow in his life?,"['Ten Commandments', 'his or her vocations on a daily basis']",Martin_Luther,temperance,{'temperance': 'Ascetical theology'},100.0,temperance,Ascetical theology,100.0,temperance,Ascetical theology,100.0,temperance,Ascetical theology,0.0
2518,What sacrament accords Christians renewed life?,['baptism'],Martin_Luther,Renewers of the Church,{'Renewers of the Church': 'Renewers of the Church'},100.0,Renewers of the Church,Renewers of the Church,100.0,baptism,Regeneration (theology),100.0,baptism,Regeneration (theology),0.0
2519,"Besides baptism, what shows the future of heaven to Christians?","['Ten Commandments', 'Ten Commandments,']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2520,What does the Ten Commandments ask of the Christians?,"['service to the neighbor', 'service to the neighbor in the common', 'service to the neighbor in the common, daily vocations of this perishing world']",Martin_Luther,,None,50.0,purity of the heart,Thou shalt not covet,-1.0,None,None,0.0,Detachment from riches,Ten Commandments in Catholic theology,51.0
2521,What did Philip I wish to do around 1539?,"['wanted to marry', ""marry one of his wife's ladies-in-waiting"", ""marry one of his wife's ladies-in-waiting.""]",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2522,What did Luther get implicated in concerning Philip I?,['bigamy'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2523,Who did Philip I want to marry?,"[""one of his wife's ladies-in-waiting"", 'Margarethe von der Saale']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2524,Who does history view as accountable for the error Philip I made and Luther's advice in the matter?,"['holds Luther accountable', 'Luther', 'one of the worst mistakes Luther made,']",Martin_Luther,Johann von Staupitz,{'Johann von Staupitz': 'Martin Luther'},0.0,Melanchthon,Martin Luther,0.0,John Jortin,Martin Luther,100.0,Johann von Staupitz,Martin Luther,100.0
2525,What did this affair cause to Luther's reputation?,"['lasting damage', 'caused lasting damage']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,100.0,lasting damage,Martin Luther,101.0
2526,What had Luther's community done to Jews years earlier?,"['expelled Jews', 'expelled']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2527,"Who did Luther write about, but seldom met?",['Jews'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2528,What did Luther's area and tradition believe Jews to be guilty of?,"['murder of Christ', 'murder of Christ,']",Martin_Luther,misfortune,{'misfortune': 'Martin Luther and antisemitism'},0.0,heresy,Heresy in Judaism,0.0,deicide,Jewish deicide,-1.0,None,None,1.0
2529,What did Jews refuse to accept that caused Luther to call them blasphemers and liars?,"['divinity of Jesus', 'Jesus']",Martin_Luther,Jesus as the messiah,{'Jesus as the messiah': 'On the Jews and Their Lies'},100.0,Jesus as the messiah,On the Jews and Their Lies,100.0,Jesus as the messiah,On the Jews and Their Lies,100.0,Jesus as the messiah,Martin Luther and antisemitism,0.0
2530,What did Luther try to do for the Jews?,"['convert them to Christianity.', 'convert']",Martin_Luther,genocide,{'genocide': 'Martin Luther and antisemitism'},100.0,convert,Martin Luther and antisemitism,100.0,genocide,Martin Luther and antisemitism,0.0,save,Martin Luther and antisemitism,100.0
2531,"What was Luther's major work of 60,000 words on the Jews?","['Von den Juden und Ihren Lügen', 'treatise Von den Juden und Ihren Lügen']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2532,When was the large work published?,['1543'],Martin_Luther,1964,{'1964': 'Large-print'},100.0,1964,Large-print,100.0,1964,Large-print,0.0,1997,"The Large, the Small and the Human Mind",100.0
2533,How near to his death was the work published?,"['three years before', 'three years before his death']",Martin_Luther,July 1821,{'July 1821': 'Adonaïs'},0.0,1844,In Memoriam A.H.H.,0.0,1799,Johann Bernhard Vermehren,50.0,July 1820,John Keats,50.0
2534,What did Luther contend the Jews to be?,"[""the devil's people""]",Martin_Luther,blasphemers and liars,{'blasphemers and liars': 'Martin Luther'},0.0,our misfortune,Martin Luther and antisemitism,-1.0,None,None,-1.0,None,None,1.0
2535,As what did Robert Michael view Luther's violent language towards the Jews?,"['sanction for murder', 'a sanction for murder.']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2536,What did Luther speak out about in Saxony?,"['the Jews', 'Jews']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2537,Who did Josel of Rosheim blame for the condition of Jews in Saxony?,"['Martin Luther', 'that priest whose name was Martin Luther']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2538,What did Josel of Rosheim claimed that Luther said of those who might aid the Jews?,"['doomed to perdition', 'doomed to perdition.']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2539,What did Josel ask the city of Strasbourg to forbid the sale of?,"[""Luther's anti-Jewish works""]",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2540,When did riots cause the expulsion of Jews from several German states?,"['Throughout the 1580s', 'the 1580s', '1580s']",Martin_Luther,28 October 1938,{'28 October 1938': 'Kristallnacht'},-1.0,None,None,0.0,November,Kristallnacht,-1.0,None,None,1.0
2541,Who was the most widely read writer of his generation?,['Luther'],Martin_Luther,Dickens,{'Dickens': 'Charles Dickens'},0.0,Joaquim Maria Machado de Assis,Machado de Assis,19.470019576785123,Charles John Huffam Dickens,Charles Dickens,25.0,Miguel de Cervantes Saavedra,Miguel de Cervantes,25.0
2542,What action by Luther added to antisemitism in Germany?,['anti-Jewish rhetoric'],Martin_Luther,anti-Jewish rhetoric,{'anti-Jewish rhetoric': 'Martin Luther and antisemitism'},100.0,anti-Jewish rhetoric,Martin Luther and antisemitism,100.0,anti-Jewish rhetoric,Martin Luther and antisemitism,100.0,anti-Jewish rhetoric,Martin Luther and antisemitism,0.0
2543,What later actions by the Nazis could be traced back to Luther's rhetoric?,"['attacks on Jews', 'ideal underpinning', 'antisemitism']",Martin_Luther,,None,-1.0,None,None,0.0,"Hitler, Goering and Himmler",Martin Luther and antisemitism,-1.0,None,None,1.0
2544,Whose writings were widely quoted by the Third Reich?,['Luther'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,0.0,Hermann Göring,Joseph Goebbels,1.0
2545,How did Der Sturmer describe Luther's On the Jews and their Lies,"['radically anti-Semitic', 'most radically anti-Semitic tract ever published']",Martin_Luther,,None,0.0,hostile attitude,Martin Luther and antisemitism,0.0,evil,Martin Luther and antisemitism,100.0,evil,Martin Luther and antisemitism,100.0
2546,When did seven Protestant churches agree with the Nazi policy of forcing Jews to wear yellow arm bands?,"['17 December 1941', '1941']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2547,Who did the churches claim had suggested expulsion of Jews from Germany?,['Luther'],Martin_Luther,Luther,{'Luther': 'Martin Luther and antisemitism'},100.0,Luther,Martin Luther and antisemitism,100.0,Luther,Martin Luther and antisemitism,100.0,Luther,Martin Luther and antisemitism,0.0
2548,Who claimed Luther's writings were a blueprint of actions against Jews?,"['Diarmaid MacCulloch', 'MacCulloch']",Martin_Luther,Robert Michael,{'Robert Michael': 'Martin Luther'},0.0,Paul Halsall,Martin Luther and antisemitism,100.0,Diarmaid MacCulloch,Martin Luther,100.0,Paul Halsall,Martin Luther and antisemitism,100.0
2549,Who agreed with the burning of synagogues?,"['Bishop Martin Sasse', 'Martin Sasse', 'Sasse']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2550,What did Sasse proclaim Luther to be?,"['greatest antisemite', 'greatest antisemite of his time', 'the greatest antisemite of his time,']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2551,How do some scholars view the Nazi use of Luther's work?,"['opportunistic', 'limited']",Martin_Luther,opportunistic,{'opportunistic': 'Martin Luther and antisemitism'},100.0,opportunistic,Martin Luther,100.0,opportunistic,Martin Luther,100.0,opportunistic,Martin Luther,0.0
2552,What did Martin Brecht call Luther's stand on the Jews?,['misguided agitation'],Martin_Luther,Anti-Jewish agitation,{'Anti-Jewish agitation': 'Martin Luther and antisemitism'},0.0,blasphemers and liars,Martin Luther,0.0,Antisemitism,Martin Luther,100.0,blasphemers and liars,Martin Luther,100.0
2553,What did this agitation provide later generations material for?,"['modern hatred of the Jews', 'hatred of the Jews']",Martin_Luther,political awareness,{'political awareness': 'Indian independence movement'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2554,"When was Luther's writings about the Jews ignored, according to Johannes Wallmann?",['18th and 19th centuries'],Martin_Luther,late eighteenth and early nineteenth centuries,{'late eighteenth and early nineteenth centuries': 'Martin Luther and antisemitism'},100.0,18th and 19th centuries,Martin Luther,100.0,18th and 19th centuries,Martin Luther and antisemitism,-1.0,None,None,101.0
2555,What did Roland Bainton say about Luther's position on Jews?,"['religious and in no respect racial', 'entirely religious', 'entirely religious and in no respect racial']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2556,Other scholars contend that Luther's words lent what element to Christian suspicion of Jews?,['violence'],Martin_Luther,antisemitism,{'antisemitism': 'Martin Luther'},0.0,hostility,Martin Luther and antisemitism,100.0,antisemitism,Martin Luther,0.0,second-class citizens,Anti-Judaism in early Christianity,100.0
2557,Who thinks that Luther added antisemitism as a cultural element to Germany?,"['Ronald Berger', 'Berger']",Martin_Luther,Ronald Berger,{'Ronald Berger': 'Martin Luther and antisemitism'},100.0,Ronald Berger,Martin Luther and antisemitism,100.0,Ronald Berger,Martin Luther and antisemitism,100.0,Ronald Berger,Martin Luther and antisemitism,0.0
2558,What did Paul Rose say Luther added to German thought?,"['hysterical and demonizing mentality', 'a ""hysterical and demonizing mentality"" about Jews']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2559,Who aide the Reich in Germany in antisemitism?,"['Lutheran clergy and theologians', 'German Lutheran clergy and theologians', 'Luther']",Martin_Luther,Houston Stewart Chamberlain,{'Houston Stewart Chamberlain': 'Nazism'},-1.0,None,None,14.285714285714285,collaborationist governments and recruits from occupied countries,Ideology of the SS,100.0,collaborationist governments and recruits from occupied countries,Ideology of the SS,101.0
2560,What did these Lutheran clerics use as fuel to bolster the Policies of the Nazis?,"[""Luther's hostile publications"", ""Luther's hostile publications towards the Jews""]",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2561,What does Mark U. Edwards claim as a possible cause of Luther's antisemitism?,"['declining state of mind', 'a declining state of mind', 'health deteriorated']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2562,What about Luther declined as his antisemitism increased?,"['his health', 'state of mind', 'declining state of mind']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2563,What kind of affect did Luther often use in his discourses?,"['vulgarity and violence', '""vulgarity and violence']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,0.0,confrontational,Martin Luther,1.0
2564,Who else did Luther use violent rhetoric towards?,"['Muslims) and Catholics', 'Turks"" (Muslims) and Catholics', 'Turks']",Martin_Luther,Jews,{'Jews': 'Martin Luther'},0.0,Tetzel,Luther (play),100.0,Jews,Martin Luther and antisemitism,0.0,Archbishop Albrecht of Mainz,Martin Luther,100.0
2565,What is the title of Edwards book about Luther?,"[""Luther's Last Battles: Politics and Polemics 1531–46""]",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2566,When have Lutheran Churches repudiated Luther's statements about the Jews?,"['Since the 1980s', '1980s']",Martin_Luther,1994,{'1994': 'Martin Luther and antisemitism'},100.0,Since the 1980s,Martin Luther,0.0,1983,Martin Luther and antisemitism,100.0,1983,Martin Luther and antisemitism,100.0
2567,What did a survey of North American Lutherans find that Lutherans felt about Jews compared to other minority groups?,"['least prejudiced', 'least prejudiced toward Jews']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2568,Who found that Protestants voted for Nazis more than Catholics?,"['Richard (Dick) Geary', 'Geary']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2569,When were the elections that produced a higher vote by Protestant Nazi sympathizers than by Catholics?,['1928-1933'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2570,How was Luther's health for the years of 1531 to 1546?,"['his health deteriorated', 'deteriorated']",Martin_Luther,straitened circumstances without Luther's salaries,"{""straitened circumstances without Luther's salaries"": 'Paul Luther'}",100.0,straitened circumstances without Luther's salaries,Paul Luther,-1.0,None,None,100.0,deteriorated,Martin Luther,101.0
2571,"Besides the arguments with Rome and his own fellow reformers, what scandal  contributed to Luther's failing health?","['bigamy of the Philip of Hesse', 'the bigamy of the Philip of Hesse incident']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2572,What did Luther begin to experience in 1536?,"['kidney and bladder stones', 'kidney and bladder stones, and arthritis,']",Martin_Luther,"kidney and bladder stones, and arthritis","{'kidney and bladder stones, and arthritis': 'Martin Luther'}",100.0,"kidney and bladder stones, and arthritis",Martin Luther,-1.0,None,None,100.0,"kidney and bladder stones, arthritis",Martin Luther,101.0
2573,What other health issues did Luther have?,"['arthritis, and an ear infection', 'arthritis, and an ear infection ruptured an ear drum', 'arthritis, and an ear infection ruptured an ear drum. In December 1544, he began to feel the effects of angina.']",Martin_Luther,,None,0.0,heart attack,Harold C. Luther,20.0,"obsessive, possessed, and sometimes violent",Luther (TV series),0.0,constipation,Luther (play),20.0
2574,By 1544 what did Luther have to deal with in his health?,['angina'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2575,What made Luther even more short tempered than usual?,['poor physical health'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2576,What other aspect of Luther's life was affected by his health?,"['writings and comments', 'his writings and comments', 'writings and comments.']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2577,How did Luther's writings sound as he became less healthy?,['harsher'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2578,Who scolded Luther about his rudeness?,"['His wife Katharina', 'wife Katharina', 'Katharina']",Martin_Luther,Johann von Staupitz,{'Johann von Staupitz': 'Martin Luther'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2579,How many times did Luther preach in Halle in 1545 and 1546?,"['three times', 'three']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,100.0,three,Martin Luther,101.0
2580,Where was Luther's last sermon preached?,['Eisleben'],Martin_Luther,Mason Temple,"{'Mason Temple': ""I've Been to the Mountaintop""}",100.0,Mason Temple,I've Been to the Mountaintop,-1.0,None,None,-1.0,None,None,101.0
2581,When was Luther's last sermon?,['15 February 1546'],Martin_Luther,"April 3, 1968","{'April 3, 1968': ""I've Been to the Mountaintop""}",100.0,"April 3, 1968",I've Been to the Mountaintop,100.0,"April 3, 1968",I've Been to the Mountaintop,100.0,"April 3, 1968",I've Been to the Mountaintop,0.0
2582,What was the focus of Luther's last sermon?,"['Jews', 'entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory,']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2583,From whence did Luther want to expel the Jews?,"['all German territory', '1546']",Martin_Luther,Germany,{'Germany': 'Martin Luther and antisemitism'},100.0,Germany,Martin Luther and antisemitism,100.0,German territory,Martin Luther,100.0,German territory,Martin Luther and antisemitism,0.0
2584,What did Luther say would allow the Jews to stay?,"['that they convert', 'became Christians', 'convert']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2585,To where was Luther's final journey?,['Mansfeld'],Martin_Luther,London,{'London': 'Gilbert Bates'},100.0,London,Gilbert Bates,0.0,Vicksburg,Gilbert Bates,0.0,Gagliano,Christ Stopped at Eboli,100.0
2586,What was Luther involved in dealing with the minds in Mansfeld?,"['negotiations', 'negotiations for a settlement', ""siblings' families continuing in their father Hans Luther's copper mining""]",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2587,When did Luther travel to Mansfeld twice?,"['late 1545', '1545']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,0.0,1218,Thietmar (pilgrim),1.0
2588,When was a third visit to Mnafeld scheduled? ,"['early 1546', '1546']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2589,For whom was Luther concerned about in Mansfeld?,"[""his siblings' families"", 'his siblings', ""siblings' families""]",Martin_Luther,Johann Tetzel,{'Johann Tetzel': 'Martin Luther'},0.0,Martin,Martin Luther,-1.0,None,None,0.0,Count Albrecht of Mansfeld,Martin Luther,1.0
2590,When were the negotiations finished in Mansfeld?,['17 February 1546'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2591,After the negotiations were done what did Luther experience?,['chest pains'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,0.0,constipation,Luther (play),1.0
2592,Luther went to bed quoting what scripture?,['Ps. 31:5'],Martin_Luther,Deuteronomy 13,{'Deuteronomy 13': 'Martin Luther'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2593,What is Psalm 31:5?,"['prayer of the dying', 'the common prayer of the dying', 'common prayer of the dying.']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2594,When did Luther waken with more chest pains?,"['1 a.m', '1 a.m.']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2595,What event took away his ability of speech?,['apoplectic stroke'],Martin_Luther,aphasia,{'aphasia': 'Marc Dax'},0.0,Aphasia,Aphasia (disambiguation),100.0,Aphasia,Aphasia (disambiguation),100.0,Aphasia,Aphasia (disambiguation),100.0
2596,At what time did Martin Luther die?,"['2:45 a.m', '2:45 a.m.']",Martin_Luther,7:05 p.m,"{'7:05 p.m': 'Assassination of Martin Luther King, Jr.'}",0.0,7:05 p.m,"Assassination of Martin Luther King, Jr.",0.0,1968,Martin Luther King Jr.,100.0,7:05 p.m,Assassination of Martin Luther King Jr.,100.0
2597,On what date did Luther die?,['18 February 1546'],Martin_Luther,25 January 2009,{'25 January 2009': 'Arthur Luther'},0.0,20 December 1716,Samuel Luther,0.0,"April 4, 1968",James Earl Ray,0.0,"July 21, 2001",Richard W. Luther,0.0
2598,Where was Luther buried?,"['in the Castle Church', 'Castle Church in Wittenberg', 'Castle Church in Wittenberg,']",Martin_Luther,R.S. Lewis &amp; Sons Funeral Home,"{'R.S. Lewis &amp; Sons Funeral Home': 'Funeral of Martin Luther King, Jr.'}",23.88437701912631,Ebenezer Baptist Church,"Funeral of Martin Luther King, Jr.",100.0,R.S. Lewis &amp; Sons Funeral Home,Funeral of Martin Luther King Jr.,100.0,R.S. Lewis &amp; Sons Funeral Home,Funeral of Martin Luther King Jr.,76.1156229808737
2599,Who performed the funeral for Martin Luther?,['Johannes Bugenhagen and Philipp Melanchthon'],Martin_Luther,Jermaine Jackson,{'Jermaine Jackson': 'Michael Jackson memorial service'},100.0,Jermaine Jackson,Michael Jackson memorial service,100.0,Jermaine Jackson,Michael Jackson memorial service,0.0,R.S. Lewis Funeral Home,Funeral of Martin Luther King Jr.,100.0
2600,What was later discovered written by Luther?,"['his last statement', 'last statement']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2601,In what language was most of the statement written? ,['Latin'],Martin_Luther,Persian,{'Persian': 'Bayán'},0.0,Biblical Hebrew,Biblical languages,100.0,Biblical Hebrew,Biblical languages,100.0,Biblical Hebrew,Biblical languages,100.0
2602,What portion of Luther's last statement was in German?,"['""We are beggars,""', 'We are beggars', 'We are beggars,']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2603,What kind of images of Luther were used to advertise Protestantism? ,"['monumental', 'printed images of Luther that emphasized his monumental size', 'printed']",Martin_Luther,pamphlets,{'pamphlets': 'Propaganda during the Reformation'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2604,In contrast how were Catholic saints portrayed?,"['frail Catholic saints', 'frail']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2605,How was Luther presented as an image to spread Protestantism?,"['physically imposing', 'stout man']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
