,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
145,when is if loving you is wrong coming back season 4,"['September 19 , 2017', 'March 7 , 2018']",List of If Loving You Is Wrong episodes,"1990-1991, September 27, 2007, the timing of their relationship was not right, 2008, Four years later, It's over. It's so over."" speech back at the wedding. A horrified Meredith flees the awkward scene, but not before being tasked to tell Cristina that Mama Burke will continue to wait for her. Later, Derek goes up to Mama Burke and asks about Burke. She asks him whether Cristina really loved Burke and he replies saying she loved him the best way she knew how. Mama Burke tells him that he is an honorable man, but only if he knows how to walk away when he is taking less than he deserves, April 23, 2007, high school graduation coming near, September 19, 2007, November 2 1990","{'1990-1991': 'Full House episodes (Season 4)', 'September 27, 2007': ""Grey's Anatomy episodes (Season 4)"", 'the timing of their relationship was not right': ""Grey's Anatomy episodes (Season 4)"", '2008': ""After You've Gone (TV series)"", 'Four years later': ""The End's Not Near, It's Here"", 'It\'s over. It\'s so over."" speech back at the wedding. A horrified Meredith flees the awkward scene, but not before being tasked to tell Cristina that Mama Burke will continue to wait for her. Later, Derek goes up to Mama Burke and asks about Burke. She asks him whether Cristina really loved Burke and he replies saying she loved him the best way she knew how. Mama Burke tells him that he is an honorable man, but only if he knows how to walk away when he is taking less than he deserves': ""Grey's Anatomy episodes (Season 4)"", 'April 23, 2007': 'No Turning Back (Drive episode)', 'high school graduation coming near': 'Is It College Yet?', 'September 19, 2007': 'Pilot (Back to You)', 'November 2 1990': 'Full House episodes (Season 4)'}",66.66666666666666,"September 24, 2008",The New Adventures of Old Christine (season 4),100.0,"September 24, 2008",The New Adventures of Old Christine (season 4),100.0,"September 24, 2008",The New Adventures of Old Christine (season 4),33.33333333333334
146,where is bigg boss tamil house is located,['Chennai'],Bigg Boss Tamil,"Hyderabad, Ballard Pier, Hyderabad, Virudhunagar district, Altamount Road on the famed Malabar Hill, Guindy Thiru Vi Ka Estate, Neelangarai, Srivilliputtur, Medan, Srivilliputtur","{'Hyderabad': 'Raj Bhavan (Andhra Pradesh)', 'Ballard Pier': 'Ballard Pier', 'Virudhunagar district': 'Srivilliputhur', 'Altamount Road on the famed Malabar Hill': 'Antilia (building)', 'Guindy Thiru Vi Ka Estate': 'Guindy Thiru Vi Ka Estate', 'Neelangarai': 'Raja Nagar', 'Srivilliputtur': 'Srivilliputhur', 'Medan': 'Istana Maimun'}",50.0,Thanjavur district,Poondi estate,100.0,Thanjavur district,Poondi estate,100.0,Thanjavur district,Poondi estate,50.0
147,who won the academy award for the deer hunter,['Christopher Walken'],The Deer Hunter,"Elia Kazan, Michael Cimino), Best Actor in a Supporting Role (Christopher Walken, Commander John Ford, Christopher Walken, Forest Whitaker, Martin Scorsese and Swedish director Ingmar Bergman, Hall, Mitchum, Alfred Hitchcock, Conrad L. Hall","{'Elia Kazan': 'Golden Globe Award for Best Director - Motion Picture', 'Michael Cimino), Best Actor in a Supporting Role (Christopher Walken': 'The Deer Hunter', 'Commander John Ford': 'John Ford', 'Christopher Walken': 'The Deer Hunter', 'Forest Whitaker': 'New York Film Critics Circle Award for Best Actor', 'Martin Scorsese and Swedish director Ingmar Bergman': 'National Society of Film Critics Award for Best Director', 'Hall': 'Conrad Hall', 'Mitchum': 'The Night of the Hunter (film)', 'Alfred Hitchcock': '40th Academy Awards', 'Conrad L. Hall': 'Conrad Hall'}",100.0,John Ford,John Ford (disambiguation),100.0,Christopher Walken,The Deer Hunter,100.0,Ingmar Bergman,National Society of Film Critics Award for Best Director,0.0
148,where does the thames river begin and end,['Near Tavistock'],Thames River (Ontario),"Chelsea, Queensway, Warner Street, Brentford tidal lock, Lighthouse Cove on Lake St. Clair, beneath Blackfriars Bridge, Blackfriars Bridge, northwards, London, Chelsea Bridge","{'Chelsea': 'River Westbourne', 'Queensway': 'River Westbourne', 'Warner Street': 'River Fleet', 'Brentford tidal lock': 'River Brent', 'Lighthouse Cove on Lake St. Clair': 'Thames River (Ontario)', 'beneath Blackfriars Bridge': 'River Fleet', 'Blackfriars Bridge': 'River Fleet', 'northwards': 'River Darent', 'London': 'Thames River (Ontario)', 'Chelsea Bridge': 'River Westbourne'}",100.0,Brentford,River Brent,100.0,Brentford,River Brent,100.0,Brentford,River Brent,0.0
149,how many wing stops are there in the united states,"['1,000', 'more than 1,000']",Wingstop,"82, 240, 22, six, more than 550, 241, Baltimore, Charlotte, Syracuse, Dayton, two, 22, 7","{'82': 'Flight Standards District Office', '240': 'US Airways', '22': 'Cleveland Air Route Traffic Control Center', 'six': 'New York TRACON', 'more than 550': 'Wingstop Restaurants', '241': 'US Airways', 'Baltimore, Charlotte, Syracuse, Dayton': 'US Airways', 'two': 'Focus city', '7': 'New York TRACON'}",100.0,22,Chicago Air Route Traffic Control Center,100.0,22,Boston Air Route Traffic Control Center,100.0,22,Chicago Air Route Traffic Control Center,0.0
150,who won last year's grand national 2017,['One For Arthur'],2017 Grand National,"Guest on Red Marauder, Vanguard, John Crickmere, Blowing Wind, Lottery, Jerry, Charity, Discount, Gaylad, Red Marauder","{'Guest on Red Marauder': '2001 Grand National', 'Vanguard': '1843 Grand National', 'John Crickmere': '1844 Grand National', 'Blowing Wind': '2001 Grand National', 'Lottery': '1842 Grand National', 'Jerry': '1840 Grand National', 'Charity': '1841 Grand National', 'Discount': '1844 Grand National', 'Gaylad': '1842 Grand National', 'Red Marauder': '2001 Grand National'}",50.0,Red Rum,1977 Grand National,0.0,Don't Push It,2011 Grand National,100.0,Don't Push It,2011 Grand National,100.0
151,where did the first persian gulf war take place,['Iraq'],Gulf War,"Saudi Arabia, Baghdad, Fallujah, Norway, Basra, Basra, Britain, Dhahran, Saudi Arabia, Sadr City slum, Sumer","{'Saudi Arabia': 'Opération Daguet', 'Baghdad': 'Gulf War', 'Fallujah': 'Iraq War', 'Norway': 'Gulf War', 'Basra': 'Iran-Iraq War', 'Britain': 'Second Gulf War', 'Dhahran, Saudi Arabia': 'Gulf War', 'Sadr City slum': 'Iraq War', 'Sumer': 'Iran-Iraq War'}",100.0,Saudi Arabia,Battle of Khafji,100.0,Basra,Iraq War,100.0,Baghdad,Gulf War,0.0
152,what episode does caroline get turned into a vampire,"['Brave New World', 'The Return']",The Vampire Diaries (season 2),"Sweet Caroline, Euphoria, Part 2, All In, The Girl in the Fridge, annon's Hope"",, Season 7, The Girl in the Fridge, Spellbound, Sweet Caroline, Oakdale","{'Sweet Caroline': 'Caroline Reynolds', 'Euphoria, Part 2': 'Euphoria, Part 2', 'All In': 'All In (House episode)', 'The Girl in the Fridge': 'The Girl in the Fridge', 'annon\'s Hope"",': 'Caroline Holden', 'Season 7': 'Caroline Holden', 'Spellbound': 'Spellbound (CSI episode)', 'Oakdale': 'Jade Taylor'}",0.0,fifteenth,The Vampire Diaries (season 1),100.0,fifteenth,The Vampire Diaries (season 1),100.0,fifteenth,The Vampire Diaries (season 1),100.0
153,who was the leader of the zulu in south africa who led the fight against the british,"['Cetshwayo', 'Cetshwayo kaMpande']",Anglo-Zulu War,"Dingaan, Mpande, Ntshingwayo kaMahole, Shaka, Shaka, Dingaan, Bambata or Mbata Bhambatha, Louis Botha, Umgobhozi Ovela Entabeni, Mpande","{'Dingaan': 'Dingane kaSenzangakhona', 'Mpande': 'Zulu Empire', 'Ntshingwayo kaMahole': 'Ntshingwayo Khoza', 'Shaka': 'Zulu Empire', 'Bambata or Mbata Bhambatha': 'Bhambatha', 'Louis Botha': 'Zulu Empire', 'Umgobhozi Ovela Entabeni': 'Shaka'}",100.0,Shaka,Shaka,100.0,Mpande,Shaka,100.0,Mpande,Anglo-Zulu War,0.0
154,what year did return of the mack come out,"['March 1996', '18 March 1996', '1996']",Return of the Mack,"1996, 1996, 1976, 1992, 1997, 2006, 2005, 1993, 1996, 1993","{'1996': 'Mark Morrison', '1976': 'Mackintosh &amp; T.J.', '1992': 'Return of the Product', '1997': 'Returned to Your Mind', '2006': 'Return of the Hustler', '2005': 'Mark Morrison', '1993': 'Mack Super-Liner'}",100.0,1993,Call Me a Mack,100.0,1993,Call Me a Mack,100.0,1996,Call Me a Mack,0.0
155,when was half life 2 episode 2 released,"['in 2007', 'October 10 , 2007']",Half-Life 2: Episode Two,"May 2003, September 2003, 2007, September 21, 2001, 2007, 1982, August 6, 2002, April 2006, 2006, Bran","{'May 2003': 'Half-Life 2', 'September 2003': 'Half-Life 2', '2007': 'Experimentet 2', 'September 21, 2001': 'Game Slave 2', '1982': 'Earthsearch II', 'August 6, 2002': 'The Simpsons (season 2)', 'April 2006': 'Half-Life 2', '2006': 'Basic Instinct 2', 'Bran': 'Earthsearch II'}",100.0,"August 6, 2002",The Simpsons (season 2),100.0,"August 6, 2002",The Simpsons (season 2),66.66666666666666,"September 21, 2010",The Mentalist (season 2),33.33333333333334
156,what is the current population of bora bora,"['10,605']",Bora Bora,"7,562, 1432, 11,000, 818, 39,387, 24,449, 8,880, 5,360, Its population is significantly smaller, US $412","{'7,562': 'Borba (Portugal)', '1432': 'Borambola, New South Wales', '11,000': 'Bor, Serbia', '818': 'Borá', '39,387': 'Bor, Serbia', '24,449': 'New Bussa', '8,880': 'Bora Bora', '5,360': 'Borovo, Croatia', 'Its population is significantly smaller': 'Bovesia', 'US $412': 'Bor, Serbia'}",100.0,"8,880",Bora Bora,100.0,"8,880",Bora Bora,100.0,"24,449",New Bussa,0.0
157,who wrote the declaration of man and citizen,"['General Lafayette , ( sometimes with Thomas Jefferson ) and Honoré Mirabeau', 'General Lafayette']",Declaration of the Rights of Man and of the Citizen,"George Mason, Thomas Paine, William Tyler Page, James Madison, Marquis de Lafayette, George Combe, John Hart, John Locke, Marquis de Lafayette, Thomas Paine","{'George Mason': 'Virginia Declaration of Rights', 'Thomas Paine': 'Rights of Man', 'William Tyler Page': 'William Tyler Page', 'James Madison': 'James Madison', 'Marquis de Lafayette': 'Declaration of the Rights of Man and Citizen', 'George Combe': 'The Constitution of Man', 'John Hart': 'John Hart (disambiguation)', 'John Locke': 'All men are created equal'}",100.0,James Madison,James Madison,66.66666666666666,marquis de Lafayette,Declaration of the Rights of Woman and the Female Citizen,100.0,William Tyler Page,American Creed,33.33333333333334
158,who was the author of the art of war,"[""the ancient Chinese military strategist Sun Tzu ( `` Master Sun '' , also spelled Sunzi )"", 'attributed to the ancient Chinese military strategist Sun Tzu', 'Sun Tzu']",The Art of War,"Sun Tzu, Sun Tzu, Sūn Wǔ, Sun Bin, Niccolò Machiavelli, Sun Tzu, Sun Tzu, Lionel Giles, Machiavelli, Sun Tzu","{'Sun Tzu': 'Philosophy of war', 'Sūn Wǔ': 'Sun Tzu', 'Sun Bin': 'Sun Tzu', 'Niccolò Machiavelli': 'The Art of War (Machiavelli)', 'Lionel Giles': 'Sun Tzu', 'Machiavelli': 'The Art of War (Machiavelli)'}",100.0,Sun Tzu,The Art of War,100.0,Sun Tzu,Sun Tzu (disambiguation),100.0,Sun Tzu,The Art of War,0.0
159,when does elijah first appear in vampire diaries,"['Season two', 'Rose', ""`` Rose ''""]",The Vampire Diaries (season 2),"Chapter One, season 1 episode Secret and Lies, first day of senior year, August 10 2007, fifteen, 23 when he was turned. Carlisle has remained 23 since the day he was turned, 1640s, ""New Moon, 1921, ""The Key"",","{'Chapter One': 'Arkarian', 'season 1 episode Secret and Lies': 'Dylan Michalchuk', 'first day of senior year': 'The Vampire Diaries', 'August 10 2007': 'Jared Banks', 'fifteen': 'Jacob Black', '23 when he was turned. Carlisle has remained 23 since the day he was turned': 'Carlisle Cullen', '1640s': 'Carlisle Cullen', '""New Moon': 'Jacob Black', '1921': 'Carlisle Cullen', '""The Key"",': 'Arkarian'}",100.0,2007,Ethan Rayne,33.33333333333333,the opening scene,The Vampire Diaries,60.0,episode 8 of season 2,Damon Salvatore,66.66666666666667
160,puella magi madoka magica when does madoka become a magical girl,['My Very Best Friend'],List of Puella Magi Madoka Magica episodes,"Calypso, When her plans are thwarted by Dorothy, Glinda and ""Pumpkinhead"", she transforms herself into a rose, Before the Brethren Court turned her into a woman, Angela, reborn, Shannon, Fate/hollow ataraxia, Zatanna makes her living as a stage illusionist prior to discovering her magical abilities while investigating the disappearance of her father, Leelee then arrives and convinces her mother to use her powers to revive Leanbow, Daggeron and Jenji and she agrees, causing herself to be transformed into a human, Leanbow trains his son, Nick, to become a better warrior so that he will be ready to fight the Master when the time comes","{'Calypso': 'Tia Dalma', 'When her plans are thwarted by Dorothy, Glinda and ""Pumpkinhead"", she transforms herself into a rose': 'Mombi', 'Before the Brethren Court turned her into a woman': 'Tia Dalma', 'Angela': 'Queen of Wands', 'reborn': 'Grizabella', 'Shannon': 'Queen of Wands', 'Fate/hollow ataraxia': 'Bazett Fraga McRemitz', 'Zatanna makes her living as a stage illusionist prior to discovering her magical abilities while investigating the disappearance of her father': 'Zatanna', 'Leelee then arrives and convinces her mother to use her powers to revive Leanbow, Daggeron and Jenji and she agrees, causing herself to be transformed into a human': 'Mystic Fate', 'Leanbow trains his son, Nick, to become a better warrior so that he will be ready to fight the Master when the time comes': 'Mystic Fate'}",60.0,choose to become magical girls,Puella Magi Madoka Magica,100.0,choose to become magical girls,Puella Magi Madoka Magica,100.0,choose to become magical girls,Puella Magi Madoka Magica,40.0
161,in which year was led zepplin refused entry into singapore because the band members had long hair,['1972'],Led Zeppelin Australasian Tour 1972,"2000, 2004, 1977, 1969, 2005, 1981, 2004, 1978, 2007, 1981","{'2000': 'PingPong (band)', '2004': 'IndigNation', '1977': 'Boom Boom Boomerang', '1969': 'The Nobs', '2005': 'IndigNation', '1981': 'Ideal (German band)', '1978': 'Boom Boom Boomerang', '2007': ""The Band's Visit""}",0.0,1951,Symphony Six,100.0,2005,IndigNation,100.0,2004,IndigNation,100.0
162,what was vietnam called in the years before world war 2,"['French Indochina , consisting of Cochinchina ( southern Vietnam ) , Annam ( central Vietnam ) , Tonkin ( northern Vietnam )', 'French Indochina']",History of Vietnam,"Khmer Rouge, Democratic Republic of Vietnam, Văn Lang, Đại Ngu, Democratic Republic of Vietnam, Democratic Republic of Vietnam, southward expansion, Văn Lang, Viet Minh, Annam","{'Khmer Rouge': 'Indochina Wars', 'Democratic Republic of Vietnam': 'Indochina Wars', 'Văn Lang': 'Vietnam', 'Đại Ngu': 'Vietnam', 'southward expansion': 'Vietnam', 'Viet Minh': 'Background to the Vietnam War', 'Annam': 'History of Vietnam'}",100.0,Annam,Vietnam,100.0,Democratic Republic of Vietnam,1947-50 in the Vietnam War,100.0,Democratic Republic of Vietnam,Indochina Wars,0.0
163,when did the lion king start on broadway,"['July 8 , 1997', 'Broadway', 'October 15 , 1997', 'November 13 , 1997']",The Lion King (musical),"October 26, 2000, February 26, 1989, July 31, 1997, June 2007, 22 September 2007, 1966, April 16, 1991, March 16, 1969, 1997, January 2007","{'October 26, 2000': 'The Full Monty (musical)', 'February 26, 1989': ""Jerome Robbins' Broadway"", 'July 31, 1997': 'The Lion King (musical)', 'June 2007': 'The Lion King (musical)', '22 September 2007': 'The Lion King (musical)', '1966': 'The Lion in Winter', 'April 16, 1991': 'Matador (musical)', 'March 16, 1969': '1776 (musical)', '1997': 'King David (musical)', 'January 2007': 'Footloose (musical)'}",100.0,"February 26, 1989",Jerome Robbins' Broadway,100.0,"February 26, 1989",Jerome Robbins' Broadway,100.0,"February 26, 1989",Jerome Robbins' Broadway,0.0
164,who has won the most college football national champions,['Princeton'],College football national championships in NCAA Division I FBS,"Oklahoma Sooners, #2 Texas, black college football national championship is a mythical national championship won by the best black college football team(s) in the United States of America, Oklahoma, which ones have the most most national championships, 50, Cleveland Browns, Billingsley, Richard Dunkel, Kenneth Massey, Herman Matthews/""Scripps Howard"", and David Rothman, Notre Dame, Green Bay Packers","{'Oklahoma Sooners': 'Oklahoma Sooners National Championships', '#2 Texas': 'Bowl Championship Series', 'black college football national championship is a mythical national championship won by the best black college football team(s) in the United States of America': 'Black college football national championship', 'Oklahoma': 'Bowl Championship Series', 'which ones have the most most national championships': ""College football's ten most victorious programs"", '50': 'Longest NCAA Division I football winning streaks', 'Cleveland Browns': 'History of National Football League Championship', 'Billingsley, Richard Dunkel, Kenneth Massey, Herman Matthews/""Scripps Howard"", and David Rothman': 'Bowl Championship Series', 'Notre Dame': 'Dickinson System', 'Green Bay Packers': 'History of National Football League Championship'}",100.0,Notre Dame,List of Notre Dame Fighting Irish football seasons,100.0,black,Black college football national championship,100.0,Texas,College football national championships in NCAA Division I FBS,0.0
165,who ruled the ottoman empire in the 1500s,"['a line of committed and effective Sultans', 'Selim I']",Ottoman Empire,"Suleiman, Baybars, Emir Osman I, Mehmed, Mehmed II, Bayezid II, Selim I, Mehmed II, Osman I, Selim II","{'Suleiman': 'Suleiman the Magnificent', 'Baybars': 'Karamanoğlu', 'Emir Osman I': 'Ottoman Conquest of the Balkans', 'Mehmed': 'Ottoman Conquest of the Balkans', 'Mehmed II': 'Mehmed II', 'Bayezid II': 'Bayezid II', 'Selim I': 'Selim I', 'Osman I': 'Osman I', 'Selim II': 'Selim II'}",100.0,Selim I,Selim I,100.0,Suleiman,Suleiman the Magnificent,100.0,Osman I,Ottoman Empire,0.0
166,who is currently serving as president of the senate,"['Orrin Hatch', 'Patrick Leahy']",Seniority in the United States Senate,"David Mark, Linda Baboolal, Therese Murray, Alan Ferguson, Thomas V. ""Mike"" Miller, Jr., David Mark, Ted Stevens, Robert Byrd, President pro tempore, Byrd","{'David Mark': 'President of the Senate', 'Linda Baboolal': 'President of the Senate', 'Therese Murray': 'President of the Massachusetts Senate', 'Alan Ferguson': 'President of the Senate', 'Thomas V. ""Mike"" Miller, Jr.': 'Thomas V. Mike Miller, Jr.', 'Ted Stevens': 'Robert Byrd', 'Robert Byrd': 'List of current United States Senators by seniority', 'President pro tempore': 'List of the Presidents of the United States Senate', 'Byrd': 'Robert Byrd'}",100.0,David Mark,President of the Senate of Nigeria,0.0,Walter Stosch,President pro tempore of the Senate of Virginia,16.666666666666668,Vice President of the United States,Presiding Officer of the United States Senate,100.0
167,what's the largest city park in the united states,['Franklin Mountains State Park'],List of urban parks by size,"Central Park, Frick Park, Chastain Park, Central Park, Van Cortlandt Park, Golden Gate Park, Central Park, Central Park, Golden Gate Park, Golden Gate Park","{'Central Park': 'Parks and recreation in New York City', 'Frick Park': 'Frick Park', 'Chastain Park': 'Chastain Park', 'Van Cortlandt Park': 'Van Cortlandt Park', 'Golden Gate Park': 'Golden Gate Park'}",100.0,Central Park,Central Park,100.0,Central Park,Central Park,100.0,Central Park,Central Park,0.0
168,when was the miraculous journey of edward tulane published,"['March 30 , 2006', '2006']",The Miraculous Journey of Edward Tulane,"2006, 1822, 1834-18, 1948, 1820, 1580, 1866, 1936, 2003, 1874","{'2006': 'The Miraculous Journey of Edward Tulane', '1822': 'James Holman', '1834-18': 'James Holman', '1948': 'Roads (novel)', '1820': 'Pow-Wows; or, Long Lost Friend', '1580': 'Historia medicinal de las cosas que se traen de nuestras Indias Occidentales', '1866': 'James Holman', '1936': 'Audubon (book)', '2003': 'Julie M. Fenster', '1874': 'The Mysterious Island'}",100.0,2006,The Miraculous Journey of Edward Tulane,100.0,2006,The Miraculous Journey of Edward Tulane,100.0,2006,The Miraculous Journey of Edward Tulane,0.0
169,what is the name of the lymphatic vessels located in the small intestine,"['lacteal', 'lacteals', 'A lacteal']",Lacteal,"sacral lymph nodes, intercostal vessels, hepatic lymph nodes, terminal ileum, cisterna chyli, Lymphatic Tissue, ileal vessels, lymph vessels, submandibular lymph nodes, hepatic lobule","{'sacral lymph nodes': 'Sacral lymph nodes', 'intercostal vessels': 'Intercostal lymph nodes', 'hepatic lymph nodes': 'Hepatic lymph nodes', 'terminal ileum': 'Terminal ileum', 'cisterna chyli': 'Thoracic duct', 'Lymphatic Tissue': 'Lymphatic tissues', 'ileal vessels': 'Ileal vessels', 'lymph vessels': 'Lymph vessel', 'submandibular lymph nodes': 'Submandibular lymph nodes', 'hepatic lobule': 'Hepatic lobule'}",100.0,sacral lymph nodes,Sacral lymph nodes,100.0,sacral lymph nodes,Sacral lymph nodes,100.0,sacral lymph nodes,Sacral lymph nodes,0.0
170,who played jennifer in back to the future,['Claudia Grace Wells'],Claudia Wells,"Elisabeth Shue, Claudia Wells, Elisabeth Shue, Jilana Stewart, Marty McFly, Emmett Brown, Lorraine Gary, Marty, Madolyn Smith-Osborne, Hardin","{'Elisabeth Shue': 'Claudia Wells', 'Claudia Wells': 'Jennifer Parker', 'Jilana Stewart': 'Jilana Stewart', 'Marty McFly': 'Michael J. Fox', 'Emmett Brown': 'Jennifer Parker', 'Lorraine Gary': 'Lorraine Gary', 'Marty': 'Jennifer Parker', 'Madolyn Smith-Osborne': 'Madolyn Smith Osborne', 'Hardin': 'Melora Hardin'}",100.0,Claudia Wells,Elisabeth Shue,100.0,Claudia Wells,Elisabeth Shue,100.0,Claudia Wells,Elisabeth Shue,0.0
171,what is the oasis in ready player one,"['a virtual reality simulator', 'a virtual reality simulator accessible by players using visors and haptic technology such as gloves']",Ready Player One,"Prince Ali, Defenders of Oasis is a role-playing game, Genie of the lamp, a boy named Saleem and a thief called Agmar, hospital, Silence, a huge statue, Auburn Hospital, Point Man, easy to pick up and play whilst containing depth of gameplay. Female gamer website Grrl Gamer described the game as ""one part puzzle and one part strategy, Ali","{'Prince Ali': 'Beyond Oasis', 'Defenders of Oasis is a role-playing game': 'Defenders of Oasis', 'Genie of the lamp, a boy named Saleem and a thief called Agmar': 'Defenders of Oasis', 'hospital': 'F.E.A.R. Extraction Point', 'Silence': 'F.E.A.R.', 'a huge statue': 'Oasis of the White Palm', 'Auburn Hospital': 'F.E.A.R. Extraction Point', 'Point Man': 'F.E.A.R.', 'easy to pick up and play whilst containing depth of gameplay. Female gamer website Grrl Gamer described the game as ""one part puzzle and one part strategy': 'Oasis (computer game)', 'Ali': 'Beyond Oasis'}",100.0,Prince Ali,Beyond Oasis,100.0,Prince Ali,Beyond Oasis,100.0,Prince Ali,Beyond Oasis,0.0
172,where is beijing located on the world map,"['39 ° 55 ′ N 116 ° 23 ′ E \ufeff / \ufeff 39.917 ° N 116.383 ° E', 'northern China', 'in northern China']",Beijing,"ninth-busiest, 42nd, New York City, Beijing Capital International Airport, Central Beijing, 39.9056, 116.3914, Greater Tokyo's Railway Network, The World Park in Beijing is located in southwestern Fengtai District, Beijing Municipality, North China Plain","{'ninth-busiest': 'Beijing Capital International Airport', '42nd': 'Beijing Capital International Airport', 'New York City': 'Greater Tokyo Area', 'Beijing Capital International Airport': 'Transportation in Beijing', 'Central Beijing': 'Beijing Capital International Airport', '39.9056, 116.3914': 'Beijing', ""Greater Tokyo's Railway Network"": 'Greater Tokyo Area', 'The World Park in Beijing is located in southwestern Fengtai District': 'Beijing World Park', 'Beijing Municipality': 'Geography of Beijing', 'North China Plain': 'Beijing'}",100.0,North China Plain,Geography of Beijing,21.428571428571423,"Beijing is home to 52 Fortune Global 500 companies, the most in the world",Economy of Beijing,50.0,northeastern China,Geography of Beijing,78.57142857142858
173,who won the oscar for best actor when titanic was nominated,['Jack Nicholson'],70th Academy Awards,"Charles Chaplin, Emil Jannings, Pierre Boulle, Franchot Tone, Liam Tuohy, Jonathan Phillips, David Niven, Peter Finch, Billy Crystal, DiCaprio","{'Charles Chaplin': '45th Academy Awards', 'Emil Jannings': 'Academy Award for Best Actor', 'Pierre Boulle': '30th Academy Awards', 'Franchot Tone': 'Academy Award for Best Actor', 'Liam Tuohy': 'Liam Tuohy (actor)', 'Jonathan Phillips': 'Jonathan Phillips', 'David Niven': '31st Academy Awards', 'Peter Finch': 'Academy Award for Best Actor', 'Billy Crystal': '70th Academy Awards', 'DiCaprio': 'Leonardo DiCaprio'}",100.0,Emil Jannings,Academy Award for Best Actor,100.0,Emil Jannings,Academy Award for Best Actor,100.0,Billy Crystal,70th Academy Awards,0.0
174,what kind of beer is st pauli girl,['Lager'],St. Pauli Girl,"Bolyarka, Karmi, Lager, St. Pauli Non-Alcoholic, Horehound beer, Budweiser, bottom-fermented, bottled beer. The local artist commissioned for the label drew his inspiration from the waitresses at the time. 
St Pauli Girls Beers were first introduced into select US markets in 1965. National Distribution began in 1975. St. Pauli Non-Alcoholic, un-hopped, ale","{'Bolyarka': 'Bolyarka', 'Karmi': 'Karmi', 'Lager': 'St. Pauli Girl', 'St. Pauli Non-Alcoholic': 'St. Pauli Girl', 'Horehound beer': 'Horehound beer', 'Budweiser': 'Budweiser', 'bottom-fermented': 'Kölsch (beer)', 'bottled beer. The local artist commissioned for the label drew his inspiration from the waitresses at the time. \nSt Pauli Girls Beers were first introduced into select US markets in 1965. National Distribution began in 1975. St. Pauli Non-Alcoholic': 'St. Pauli Girl', 'un-hopped': 'Zima', 'ale': 'Kölsch (beer)'}",100.0,Lager,St. Pauli Girl,100.0,Lager,St. Pauli Girl,100.0,Lager,St. Pauli Girl,0.0
175,who played shmuel in the boy in the striped pyjamas,['Jack Scanlon'],The Boy in the Striped Pyjamas (film),"Chaim Topol, Deven May, Scoey Mitchell, Menasha Skulnik, Bobby Mauch, Alec Sedgley, Moshe Ivgi, Yisrael Poliakov, Yeshayahu Levy told Israel Army Radio: ""...lost a brother. There is no other word. We've been together since 1958, and he was part of me. He was a great talent, an outstanding comic actor, and a wonderful friend... The pain is great.""
Actor Moshe Ivgi, David Thewlis","{'Chaim Topol': 'Sallah Shabati', 'Deven May': 'Deven May', 'Scoey Mitchell': 'Scoey Mitchell', 'Menasha Skulnik': 'Menasha Skulnik', 'Bobby Mauch': 'Billy and Bobby Mauch', 'Alec Sedgley': 'Alec Sedgley', 'Moshe Ivgi': 'Yisrael Poliakov', 'Yisrael Poliakov': 'Yisrael Poliakov', 'Yeshayahu Levy told Israel Army Radio: ""...lost a brother. There is no other word. We\'ve been together since 1958, and he was part of me. He was a great talent, an outstanding comic actor, and a wonderful friend... The pain is great.""\nActor Moshe Ivgi': 'Yisrael Poliakov', 'David Thewlis': 'John Boyne'}",100.0,Moshe Ivgi,Yisrael Poliakov,100.0,Moshe Ivgi,Yisrael Poliakov,100.0,Moshe Ivgi,Yisrael Poliakov,0.0
176,where do the blood vessels that supply the retinal cells lie,"['The optic nerve', ""the ophthalmic artery bifurcates and supplies the retina via two distinct vascular networks : the choroidal network , which supplies the choroid and the outer retina , and the retinal network , which supplies the retina 's inner layer"", 'optic nerve']",Retina,"peritubular capillaries are tiny blood vessels that travel along side nephrons, around the optic disc, inner limiting membrane, between the macula and the optic nerve, these terminal branches are the only blood supply to the larger part of it, Schlemm's canal, The optic disc, nine primary visual nuclei in the brain, central retinal artery and vein, nerve fiber layer","{'peritubular capillaries are tiny blood vessels that travel along side nephrons': 'Peritubular capillaries', 'around the optic disc': 'Fundus (eye)', 'inner limiting membrane': 'Inner limiting membrane', 'between the macula and the optic nerve': 'Central retinal artery', 'these terminal branches are the only blood supply to the larger part of it': 'Central retinal artery', ""Schlemm's canal"": 'Trabecular meshwork', 'The optic disc': 'Optic disc', 'nine primary visual nuclei in the brain': 'Optic nerve', 'central retinal artery and vein': 'Central retinal vein', 'nerve fiber layer': 'Optic disc'}",100.0,inner limiting membrane,Inner limiting membrane,100.0,inner limiting membrane,Inner limiting membrane,100.0,inner limiting membrane,Inner limiting membrane,0.0
